ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(3),-	,Newcastle Uni..,-	,85.7	,-	,6.20,2019/2020,EPL,0.3	,-	,-	,23	
-	,1,-	,Swansea,-	,64	,-	,6.87,2018/2019,EC,2	,-	,-	,90	
0.2	,17(2),-	,Newcastle Uni..,-	,78.9	,2	,6.62,2018/2019,EPL,2	,-	,1	,1484	
0.3	,30,1	,Swansea,-	,82.3	,5	,6.76,2017/2018,EPL,2.4	,1	,1	,2677	
0.6	,27,-	,Swansea,-	,81.7	,7	,6.85,2016/2017,EPL,2.6	,-	,2	,2430	
0.5	,32,1	,Swansea,-	,84.8	,3	,6.98,2015/2016,EPL,2.7	,1	,1	,2880	
0.5	,27(1),3	,Swansea,-	,84.6	,-	,7.11,2014/2015,EPL,2.4	,-	,-	,2475	
0.6	,25(1),2	,Napoli,1	,84.1	,5	,7.06,2013/2014,ISA,2.1	,-	,1	,2294	
0.2	,4(1),-	,Napoli,-	,76.1	,3	,6.48,2013/2014,UCL,1.8	,-	,-	,367	
1	,1,-	,Napoli,-	,72.3	,-	,7.09,2013/2014,UEL,2	,-	,-	,90	
0.5	,4,-	,Argentina,-	,89.4	,-	,7.27,2014,WC,2.3	,-	,-	,390	
-	,1(1),-	,Napoli,-	,87.5	,-	,6.69,2012/2013,ISA,1.5	,-	,-	,102	
0.4	,13(1),1	,Getafe,1	,65.4	,5	,7.11,2012/2013,SLL,2.4	,1	,1	,1173	
0.2	,5,-	,Napoli,-	,83.1	,3	,7.15,2012/2013,UEL,2.6	,-	,-	,450	
0.3	,9(7),1	,Napoli,-	,78.7	,4	,6.86,2011/2012,ISA,1.1	,-	,-	,964	
1	,1(1),-	,Napoli,-	,78.6	,1	,7.40,2011/2012,UCL,1	,2	,-	,92	
0.4,215,9,,2,81.4,38,6.92,Total / Average,,2.2,5,7,17981
-	,0(3),-	,Newcastle Uni..,-	,85.7	,-	,6.20,2019/2020,EPL,0.3	,-	,-	,23	
-	,1,-	,Swansea,-	,64	,-	,6.87,2018/2019,EC,2	,-	,-	,90	
0.2	,17(2),-	,Newcastle Uni..,-	,78.9	,2	,6.62,2018/2019,EPL,2	,-	,1	,1484	
0.3	,30,1	,Swansea,-	,82.3	,5	,6.76,2017/2018,EPL,2.4	,1	,1	,2677	
0.6	,27,-	,Swansea,-	,81.7	,7	,6.85,2016/2017,EPL,2.6	,-	,2	,2430	
0.5	,32,1	,Swansea,-	,84.8	,3	,6.98,2015/2016,EPL,2.7	,1	,1	,2880	
0.5	,27(1),3	,Swansea,-	,84.6	,-	,7.11,2014/2015,EPL,2.4	,-	,-	,2475	
0.6	,25(1),2	,Napoli,1	,84.1	,5	,7.06,2013/2014,ISA,2.1	,-	,1	,2294	
0.2	,4(1),-	,Napoli,-	,76.1	,3	,6.48,2013/2014,UCL,1.8	,-	,-	,367	
1	,1,-	,Napoli,-	,72.3	,-	,7.09,2013/2014,UEL,2	,-	,-	,90	
0.5	,4,-	,Argentina,-	,89.4	,-	,7.27,2014,WC,2.3	,-	,-	,390	
-	,1(1),-	,Napoli,-	,87.5	,-	,6.69,2012/2013,ISA,1.5	,-	,-	,102	
0.4	,13(1),1	,Getafe,1	,65.4	,5	,7.11,2012/2013,SLL,2.4	,1	,1	,1173	
0.2	,5,-	,Napoli,-	,83.1	,3	,7.15,2012/2013,UEL,2.6	,-	,-	,450	
0.3	,9(7),1	,Napoli,-	,78.7	,4	,6.86,2011/2012,ISA,1.1	,-	,-	,964	
1	,1(1),-	,Napoli,-	,78.6	,1	,7.40,2011/2012,UCL,1	,2	,-	,92	
0.4,215,9,,2,81.4,38,6.92,Total / Average,,2.2,5,7,17981
