ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,4(1),-	,Manchester Ci..,-	,91.6	,1	,7.20,2019/2020,EPL,2.2	,-	,-	,413	
-	,2,-	,Manchester Ci..,-	,89.4	,1	,7.15,2019/2020,UCL,2	,-	,-	,180	
2	,1(1),-	,Brazil,-	,85.9	,-	,7.01,2019,ICA,2	,-	,1	,123	
1	,27(2),2	,Manchester Ci..,-	,87.5	,5	,7.31,2018/2019,EPL,2.6	,1	,3	,2382	
0.6	,7(1),-	,Manchester Ci..,-	,87.3	,3	,6.88,2018/2019,UCL,2	,-	,-	,643	
1	,8,-	,Manchester Ci..,-	,89.9	,2	,6.96,2017/2018,UCL,2.6	,-	,-	,682	
1.4	,33(1),1	,Manchester Ci..,-	,90.1	,7	,7.44,2017/2018,EPL,2.8	,5	,3	,2885	
0.7	,7,-	,Manchester Ci..,1	,85.5	,2	,6.68,2016/2017,UCL,1.3	,1	,-	,545	
1.1	,31(1),1	,Manchester Ci..,2	,86.6	,4	,7.16,2016/2017,EPL,1.6	,2	,1	,2755	
0.6	,1(4),-	,Brazil,-	,90.9	,1	,6.31,2018,WC,1.6	,-	,-	,156	
1.5	,12,1	,Manchester Ci..,-	,86.3	,2	,7.24,2015/2016,UCL,1.1	,2	,3	,1050	
0.9	,31(2),2	,Manchester Ci..,-	,87.4	,8	,7.17,2015/2016,EPL,1.3	,2	,2	,2732	
-	,4,-	,Brazil,-	,87.2	,1	,7.08,2015,ICA,4	,-	,-	,391	
0.3	,4(3),-	,Manchester Ci..,1	,87.4	,1	,6.96,2014/2015,UCL,0.4	,-	,-	,425	
0.7	,25(8),1	,Manchester Ci..,-	,88.5	,7	,7.19,2014/2015,EPL,1.3	,3	,3	,2273	
0.3	,8,-	,Manchester Ci..,-	,88.8	,3	,6.93,2013/2014,UCL,1.3	,-	,-	,653	
1	,29(4),1	,Manchester Ci..,-	,88.3	,8	,7.40,2013/2014,EPL,1.2	,5	,3	,2609	
0.6	,3(2),-	,Brazil,-	,86.5	,1	,6.47,2014,WC,0.6	,1	,-	,299	
2.3	,8,2	,Shakhtar Done..,-	,86.2	,1	,7.86,2012/2013,UCL,0.5	,1	,-	,720	
2.3	,4,-	,Shakhtar Done..,-	,82	,-	,7.37,2011/2012,UCL,0.5	,-	,-	,360	
-	,0(2),-	,Shakhtar Done..,-	,77.8	,1	,5.90,2010/2011,UCL,-	,-	,-	,36	
1,281,11,,4,87.8,59,7.19,Total / Average,,1.7,23,19,22312
0.2	,4(1),-	,Manchester Ci..,-	,91.6	,1	,7.20,2019/2020,EPL,2.2	,-	,-	,413	
-	,2,-	,Manchester Ci..,-	,89.4	,1	,7.15,2019/2020,UCL,2	,-	,-	,180	
2	,1(1),-	,Brazil,-	,85.9	,-	,7.01,2019,ICA,2	,-	,1	,123	
1	,27(2),2	,Manchester Ci..,-	,87.5	,5	,7.31,2018/2019,EPL,2.6	,1	,3	,2382	
0.6	,7(1),-	,Manchester Ci..,-	,87.3	,3	,6.88,2018/2019,UCL,2	,-	,-	,643	
1	,8,-	,Manchester Ci..,-	,89.9	,2	,6.96,2017/2018,UCL,2.6	,-	,-	,682	
1.4	,33(1),1	,Manchester Ci..,-	,90.1	,7	,7.44,2017/2018,EPL,2.8	,5	,3	,2885	
0.7	,7,-	,Manchester Ci..,1	,85.5	,2	,6.68,2016/2017,UCL,1.3	,1	,-	,545	
1.1	,31(1),1	,Manchester Ci..,2	,86.6	,4	,7.16,2016/2017,EPL,1.6	,2	,1	,2755	
0.6	,1(4),-	,Brazil,-	,90.9	,1	,6.31,2018,WC,1.6	,-	,-	,156	
1.5	,12,1	,Manchester Ci..,-	,86.3	,2	,7.24,2015/2016,UCL,1.1	,2	,3	,1050	
0.9	,31(2),2	,Manchester Ci..,-	,87.4	,8	,7.17,2015/2016,EPL,1.3	,2	,2	,2732	
-	,4,-	,Brazil,-	,87.2	,1	,7.08,2015,ICA,4	,-	,-	,391	
0.3	,4(3),-	,Manchester Ci..,1	,87.4	,1	,6.96,2014/2015,UCL,0.4	,-	,-	,425	
0.7	,25(8),1	,Manchester Ci..,-	,88.5	,7	,7.19,2014/2015,EPL,1.3	,3	,3	,2273	
0.3	,8,-	,Manchester Ci..,-	,88.8	,3	,6.93,2013/2014,UCL,1.3	,-	,-	,653	
1	,29(4),1	,Manchester Ci..,-	,88.3	,8	,7.40,2013/2014,EPL,1.2	,5	,3	,2609	
0.6	,3(2),-	,Brazil,-	,86.5	,1	,6.47,2014,WC,0.6	,1	,-	,299	
2.3	,8,2	,Shakhtar Done..,-	,86.2	,1	,7.86,2012/2013,UCL,0.5	,1	,-	,720	
2.3	,4,-	,Shakhtar Done..,-	,82	,-	,7.37,2011/2012,UCL,0.5	,-	,-	,360	
-	,0(2),-	,Shakhtar Done..,-	,77.8	,1	,5.90,2010/2011,UCL,-	,-	,-	,36	
1,281,11,,4,87.8,59,7.19,Total / Average,,1.7,23,19,22312
