ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.9	,7,-	,Crystal Palac..,-	,90.9	,1	,6.78,2019/2020,EPL,2.1	,-	,-	,630	
-	,0(2),-	,Chelsea,-	,88.9	,-	,6.12,2018/2019,EPL,0.5	,-	,-	,22	
0.8	,4,-	,Chelsea,-	,93.4	,1	,7.03,2018/2019,UEL,2.8	,-	,-	,360	
0.7	,5(1),-	,Chelsea,-	,92.2	,1	,6.54,2017/2018,UCL,1.7	,-	,-	,448	
0.4	,24(3),-	,Chelsea,1	,89	,1	,6.87,2017/2018,EPL,3.4	,-	,-	,2084	
0.6	,36(1),1	,Chelsea,-	,88.4	,5	,7.06,2016/2017,EPL,2.5	,6	,-	,3296	
-	,1,-	,England,-	,93.3	,-	,7.02,2018,WC,3	,-	,-	,90	
0.7	,6(1),-	,Chelsea,-	,88.3	,1	,6.95,2015/2016,UCL,2.3	,1	,-	,541	
0.6	,21(2),-	,Chelsea,-	,83.6	,2	,6.81,2015/2016,EPL,3	,2	,1	,1955	
1.2	,6,-	,Chelsea,-	,89.5	,-	,7.09,2014/2015,UCL,1.7	,1	,2	,570	
0.6	,33(3),-	,Chelsea,-	,86.5	,5	,6.96,2014/2015,EPL,3.3	,1	,-	,2985	
1.5	,4,-	,England,-	,88.4	,1	,7.05,2016,UEC,5.8	,-	,-	,360	
0.4	,10,1	,Chelsea,-	,86	,2	,7.01,2013/2014,UCL,2	,1	,-	,900	
0.6	,29(1),-	,Chelsea,-	,88.3	,2	,7.29,2013/2014,EPL,3.5	,1	,1	,2623	
-	,3,-	,England,-	,88.5	,-	,7.21,2014,WC,3	,-	,-	,270	
0.3	,4,-	,Chelsea,-	,88.5	,1	,7.21,2012/2013,UEL,3.5	,-	,-	,360	
1.3	,4,-	,Chelsea,-	,96.3	,-	,6.83,2012/2013,UCL,1.3	,1	,-	,360	
0.6	,24(2),-	,Chelsea,-	,88.4	,1	,7.07,2012/2013,EPL,3	,2	,2	,2216	
0.4	,4(1),-	,Chelsea,-	,89.9	,1	,6.46,2011/2012,UCL,0.6	,-	,-	,343	
0.9	,9(1),-	,Chelsea,-	,85.3	,2	,6.98,2011/2012,EPL,0.8	,1	,-	,855	
0.8	,19,1	,Bolton,1	,74.4	,2	,6.93,2011/2012,EPL,3.3	,2	,-	,1638	
1.2	,36,7	,Bolton,1	,71.6	,7	,7.30,2010/2011,EPL,4	,3	,-	,3214	
1.3	,29,5	,Bolton,-	,68.4	,3	,7.33,2009/2010,EPL,4.4	,5	,1	,2610	
0.7,336,15,,3,83.8,39,7.04,Total / Average,,3.1,27,7,28730
0.9	,7,-	,Crystal Palac..,-	,90.9	,1	,6.78,2019/2020,EPL,2.1	,-	,-	,630	
-	,0(2),-	,Chelsea,-	,88.9	,-	,6.12,2018/2019,EPL,0.5	,-	,-	,22	
0.8	,4,-	,Chelsea,-	,93.4	,1	,7.03,2018/2019,UEL,2.8	,-	,-	,360	
0.7	,5(1),-	,Chelsea,-	,92.2	,1	,6.54,2017/2018,UCL,1.7	,-	,-	,448	
0.4	,24(3),-	,Chelsea,1	,89	,1	,6.87,2017/2018,EPL,3.4	,-	,-	,2084	
0.6	,36(1),1	,Chelsea,-	,88.4	,5	,7.06,2016/2017,EPL,2.5	,6	,-	,3296	
-	,1,-	,England,-	,93.3	,-	,7.02,2018,WC,3	,-	,-	,90	
0.7	,6(1),-	,Chelsea,-	,88.3	,1	,6.95,2015/2016,UCL,2.3	,1	,-	,541	
0.6	,21(2),-	,Chelsea,-	,83.6	,2	,6.81,2015/2016,EPL,3	,2	,1	,1955	
1.2	,6,-	,Chelsea,-	,89.5	,-	,7.09,2014/2015,UCL,1.7	,1	,2	,570	
0.6	,33(3),-	,Chelsea,-	,86.5	,5	,6.96,2014/2015,EPL,3.3	,1	,-	,2985	
1.5	,4,-	,England,-	,88.4	,1	,7.05,2016,UEC,5.8	,-	,-	,360	
0.4	,10,1	,Chelsea,-	,86	,2	,7.01,2013/2014,UCL,2	,1	,-	,900	
0.6	,29(1),-	,Chelsea,-	,88.3	,2	,7.29,2013/2014,EPL,3.5	,1	,1	,2623	
-	,3,-	,England,-	,88.5	,-	,7.21,2014,WC,3	,-	,-	,270	
0.3	,4,-	,Chelsea,-	,88.5	,1	,7.21,2012/2013,UEL,3.5	,-	,-	,360	
1.3	,4,-	,Chelsea,-	,96.3	,-	,6.83,2012/2013,UCL,1.3	,1	,-	,360	
0.6	,24(2),-	,Chelsea,-	,88.4	,1	,7.07,2012/2013,EPL,3	,2	,2	,2216	
0.4	,4(1),-	,Chelsea,-	,89.9	,1	,6.46,2011/2012,UCL,0.6	,-	,-	,343	
0.9	,9(1),-	,Chelsea,-	,85.3	,2	,6.98,2011/2012,EPL,0.8	,1	,-	,855	
0.8	,19,1	,Bolton,1	,74.4	,2	,6.93,2011/2012,EPL,3.3	,2	,-	,1638	
1.2	,36,7	,Bolton,1	,71.6	,7	,7.30,2010/2011,EPL,4	,3	,-	,3214	
1.3	,29,5	,Bolton,-	,68.4	,3	,7.33,2009/2010,EPL,4.4	,5	,1	,2610	
0.7,336,15,,3,83.8,39,7.04,Total / Average,,3.1,27,7,28730
