ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,5(1),1	,Norwich,-	,88	,1	,6.65,2019/2020,EPL,2.5	,-	,-	,504	
0.5	,7(10),1	,Sevilla,-	,85.8	,2	,6.53,2018/2019,SLL,1.5	,-	,-	,758	
0.2	,2(4),-	,Sevilla,-	,91.8	,1	,6.38,2018/2019,UEL,0.8	,-	,-	,189	
0.5	,30,-	,Lille,-	,87.5	,3	,6.53,2017/2018,FL1,1.1	,-	,-	,2413	
0.5	,34(1),1	,Lille,-	,87.4	,4	,6.87,2016/2017,FL1,1.6	,1	,1	,2956	
0.5	,18(4),2	,Lille,-	,80.9	,2	,7.10,2015/2016,FL1,2	,1	,-	,1665	
-	,0(1),-	,Nancy,-	,100	,-	,6.00,2012/2013,FL1,-	,-	,-	,1	
0.5,117,5,,0,86.3,13,6.73,Total / Average,,1.5,2,1,8486
0.3	,5(1),1	,Norwich,-	,88	,1	,6.65,2019/2020,EPL,2.5	,-	,-	,504	
0.5	,7(10),1	,Sevilla,-	,85.8	,2	,6.53,2018/2019,SLL,1.5	,-	,-	,758	
0.2	,2(4),-	,Sevilla,-	,91.8	,1	,6.38,2018/2019,UEL,0.8	,-	,-	,189	
0.5	,30,-	,Lille,-	,87.5	,3	,6.53,2017/2018,FL1,1.1	,-	,-	,2413	
0.5	,34(1),1	,Lille,-	,87.4	,4	,6.87,2016/2017,FL1,1.6	,1	,1	,2956	
0.5	,18(4),2	,Lille,-	,80.9	,2	,7.10,2015/2016,FL1,2	,1	,-	,1665	
-	,0(1),-	,Nancy,-	,100	,-	,6.00,2012/2013,FL1,-	,-	,-	,1	
0.5,117,5,,0,86.3,13,6.73,Total / Average,,1.5,2,1,8486
