ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,7,-	,Burnley,-	,73	,-	,6.63,2019/2020,EPL,1.6	,-	,-	,574	
0.5	,37,-	,Burnley,-	,81.2	,6	,6.58,2018/2019,EPL,1.4	,1	,2	,3313	
0.4	,38,-	,Burnley,-	,80.6	,7	,6.74,2017/2018,EPL,1.5	,2	,1	,3420	
0.6	,25(5),-	,Swansea,-	,83.5	,7	,6.60,2016/2017,EPL,1.2	,-	,-	,2233	
0.5	,28(7),1	,Swansea,-	,83.8	,3	,7.05,2015/2016,EPL,1.7	,1	,2	,2545	
0.3	,5(7),-	,Southampton,-	,86.9	,-	,6.63,2014/2015,EPL,0.5	,2	,-	,477	
0.3	,15,-	,Swansea,-	,85.4	,1	,7.18,2014/2015,EPL,3.1	,1	,-	,1325	
0.6	,21(7),-	,Southampton,-	,86	,5	,6.79,2013/2014,EPL,1.1	,-	,1	,1736	
0.5	,28,-	,Southampton,-	,83.6	,1	,6.88,2012/2013,EPL,1.5	,-	,-	,2431	
0.9	,8(3),-	,Burnley,-	,81.5	,1	,6.73,2009/2010,EPL,0.5	,1	,3	,773	
0.5,241,1,,0,82.9,31,6.78,Total / Average,,1.4,8,9,18827
0.7	,7,-	,Burnley,-	,73	,-	,6.63,2019/2020,EPL,1.6	,-	,-	,574	
0.5	,37,-	,Burnley,-	,81.2	,6	,6.58,2018/2019,EPL,1.4	,1	,2	,3313	
0.4	,38,-	,Burnley,-	,80.6	,7	,6.74,2017/2018,EPL,1.5	,2	,1	,3420	
0.6	,25(5),-	,Swansea,-	,83.5	,7	,6.60,2016/2017,EPL,1.2	,-	,-	,2233	
0.5	,28(7),1	,Swansea,-	,83.8	,3	,7.05,2015/2016,EPL,1.7	,1	,2	,2545	
0.3	,5(7),-	,Southampton,-	,86.9	,-	,6.63,2014/2015,EPL,0.5	,2	,-	,477	
0.3	,15,-	,Swansea,-	,85.4	,1	,7.18,2014/2015,EPL,3.1	,1	,-	,1325	
0.6	,21(7),-	,Southampton,-	,86	,5	,6.79,2013/2014,EPL,1.1	,-	,1	,1736	
0.5	,28,-	,Southampton,-	,83.6	,1	,6.88,2012/2013,EPL,1.5	,-	,-	,2431	
0.9	,8(3),-	,Burnley,-	,81.5	,1	,6.73,2009/2010,EPL,0.5	,1	,3	,773	
0.5,241,1,,0,82.9,31,6.78,Total / Average,,1.4,8,9,18827
