ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,2(4),-	,West Ham,-	,82.8	,-	,5.99,2019/2020,EPL,0.8	,-	,-	,177	
0.3	,4(4),-	,West Ham,-	,89.8	,2	,6.68,2018/2019,EPL,0.3	,-	,1	,389	
1.2	,12(1),1	,Arsenal,-	,86.4	,1	,7.23,2017/2018,UEL,0.5	,1	,2	,1029	
0.8	,12(8),1	,Arsenal,-	,86.4	,6	,6.82,2017/2018,EPL,0.4	,1	,3	,1188	
1	,22(5),-	,Bournemouth,-	,83.4	,3	,6.82,2016/2017,EPL,0.3	,-	,2	,1916	
-	,0(2),-	,Arsenal,-	,87	,1	,6.40,2016/2017,EPL,-	,-	,-	,37	
0.3	,1(2),-	,Arsenal,-	,84.3	,-	,6.64,2015/2016,EPL,0.7	,-	,-	,141	
-	,2(1),-	,Arsenal,-	,77.9	,1	,6.80,2014/2015,UCL,0.3	,-	,-	,187	
1.3	,9(5),1	,Arsenal,-	,84.2	,4	,6.84,2014/2015,EPL,0.2	,2	,1	,732	
0.3	,1(2),-	,England,-	,81.2	,-	,6.51,2016,UEC,-	,-	,-	,113	
0.8	,4(1),1	,Arsenal,-	,77.7	,-	,7.13,2013/2014,UCL,0.2	,2	,-	,341	
0.9	,19(5),2	,Arsenal,-	,86.1	,6	,7.01,2013/2014,EPL,0.2	,3	,4	,1720	
-	,1(1),-	,England,-	,87	,-	,6.47,2014,WC,-	,-	,-	,90	
1	,3,1	,Arsenal,-	,82.7	,-	,7.74,2012/2013,UCL,0.3	,1	,1	,270	
0.5	,20(5),-	,Arsenal,1	,86.2	,3	,7.05,2012/2013,EPL,0.4	,-	,3	,1696	
0.7	,7,-	,Arsenal,-	,87	,1	,7.43,2010/2011,UCL,0.1	,1	,3	,615	
0.8	,31(4),-	,Arsenal,1	,86.1	,7	,7.05,2010/2011,EPL,0.3	,1	,3	,2652	
-	,1(1),-	,Arsenal,-	,69	,-	,6.21,2009/2010,UCL,-	,-	,-	,80	
-	,0(1),-	,Arsenal,-	,100	,-	,6.00,2009/2010,EPL,-	,-	,-	,1	
1.2	,13(1),-	,Bolton,-	,74.2	,4	,6.95,2009/2010,EPL,0.4	,1	,1	,1093	
0.8,217,7,,2,84.5,39,6.93,Total / Average,,0.3,13,24,14467
-	,2(4),-	,West Ham,-	,82.8	,-	,5.99,2019/2020,EPL,0.8	,-	,-	,177	
0.3	,4(4),-	,West Ham,-	,89.8	,2	,6.68,2018/2019,EPL,0.3	,-	,1	,389	
1.2	,12(1),1	,Arsenal,-	,86.4	,1	,7.23,2017/2018,UEL,0.5	,1	,2	,1029	
0.8	,12(8),1	,Arsenal,-	,86.4	,6	,6.82,2017/2018,EPL,0.4	,1	,3	,1188	
1	,22(5),-	,Bournemouth,-	,83.4	,3	,6.82,2016/2017,EPL,0.3	,-	,2	,1916	
-	,0(2),-	,Arsenal,-	,87	,1	,6.40,2016/2017,EPL,-	,-	,-	,37	
0.3	,1(2),-	,Arsenal,-	,84.3	,-	,6.64,2015/2016,EPL,0.7	,-	,-	,141	
-	,2(1),-	,Arsenal,-	,77.9	,1	,6.80,2014/2015,UCL,0.3	,-	,-	,187	
1.3	,9(5),1	,Arsenal,-	,84.2	,4	,6.84,2014/2015,EPL,0.2	,2	,1	,732	
0.3	,1(2),-	,England,-	,81.2	,-	,6.51,2016,UEC,-	,-	,-	,113	
0.8	,4(1),1	,Arsenal,-	,77.7	,-	,7.13,2013/2014,UCL,0.2	,2	,-	,341	
0.9	,19(5),2	,Arsenal,-	,86.1	,6	,7.01,2013/2014,EPL,0.2	,3	,4	,1720	
-	,1(1),-	,England,-	,87	,-	,6.47,2014,WC,-	,-	,-	,90	
1	,3,1	,Arsenal,-	,82.7	,-	,7.74,2012/2013,UCL,0.3	,1	,1	,270	
0.5	,20(5),-	,Arsenal,1	,86.2	,3	,7.05,2012/2013,EPL,0.4	,-	,3	,1696	
0.7	,7,-	,Arsenal,-	,87	,1	,7.43,2010/2011,UCL,0.1	,1	,3	,615	
0.8	,31(4),-	,Arsenal,1	,86.1	,7	,7.05,2010/2011,EPL,0.3	,1	,3	,2652	
-	,1(1),-	,Arsenal,-	,69	,-	,6.21,2009/2010,UCL,-	,-	,-	,80	
-	,0(1),-	,Arsenal,-	,100	,-	,6.00,2009/2010,EPL,-	,-	,-	,1	
1.2	,13(1),-	,Bolton,-	,74.2	,4	,6.95,2009/2010,EPL,0.4	,1	,1	,1093	
0.8,217,7,,2,84.5,39,6.93,Total / Average,,0.3,13,24,14467
