ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.1	,9,-	,Norwich,-	,79.6	,1	,6.64,2019/2020,EPL,0.6	,-	,-	,810	
0.5	,42,1	,Norwich,-	,76.5	,6	,6.71,2018/2019,EC,0.6	,-	,4	,3716	
0.3	,3,-	,N.Ireland,-	,76	,-	,6.14,2018/2019,UNL,1.3	,-	,-	,270	
0.1	,19(3),-	,Norwich,-	,80.1	,4	,6.61,2017/2018,EC,0.8	,-	,-	,1793	
0.4,76,1,,0,77.9,11,6.65,Total / Average,,0.7,0,4,6589
0.1	,9,-	,Norwich,-	,79.6	,1	,6.64,2019/2020,EPL,0.6	,-	,-	,810	
0.5	,42,1	,Norwich,-	,76.5	,6	,6.71,2018/2019,EC,0.6	,-	,4	,3716	
0.3	,3,-	,N.Ireland,-	,76	,-	,6.14,2018/2019,UNL,1.3	,-	,-	,270	
0.1	,19(3),-	,Norwich,-	,80.1	,4	,6.61,2017/2018,EC,0.8	,-	,-	,1793	
0.4,76,1,,0,77.9,11,6.65,Total / Average,,0.7,0,4,6589
