ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,9,-	,Burnley,-	,66.3	,2	,7.07,2019/2020,EPL,4.2	,-	,-	,810	
0.6	,35,3	,Burnley,-	,69.5	,8	,7.11,2018/2019,EPL,4.8	,3	,1	,3087	
0.6	,31,4	,Burnley,-	,73.1	,5	,7.22,2017/2018,EPL,4.7	,-	,-	,2790	
0.3	,4(15),-	,Burnley,-	,68.1	,1	,6.39,2016/2017,EPL,1.4	,-	,-	,556	
0.5	,23,4	,Brentford,1	,77.2	,6	,7.44,2015/2016,EC,3.7	,1	,3	,1976	
0.3	,2(2),-	,Burnley,-	,64.3	,-	,7.02,2015/2016,EC,3.5	,-	,-	,239	
0.6	,36,4	,Brentford,-	,80.1	,7	,7.40,2014/2015,EC,3.1	,1	,2	,3201	
0.6,157,15,,1,73.3,29,7.15,Total / Average,,3.8,5,6,12659
0.7	,9,-	,Burnley,-	,66.3	,2	,7.07,2019/2020,EPL,4.2	,-	,-	,810	
0.6	,35,3	,Burnley,-	,69.5	,8	,7.11,2018/2019,EPL,4.8	,3	,1	,3087	
0.6	,31,4	,Burnley,-	,73.1	,5	,7.22,2017/2018,EPL,4.7	,-	,-	,2790	
0.3	,4(15),-	,Burnley,-	,68.1	,1	,6.39,2016/2017,EPL,1.4	,-	,-	,556	
0.5	,23,4	,Brentford,1	,77.2	,6	,7.44,2015/2016,EC,3.7	,1	,3	,1976	
0.3	,2(2),-	,Burnley,-	,64.3	,-	,7.02,2015/2016,EC,3.5	,-	,-	,239	
0.6	,36,4	,Brentford,-	,80.1	,7	,7.40,2014/2015,EC,3.1	,1	,2	,3201	
0.6,157,15,,1,73.3,29,7.15,Total / Average,,3.8,5,6,12659
