ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.7	,9,-	,Southampton,-	,75.6	,1	,6.77,2019/2020,EPL,1.3	,1	,-	,810	
1.2	,21(5),-	,Southampton,-	,76.5	,4	,6.87,2018/2019,EPL,0.8	,7	,-	,1942	
0.9	,20(10),1	,Southampton,-	,78.8	,3	,6.58,2017/2018,EPL,0.7	,3	,3	,1717	
1.4	,22(8),-	,Southampton,-	,83.1	,4	,6.69,2016/2017,EPL,0.7	,4	,4	,1885	
1.8	,5(1),1	,Southampton,-	,90.8	,1	,7.21,2016/2017,UEL,1.3	,-	,-	,458	
0.8	,14(19),-	,Southampton,-	,83.5	,5	,6.55,2015/2016,EPL,0.3	,2	,4	,1534	
2	,1,-	,England U21,-	,87.1	,-	,7.12,2015,IEU,2	,-	,-	,54	
1.2	,16(9),-	,Southampton,1	,87.3	,-	,6.65,2014/2015,EPL,0.4	,1	,6	,1478	
0.6	,16(18),1	,Southampton,-	,87.3	,3	,6.62,2013/2014,EPL,0.4	,-	,2	,1604	
0.5	,4(11),-	,Southampton,-	,85.3	,-	,6.30,2012/2013,EPL,0.4	,-	,-	,483	
1,209,3,,1,83,21,6.65,Total / Average,,0.6,18,19,11965
1.7	,9,-	,Southampton,-	,75.6	,1	,6.77,2019/2020,EPL,1.3	,1	,-	,810	
1.2	,21(5),-	,Southampton,-	,76.5	,4	,6.87,2018/2019,EPL,0.8	,7	,-	,1942	
0.9	,20(10),1	,Southampton,-	,78.8	,3	,6.58,2017/2018,EPL,0.7	,3	,3	,1717	
1.4	,22(8),-	,Southampton,-	,83.1	,4	,6.69,2016/2017,EPL,0.7	,4	,4	,1885	
1.8	,5(1),1	,Southampton,-	,90.8	,1	,7.21,2016/2017,UEL,1.3	,-	,-	,458	
0.8	,14(19),-	,Southampton,-	,83.5	,5	,6.55,2015/2016,EPL,0.3	,2	,4	,1534	
2	,1,-	,England U21,-	,87.1	,-	,7.12,2015,IEU,2	,-	,-	,54	
1.2	,16(9),-	,Southampton,1	,87.3	,-	,6.65,2014/2015,EPL,0.4	,1	,6	,1478	
0.6	,16(18),1	,Southampton,-	,87.3	,3	,6.62,2013/2014,EPL,0.4	,-	,2	,1604	
0.5	,4(11),-	,Southampton,-	,85.3	,-	,6.30,2012/2013,EPL,0.4	,-	,-	,483	
1,209,3,,1,83,21,6.65,Total / Average,,0.6,18,19,11965
