ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.1	,9,-	,Southampton,-	,76.8	,1	,6.59,2019/2020,EPL,3.1	,-	,-	,810	
0.2	,24(1),3	,Southampton,-	,70.5	,7	,7.04,2018/2019,EPL,3.2	,-	,1	,2151	
0.3	,4,-	,Poland,-	,89.7	,1	,6.54,2018/2019,UNL,1.3	,-	,-	,360	
0.2	,5,-	,Southampton,-	,75.1	,1	,6.67,2017/2018,EPL,1.4	,1	,-	,428	
0.3	,2(1),1	,Poland,-	,90.1	,1	,6.93,2018,WC,1.7	,1	,-	,225	
0.2,46,4,,0,75.2,11,6.86,Total / Average,,2.7,2,1,3974
0.1	,9,-	,Southampton,-	,76.8	,1	,6.59,2019/2020,EPL,3.1	,-	,-	,810	
0.2	,24(1),3	,Southampton,-	,70.5	,7	,7.04,2018/2019,EPL,3.2	,-	,1	,2151	
0.3	,4,-	,Poland,-	,89.7	,1	,6.54,2018/2019,UNL,1.3	,-	,-	,360	
0.2	,5,-	,Southampton,-	,75.1	,1	,6.67,2017/2018,EPL,1.4	,1	,-	,428	
0.3	,2(1),1	,Poland,-	,90.1	,1	,6.93,2018,WC,1.7	,1	,-	,225	
0.2,46,4,,0,75.2,11,6.86,Total / Average,,2.7,2,1,3974
