ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,5(1),-	,Newcastle Uni..,-	,79.3	,-	,6.72,2019/2020,EPL,0.7	,1	,1	,478	
0.2	,7(16),-	,Eintracht Fra..,1	,71	,2	,6.31,2018/2019,GB,0.4	,-	,1	,720	
1	,5(6),-	,Eintracht Fra..,1	,80.2	,1	,6.51,2018/2019,UEL,0.5	,-	,1	,511	
0.9	,19(4),1	,Eintracht Fra..,-	,73.3	,4	,7.00,2017/2018,GB,0.9	,-	,2	,1670	
0.2	,5,-	,PSV Eindhoven,-	,81.2	,-	,6.75,2016/2017,UCL,0.2	,-	,-	,362	
0.4	,24(1),1	,PSV Eindhoven,-	,82.9	,2	,7.09,2016/2017,NE,0.6	,2	,2	,2003	
1	,2,-	,PSV Eindhoven,-	,72.4	,-	,7.01,2015/2016,UCL,0.5	,-	,-	,165	
0.7	,11(4),1	,PSV Eindhoven,-	,81.4	,3	,7.29,2015/2016,NE,0.5	,2	,4	,989	
1.3	,8,2	,PSV Eindhoven,-	,79.2	,1	,7.54,2014/2015,UEL,1.1	,-	,3	,720	
0.7	,30,4	,PSV Eindhoven,1	,78.6	,9	,7.66,2014/2015,NE,0.8	,2	,13	,2455	
-	,5,-	,PSV Eindhoven,-	,83.2	,-	,6.96,2013/2014,UEL,1.2	,-	,-	,349	
0.9	,28,3	,PSV Eindhoven,-	,81.4	,5	,7.50,2013/2014,NE,1.4	,4	,3	,2378	
0.7	,3,-	,PSV Eindhoven,-	,81.4	,-	,6.69,2012/2013,UEL,1	,-	,-	,226	
0.3	,3,-	,Netherlands,-	,90.8	,2	,6.29,2012,UEC,-	,-	,-	,247	
0.7,187,12,,3,78.7,29,7.09,Total / Average,,0.8,11,30,13273
0.8	,5(1),-	,Newcastle Uni..,-	,79.3	,-	,6.72,2019/2020,EPL,0.7	,1	,1	,478	
0.2	,7(16),-	,Eintracht Fra..,1	,71	,2	,6.31,2018/2019,GB,0.4	,-	,1	,720	
1	,5(6),-	,Eintracht Fra..,1	,80.2	,1	,6.51,2018/2019,UEL,0.5	,-	,1	,511	
0.9	,19(4),1	,Eintracht Fra..,-	,73.3	,4	,7.00,2017/2018,GB,0.9	,-	,2	,1670	
0.2	,5,-	,PSV Eindhoven,-	,81.2	,-	,6.75,2016/2017,UCL,0.2	,-	,-	,362	
0.4	,24(1),1	,PSV Eindhoven,-	,82.9	,2	,7.09,2016/2017,NE,0.6	,2	,2	,2003	
1	,2,-	,PSV Eindhoven,-	,72.4	,-	,7.01,2015/2016,UCL,0.5	,-	,-	,165	
0.7	,11(4),1	,PSV Eindhoven,-	,81.4	,3	,7.29,2015/2016,NE,0.5	,2	,4	,989	
1.3	,8,2	,PSV Eindhoven,-	,79.2	,1	,7.54,2014/2015,UEL,1.1	,-	,3	,720	
0.7	,30,4	,PSV Eindhoven,1	,78.6	,9	,7.66,2014/2015,NE,0.8	,2	,13	,2455	
-	,5,-	,PSV Eindhoven,-	,83.2	,-	,6.96,2013/2014,UEL,1.2	,-	,-	,349	
0.9	,28,3	,PSV Eindhoven,-	,81.4	,5	,7.50,2013/2014,NE,1.4	,4	,3	,2378	
0.7	,3,-	,PSV Eindhoven,-	,81.4	,-	,6.69,2012/2013,UEL,1	,-	,-	,226	
0.3	,3,-	,Netherlands,-	,90.8	,2	,6.29,2012,UEC,-	,-	,-	,247	
0.7,187,12,,3,78.7,29,7.09,Total / Average,,0.8,11,30,13273
