ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,9,-	,Sheffield Uni..,-	,80.8	,-	,6.99,2019/2020,EPL,3.4	,-	,-	,810	
0.8	,44,2	,Sheffield Uni..,1	,79.2	,7	,7.12,2018/2019,EC,4.4	,1	,1	,3911	
0.7	,32(1),-	,Brentford,-	,80.2	,4	,7.03,2017/2018,EC,4.2	,2	,1	,2851	
1.1	,34,3	,Brentford,-	,74.5	,7	,7.29,2016/2017,EC,4.1	,4	,1	,3028	
0.8,120,5,,1,78.3,18,7.14,Total / Average,,4.2,7,3,10600
0.2	,9,-	,Sheffield Uni..,-	,80.8	,-	,6.99,2019/2020,EPL,3.4	,-	,-	,810	
0.8	,44,2	,Sheffield Uni..,1	,79.2	,7	,7.12,2018/2019,EC,4.4	,1	,1	,3911	
0.7	,32(1),-	,Brentford,-	,80.2	,4	,7.03,2017/2018,EC,4.2	,2	,1	,2851	
1.1	,34,3	,Brentford,-	,74.5	,7	,7.29,2016/2017,EC,4.1	,4	,1	,3028	
0.8,120,5,,1,78.3,18,7.14,Total / Average,,4.2,7,3,10600
