ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,9,1	,Sheffield Uni..,-	,83.4	,3	,6.79,2019/2020,EPL,0.8	,1	,1	,780	
0.4	,5(5),-	,Sheffield Uni..,-	,82.2	,-	,6.38,2018/2019,EC,0.3	,-	,1	,411	
0.9	,21(15),-	,Sheffield Uni..,-	,80.9	,3	,6.68,2017/2018,EC,1.3	,3	,3	,1956	
1.2	,16(1),-	,Blackpool,-	,80.2	,4	,6.69,2014/2015,EC,0.9	,-	,-	,1434	
1.1	,13(1),-	,Yeovil,-	,71.7	,3	,6.77,2013/2014,EC,0.5	,2	,3	,1070	
0.9,86,1,,0,79.7,13,6.67,Total / Average,,0.9,6,8,5651
0.8	,9,1	,Sheffield Uni..,-	,83.4	,3	,6.79,2019/2020,EPL,0.8	,1	,1	,780	
0.4	,5(5),-	,Sheffield Uni..,-	,82.2	,-	,6.38,2018/2019,EC,0.3	,-	,1	,411	
0.9	,21(15),-	,Sheffield Uni..,-	,80.9	,3	,6.68,2017/2018,EC,1.3	,3	,3	,1956	
1.2	,16(1),-	,Blackpool,-	,80.2	,4	,6.69,2014/2015,EC,0.9	,-	,-	,1434	
1.1	,13(1),-	,Yeovil,-	,71.7	,3	,6.77,2013/2014,EC,0.5	,2	,3	,1070	
0.9,86,1,,0,79.7,13,6.67,Total / Average,,0.9,6,8,5651
