ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,2(1),-	,Manchester Ci..,-	,93.2	,-	,6.56,2019/2020,EPL,2	,-	,-	,191	
0.2	,20(4),-	,Manchester Ci..,-	,94.2	,1	,6.87,2018/2019,EPL,2.5	,-	,-	,1763	
0.3	,5(1),-	,Manchester Ci..,-	,95.7	,-	,6.85,2018/2019,UCL,2	,-	,-	,422	
1.3	,4,-	,England,-	,92.5	,2	,6.47,2018/2019,UNL,1.8	,-	,-	,390	
0.8	,5,1	,Manchester Ci..,-	,95.5	,-	,7.87,2017/2018,UCL,2	,3	,-	,450	
0.6	,16(2),-	,Manchester Ci..,-	,95.8	,-	,6.89,2017/2018,EPL,1.8	,-	,-	,1306	
0.4	,6(1),-	,Manchester Ci..,-	,93.6	,-	,6.66,2016/2017,UCL,1	,1	,-	,557	
0.5	,23(4),1	,Manchester Ci..,-	,91.7	,1	,6.78,2016/2017,EPL,1.8	,-	,-	,2013	
0.9	,7,-	,England,-	,94.8	,1	,7.28,2018,WC,3.1	,2	,-	,646	
0.2	,31(2),-	,Everton,-	,88.7	,3	,6.85,2015/2016,EPL,1.6	,-	,-	,2780	
-	,1,-	,England U21,-	,91.9	,-	,6.64,2015,IEU,-	,-	,-	,90	
0.3	,3,-	,Everton,1	,88.4	,-	,5.96,2014/2015,UEL,1.3	,-	,-	,242	
0.3	,23,1	,Everton,-	,89.5	,1	,7.17,2014/2015,EPL,2.6	,1	,-	,2044	
-	,15(6),1	,Everton,-	,89.8	,1	,6.84,2013/2014,EPL,1.5	,-	,-	,1368	
0.4,182,4,,1,91.8,10,6.89,Total / Average,,1.9,7,0,14262
-	,2(1),-	,Manchester Ci..,-	,93.2	,-	,6.56,2019/2020,EPL,2	,-	,-	,191	
0.2	,20(4),-	,Manchester Ci..,-	,94.2	,1	,6.87,2018/2019,EPL,2.5	,-	,-	,1763	
0.3	,5(1),-	,Manchester Ci..,-	,95.7	,-	,6.85,2018/2019,UCL,2	,-	,-	,422	
1.3	,4,-	,England,-	,92.5	,2	,6.47,2018/2019,UNL,1.8	,-	,-	,390	
0.8	,5,1	,Manchester Ci..,-	,95.5	,-	,7.87,2017/2018,UCL,2	,3	,-	,450	
0.6	,16(2),-	,Manchester Ci..,-	,95.8	,-	,6.89,2017/2018,EPL,1.8	,-	,-	,1306	
0.4	,6(1),-	,Manchester Ci..,-	,93.6	,-	,6.66,2016/2017,UCL,1	,1	,-	,557	
0.5	,23(4),1	,Manchester Ci..,-	,91.7	,1	,6.78,2016/2017,EPL,1.8	,-	,-	,2013	
0.9	,7,-	,England,-	,94.8	,1	,7.28,2018,WC,3.1	,2	,-	,646	
0.2	,31(2),-	,Everton,-	,88.7	,3	,6.85,2015/2016,EPL,1.6	,-	,-	,2780	
-	,1,-	,England U21,-	,91.9	,-	,6.64,2015,IEU,-	,-	,-	,90	
0.3	,3,-	,Everton,1	,88.4	,-	,5.96,2014/2015,UEL,1.3	,-	,-	,242	
0.3	,23,1	,Everton,-	,89.5	,1	,7.17,2014/2015,EPL,2.6	,1	,-	,2044	
-	,15(6),1	,Everton,-	,89.8	,1	,6.84,2013/2014,EPL,1.5	,-	,-	,1368	
0.4,182,4,,1,91.8,10,6.89,Total / Average,,1.9,7,0,14262
