ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,0(6),-	,Norwich,-	,81	,-	,6.10,2019/2020,EPL,0.2	,1	,-	,73	
1.4	,2(3),-	,Borussia M.Gl..,-	,89.8	,-	,6.62,2018/2019,GB,0.8	,2	,-	,219	
0.5	,0(2),-	,Switzerland,-	,77.8	,-	,6.02,2018/2019,UNL,0.5	,-	,-	,34	
1.3	,4(9),-	,Borussia M.Gl..,-	,67.9	,1	,6.39,2017/2018,GB,1.4	,4	,1	,463	
0.8	,2(10),-	,Borussia M.Gl..,-	,63.9	,-	,6.16,2016/2017,GB,1.7	,-	,-	,276	
2.7	,1(2),-	,Borussia M.Gl..,-	,68.6	,-	,6.67,2016/2017,UEL,2.7	,-	,2	,171	
1.3	,1(2),-	,Switzerland,-	,81	,-	,6.46,2018,WC,1	,1	,-	,112	
0.6	,4(9),-	,Borussia M.Gl..,-	,71.5	,-	,6.16,2015/2016,GB,0.5	,1	,-	,441	
1	,5(1),-	,Hamburger SV,-	,61.2	,2	,6.73,2015/2016,GB,1.8	,1	,-	,420	
-	,0(3),-	,Borussia M.Gl..,-	,76.3	,1	,6.09,2015/2016,UCL,1	,-	,-	,102	
0.8	,5(20),-	,Bayer Leverku..,-	,70.3	,1	,6.41,2014/2015,GB,1	,6	,1	,794	
1	,3(4),-	,Bayer Leverku..,-	,72.6	,-	,6.20,2014/2015,UCL,1	,-	,-	,316	
2	,30(3),-	,Nuernberg,-	,67	,2	,7.08,2013/2014,GB,2	,17	,3	,2666	
1.3	,3(1),-	,Switzerland,-	,84.8	,-	,6.91,2014,WC,0.8	,-	,2	,253	
1.2,135,0,,0,70.6,7,6.53,Total / Average,,1.3,33,9,6340
0.5	,0(6),-	,Norwich,-	,81	,-	,6.10,2019/2020,EPL,0.2	,1	,-	,73	
1.4	,2(3),-	,Borussia M.Gl..,-	,89.8	,-	,6.62,2018/2019,GB,0.8	,2	,-	,219	
0.5	,0(2),-	,Switzerland,-	,77.8	,-	,6.02,2018/2019,UNL,0.5	,-	,-	,34	
1.3	,4(9),-	,Borussia M.Gl..,-	,67.9	,1	,6.39,2017/2018,GB,1.4	,4	,1	,463	
0.8	,2(10),-	,Borussia M.Gl..,-	,63.9	,-	,6.16,2016/2017,GB,1.7	,-	,-	,276	
2.7	,1(2),-	,Borussia M.Gl..,-	,68.6	,-	,6.67,2016/2017,UEL,2.7	,-	,2	,171	
1.3	,1(2),-	,Switzerland,-	,81	,-	,6.46,2018,WC,1	,1	,-	,112	
0.6	,4(9),-	,Borussia M.Gl..,-	,71.5	,-	,6.16,2015/2016,GB,0.5	,1	,-	,441	
1	,5(1),-	,Hamburger SV,-	,61.2	,2	,6.73,2015/2016,GB,1.8	,1	,-	,420	
-	,0(3),-	,Borussia M.Gl..,-	,76.3	,1	,6.09,2015/2016,UCL,1	,-	,-	,102	
0.8	,5(20),-	,Bayer Leverku..,-	,70.3	,1	,6.41,2014/2015,GB,1	,6	,1	,794	
1	,3(4),-	,Bayer Leverku..,-	,72.6	,-	,6.20,2014/2015,UCL,1	,-	,-	,316	
2	,30(3),-	,Nuernberg,-	,67	,2	,7.08,2013/2014,GB,2	,17	,3	,2666	
1.3	,3(1),-	,Switzerland,-	,84.8	,-	,6.91,2014,WC,0.8	,-	,2	,253	
1.2,135,0,,0,70.6,7,6.53,Total / Average,,1.3,33,9,6340
