ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1(2),-	,Newcastle Uni..,-	,89.4	,-	,6.31,2019/2020,EPL,0.7	,-	,-	,136	
0.5	,14(4),-	,Newcastle Uni..,-	,85.1	,2	,6.57,2018/2019,EPL,0.8	,-	,1	,1302	
0.8	,21(4),1	,Swansea,-	,88	,2	,6.61,2017/2018,EPL,0.2	,2	,2	,1870	
0.4	,13(10),-	,Swansea,-	,89.5	,3	,6.36,2016/2017,EPL,0.3	,-	,1	,1287	
1.5	,2,-	,South Korea,-	,93.7	,-	,7.31,2018,WC,3	,-	,-	,180	
0.9	,21(7),-	,Swansea,-	,90.9	,4	,6.57,2015/2016,EPL,0.6	,2	,1	,1853	
0.8	,30(3),1	,Swansea,-	,89.8	,4	,7.10,2014/2015,EPL,1.7	,8	,1	,2690	
1.5	,25(2),-	,Sunderland,-	,90.7	,3	,6.80,2013/2014,EPL,0.6	,3	,1	,2185	
-	,0(1),-	,Swansea,-	,100	,-	,6.10,2013/2014,EPL,-	,-	,-	,13	
2.3	,3,1	,South Korea,-	,93.5	,1	,7.25,2014,WC,1.3	,-	,1	,270	
1.3	,20(9),-	,Swansea,-	,92.7	,3	,6.78,2012/2013,EPL,0.5	,-	,2	,2037	
0.9,192,3,,0,90,22,6.72,Total / Average,,0.7,15,10,13823
-	,1(2),-	,Newcastle Uni..,-	,89.4	,-	,6.31,2019/2020,EPL,0.7	,-	,-	,136	
0.5	,14(4),-	,Newcastle Uni..,-	,85.1	,2	,6.57,2018/2019,EPL,0.8	,-	,1	,1302	
0.8	,21(4),1	,Swansea,-	,88	,2	,6.61,2017/2018,EPL,0.2	,2	,2	,1870	
0.4	,13(10),-	,Swansea,-	,89.5	,3	,6.36,2016/2017,EPL,0.3	,-	,1	,1287	
1.5	,2,-	,South Korea,-	,93.7	,-	,7.31,2018,WC,3	,-	,-	,180	
0.9	,21(7),-	,Swansea,-	,90.9	,4	,6.57,2015/2016,EPL,0.6	,2	,1	,1853	
0.8	,30(3),1	,Swansea,-	,89.8	,4	,7.10,2014/2015,EPL,1.7	,8	,1	,2690	
1.5	,25(2),-	,Sunderland,-	,90.7	,3	,6.80,2013/2014,EPL,0.6	,3	,1	,2185	
-	,0(1),-	,Swansea,-	,100	,-	,6.10,2013/2014,EPL,-	,-	,-	,13	
2.3	,3,1	,South Korea,-	,93.5	,1	,7.25,2014,WC,1.3	,-	,1	,270	
1.3	,20(9),-	,Swansea,-	,92.7	,3	,6.78,2012/2013,EPL,0.5	,-	,2	,2037	
0.9,192,3,,0,90,22,6.72,Total / Average,,0.7,15,10,13823
