ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.6	,1(4),-	,Leicester,-	,92.7	,1	,6.36,2019/2020,EPL,-	,-	,-	,131	
1.4	,23(11),-	,Leicester,-	,77.6	,2	,6.51,2018/2019,EPL,0.3	,4	,1	,1996	
3.7	,3,1	,England U21,-	,89.1	,-	,7.62,2019,IEU,0.3	,1	,-	,255	
1	,17(18),1	,Leicester,-	,79.4	,2	,6.45,2017/2018,EPL,0.1	,3	,1	,1693	
1.4	,1(4),-	,Leicester,-	,64.4	,-	,6.14,2016/2017,UCL,0.2	,-	,-	,155	
0.9	,9(21),-	,Leicester,-	,74.8	,2	,6.45,2016/2017,EPL,0.2	,1	,3	,1039	
2.8	,22(2),1	,Birmingham,-	,77.3	,1	,6.86,2015/2016,EC,0.2	,1	,1	,1892	
0.4	,1(11),-	,Leicester,-	,78.7	,-	,6.35,2015/2016,EPL,0.1	,-	,1	,178	
1.9	,28(13),4	,Birmingham,-	,76	,2	,6.83,2014/2015,EC,0.2	,6	,1	,2557	
0.9	,1(6),-	,Birmingham,-	,61.3	,-	,6.21,2013/2014,EC,-	,1	,-	,175	
1.4,196,7,,0,76.8,10,6.58,Total / Average,,0.2,17,8,10071
0.6	,1(4),-	,Leicester,-	,92.7	,1	,6.36,2019/2020,EPL,-	,-	,-	,131	
1.4	,23(11),-	,Leicester,-	,77.6	,2	,6.51,2018/2019,EPL,0.3	,4	,1	,1996	
3.7	,3,1	,England U21,-	,89.1	,-	,7.62,2019,IEU,0.3	,1	,-	,255	
1	,17(18),1	,Leicester,-	,79.4	,2	,6.45,2017/2018,EPL,0.1	,3	,1	,1693	
1.4	,1(4),-	,Leicester,-	,64.4	,-	,6.14,2016/2017,UCL,0.2	,-	,-	,155	
0.9	,9(21),-	,Leicester,-	,74.8	,2	,6.45,2016/2017,EPL,0.2	,1	,3	,1039	
2.8	,22(2),1	,Birmingham,-	,77.3	,1	,6.86,2015/2016,EC,0.2	,1	,1	,1892	
0.4	,1(11),-	,Leicester,-	,78.7	,-	,6.35,2015/2016,EPL,0.1	,-	,1	,178	
1.9	,28(13),4	,Birmingham,-	,76	,2	,6.83,2014/2015,EC,0.2	,6	,1	,2557	
0.9	,1(6),-	,Birmingham,-	,61.3	,-	,6.21,2013/2014,EC,-	,1	,-	,175	
1.4,196,7,,0,76.8,10,6.58,Total / Average,,0.2,17,8,10071
