ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
3.3	,8,2	,Leicester,-	,79.4	,1	,7.31,2019/2020,EPL,0.4	,2	,2	,695	
2.3	,35(1),3	,Leicester,1	,83.8	,3	,7.20,2018/2019,EPL,0.3	,7	,7	,2850	
2.3	,3,-	,England U21,-	,86.6	,1	,7.17,2019,IEU,-	,1	,1	,253	
2.6	,42(2),8	,Norwich,-	,86.2	,7	,7.43,2017/2018,EC,0.3	,14	,8	,3643	
0.3	,0(3),-	,Norwich,-	,90.3	,-	,6.58,2016/2017,EC,-	,1	,-	,32	
2.5,94,13,,1,84.8,12,7.30,Total / Average,,0.3,25,18,7473
3.3	,8,2	,Leicester,-	,79.4	,1	,7.31,2019/2020,EPL,0.4	,2	,2	,695	
2.3	,35(1),3	,Leicester,1	,83.8	,3	,7.20,2018/2019,EPL,0.3	,7	,7	,2850	
2.3	,3,-	,England U21,-	,86.6	,1	,7.17,2019,IEU,-	,1	,1	,253	
2.6	,42(2),8	,Norwich,-	,86.2	,7	,7.43,2017/2018,EC,0.3	,14	,8	,3643	
0.3	,0(3),-	,Norwich,-	,90.3	,-	,6.58,2016/2017,EC,-	,1	,-	,32	
2.5,94,13,,1,84.8,12,7.30,Total / Average,,0.3,25,18,7473
