ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.6	,1(4),-	,Leicester,-	,76.9	,1	,6.42,2019/2020,EPL,-	,-	,1	,165	
0.7	,18(9),-	,Leicester,-	,65.9	,3	,6.68,2018/2019,EPL,0.6	,2	,2	,1627	
0.6	,30(4),2	,Leicester,1	,67.2	,5	,6.80,2017/2018,EPL,0.3	,2	,7	,2544	
0.7	,8(1),1	,Leicester,-	,67.6	,1	,6.95,2016/2017,UCL,0.3	,2	,-	,751	
0.6	,29(4),1	,Leicester,-	,63.7	,5	,6.85,2016/2017,EPL,0.2	,2	,6	,2425	
1.1	,34(4),-	,Leicester,-	,63.8	,4	,7.05,2015/2016,EPL,0.3	,2	,6	,2769	
0.8	,10(8),2	,Leicester,-	,58.1	,3	,7.13,2014/2015,EPL,0.6	,2	,3	,1028	
1	,2(2),-	,Wigan,-	,63.3	,1	,6.48,2013/2014,EC,0.3	,-	,-	,197	
1.3	,9(10),-	,Aston Villa,-	,72.3	,4	,6.81,2013/2014,EPL,0.2	,-	,4	,968	
0.6	,4(5),-	,Aston Villa,-	,59	,-	,6.38,2012/2013,EPL,0.1	,-	,-	,429	
0.8	,15(11),-	,Aston Villa,-	,71.5	,3	,6.70,2011/2012,EPL,0.2	,2	,2	,1490	
1.4	,20(9),2	,Aston Villa,-	,72.3	,3	,7.03,2010/2011,EPL,0.1	,5	,4	,1805	
-	,0(3),-	,Aston Villa,-	,71.4	,-	,6.42,2009/2010,EPL,-	,-	,-	,57	
0.9,254,8,,1,66.8,33,6.84,Total / Average,,0.3,19,35,16255
0.6	,1(4),-	,Leicester,-	,76.9	,1	,6.42,2019/2020,EPL,-	,-	,1	,165	
0.7	,18(9),-	,Leicester,-	,65.9	,3	,6.68,2018/2019,EPL,0.6	,2	,2	,1627	
0.6	,30(4),2	,Leicester,1	,67.2	,5	,6.80,2017/2018,EPL,0.3	,2	,7	,2544	
0.7	,8(1),1	,Leicester,-	,67.6	,1	,6.95,2016/2017,UCL,0.3	,2	,-	,751	
0.6	,29(4),1	,Leicester,-	,63.7	,5	,6.85,2016/2017,EPL,0.2	,2	,6	,2425	
1.1	,34(4),-	,Leicester,-	,63.8	,4	,7.05,2015/2016,EPL,0.3	,2	,6	,2769	
0.8	,10(8),2	,Leicester,-	,58.1	,3	,7.13,2014/2015,EPL,0.6	,2	,3	,1028	
1	,2(2),-	,Wigan,-	,63.3	,1	,6.48,2013/2014,EC,0.3	,-	,-	,197	
1.3	,9(10),-	,Aston Villa,-	,72.3	,4	,6.81,2013/2014,EPL,0.2	,-	,4	,968	
0.6	,4(5),-	,Aston Villa,-	,59	,-	,6.38,2012/2013,EPL,0.1	,-	,-	,429	
0.8	,15(11),-	,Aston Villa,-	,71.5	,3	,6.70,2011/2012,EPL,0.2	,2	,2	,1490	
1.4	,20(9),2	,Aston Villa,-	,72.3	,3	,7.03,2010/2011,EPL,0.1	,5	,4	,1805	
-	,0(3),-	,Aston Villa,-	,71.4	,-	,6.42,2009/2010,EPL,-	,-	,-	,57	
0.9,254,8,,1,66.8,33,6.84,Total / Average,,0.3,19,35,16255
