ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(1),-	,Leicester,-	,33.3	,-	,6.19,2019/2020,EPL,2	,-	,-	,1	
0.1	,23(8),-	,Leicester,-	,88.8	,5	,6.37,2018/2019,EPL,0.3	,-	,-	,2089	
-	,3(1),-	,Nice,-	,95.9	,1	,6.64,2017/2018,UEL,0.3	,-	,-	,272	
0.1	,11(3),-	,Nice,-	,90.7	,2	,6.27,2017/2018,FL1,0.2	,-	,1	,967	
-	,1,-	,Leicester,-	,88.5	,-	,5.84,2016/2017,UCL,-	,-	,-	,90	
-	,4,-	,Leicester,-	,81.1	,1	,6.38,2016/2017,EPL,1	,-	,-	,272	
0.2	,38,-	,Nice,1	,92.1	,2	,6.84,2015/2016,FL1,0.2	,1	,2	,3392	
0.3	,36,-	,Nice,-	,84.2	,5	,6.70,2014/2015,FL1,0.4	,-	,-	,3240	
0.3	,36,-	,Nice,-	,87.8	,5	,6.57,2013/2014,FL1,0.5	,-	,1	,3110	
0.2	,13(1),-	,Monaco,-	,83.1	,3	,6.52,2010/2011,FL1,0.3	,-	,-	,1087	
0.2,179,0,,1,87.8,24,6.58,Total / Average,,0.3,1,4,14520
-	,0(1),-	,Leicester,-	,33.3	,-	,6.19,2019/2020,EPL,2	,-	,-	,1	
0.1	,23(8),-	,Leicester,-	,88.8	,5	,6.37,2018/2019,EPL,0.3	,-	,-	,2089	
-	,3(1),-	,Nice,-	,95.9	,1	,6.64,2017/2018,UEL,0.3	,-	,-	,272	
0.1	,11(3),-	,Nice,-	,90.7	,2	,6.27,2017/2018,FL1,0.2	,-	,1	,967	
-	,1,-	,Leicester,-	,88.5	,-	,5.84,2016/2017,UCL,-	,-	,-	,90	
-	,4,-	,Leicester,-	,81.1	,1	,6.38,2016/2017,EPL,1	,-	,-	,272	
0.2	,38,-	,Nice,1	,92.1	,2	,6.84,2015/2016,FL1,0.2	,1	,2	,3392	
0.3	,36,-	,Nice,-	,84.2	,5	,6.70,2014/2015,FL1,0.4	,-	,-	,3240	
0.3	,36,-	,Nice,-	,87.8	,5	,6.57,2013/2014,FL1,0.5	,-	,1	,3110	
0.2	,13(1),-	,Monaco,-	,83.1	,3	,6.52,2010/2011,FL1,0.3	,-	,-	,1087	
0.2,179,0,,1,87.8,24,6.58,Total / Average,,0.3,1,4,14520
