ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.6	,9,-	,Leicester,-	,80	,-	,7.57,2019/2020,EPL,1.3	,2	,-	,810	
0.7	,35,4	,Leicester,-	,78	,7	,7.34,2018/2019,EPL,1.9	,2	,6	,3125	
0.7	,26(1),3	,FC Porto,-	,80.3	,3	,7.59,2017/2018,PLN,1	,2	,4	,2271	
0.3	,6(1),-	,FC Porto,-	,76.9	,1	,6.96,2017/2018,UCL,0.6	,-	,2	,552	
0.8	,23(1),4	,Nice,-	,86.5	,2	,7.36,2016/2017,FL1,1.1	,2	,4	,2058	
0.2	,5,-	,Nice,-	,78.9	,-	,7.14,2016/2017,UEL,0.8	,-	,-	,426	
-	,1,-	,Portugal,-	,90.2	,-	,5.94,2018,WC,1	,-	,-	,90	
0.1	,26,5	,Nice,-	,84.4	,6	,7.48,2015/2016,FL1,1.9	,-	,4	,2281	
1.8	,4,-	,Portugal U21,-	,77.2	,-	,7.31,2015,IEU,3.3	,1	,1	,313	
-	,1(1),1	,FC Porto,-	,89.6	,1	,7.79,2014/2015,UCL,1	,-	,-	,147	
-	,0(1),-	,FC Porto,-	,81.8	,-	,5.91,2013/2014,UCL,-	,-	,-	,25	
-	,1(1),-	,FC Porto,-	,88.8	,1	,6.97,2013/2014,UEL,-	,-	,-	,135	
0.6,143,17,,0,81.5,21,7.39,Total / Average,,1.4,9,21,12233
0.6	,9,-	,Leicester,-	,80	,-	,7.57,2019/2020,EPL,1.3	,2	,-	,810	
0.7	,35,4	,Leicester,-	,78	,7	,7.34,2018/2019,EPL,1.9	,2	,6	,3125	
0.7	,26(1),3	,FC Porto,-	,80.3	,3	,7.59,2017/2018,PLN,1	,2	,4	,2271	
0.3	,6(1),-	,FC Porto,-	,76.9	,1	,6.96,2017/2018,UCL,0.6	,-	,2	,552	
0.8	,23(1),4	,Nice,-	,86.5	,2	,7.36,2016/2017,FL1,1.1	,2	,4	,2058	
0.2	,5,-	,Nice,-	,78.9	,-	,7.14,2016/2017,UEL,0.8	,-	,-	,426	
-	,1,-	,Portugal,-	,90.2	,-	,5.94,2018,WC,1	,-	,-	,90	
0.1	,26,5	,Nice,-	,84.4	,6	,7.48,2015/2016,FL1,1.9	,-	,4	,2281	
1.8	,4,-	,Portugal U21,-	,77.2	,-	,7.31,2015,IEU,3.3	,1	,1	,313	
-	,1(1),1	,FC Porto,-	,89.6	,1	,7.79,2014/2015,UCL,1	,-	,-	,147	
-	,0(1),-	,FC Porto,-	,81.8	,-	,5.91,2013/2014,UCL,-	,-	,-	,25	
-	,1(1),-	,FC Porto,-	,88.8	,1	,6.97,2013/2014,UEL,-	,-	,-	,135	
0.6,143,17,,0,81.5,21,7.39,Total / Average,,1.4,9,21,12233
