ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1(2),-	,Leicester,-	,66.7	,-	,6.17,2019/2020,EPL,0.7	,-	,-	,24	
0.6	,21(1),1	,Leicester,2	,80.8	,1	,6.87,2018/2019,EPL,4.2	,3	,-	,1926	
0.4	,32,-	,Leicester,-	,81.1	,4	,6.61,2017/2018,EPL,2.9	,-	,-	,2818	
0.3	,9,-	,Leicester,-	,78.2	,1	,6.79,2016/2017,UCL,2.4	,1	,-	,804	
0.5	,27,-	,Leicester,-	,67.7	,3	,6.66,2016/2017,EPL,2.4	,1	,-	,2430	
0.6	,38,1	,Leicester,-	,74.4	,3	,7.07,2015/2016,EPL,2.4	,2	,-	,3420	
1	,3,-	,Jamaica,-	,76.5	,1	,6.66,2015,ICA,3.3	,-	,-	,270	
0.7	,37,1	,Leicester,1	,76.6	,1	,7.20,2014/2015,EPL,3.8	,2	,2	,3288	
0.9	,45,3	,Leicester,-	,80.2	,3	,7.42,2013/2014,EC,4	,2	,-	,4050	
0.6,216,6,,3,76.9,17,7.00,Total / Average,,3.2,11,2,19030
-	,1(2),-	,Leicester,-	,66.7	,-	,6.17,2019/2020,EPL,0.7	,-	,-	,24	
0.6	,21(1),1	,Leicester,2	,80.8	,1	,6.87,2018/2019,EPL,4.2	,3	,-	,1926	
0.4	,32,-	,Leicester,-	,81.1	,4	,6.61,2017/2018,EPL,2.9	,-	,-	,2818	
0.3	,9,-	,Leicester,-	,78.2	,1	,6.79,2016/2017,UCL,2.4	,1	,-	,804	
0.5	,27,-	,Leicester,-	,67.7	,3	,6.66,2016/2017,EPL,2.4	,1	,-	,2430	
0.6	,38,1	,Leicester,-	,74.4	,3	,7.07,2015/2016,EPL,2.4	,2	,-	,3420	
1	,3,-	,Jamaica,-	,76.5	,1	,6.66,2015,ICA,3.3	,-	,-	,270	
0.7	,37,1	,Leicester,1	,76.6	,1	,7.20,2014/2015,EPL,3.8	,2	,2	,3288	
0.9	,45,3	,Leicester,-	,80.2	,3	,7.42,2013/2014,EC,4	,2	,-	,4050	
0.6,216,6,,3,76.9,17,7.00,Total / Average,,3.2,11,2,19030
