ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,8,1	,Leicester,-	,82.6	,1	,7.53,2019/2020,EPL,2.5	,2	,-	,720	
1.4	,6(1),-	,Nigeria,-	,83	,1	,7.04,2019,ACoN,1.7	,-	,-	,585	
1.4	,37(1),3	,Leicester,-	,79.9	,8	,7.21,2018/2019,EPL,3.4	,2	,-	,3299	
1.2	,33,2	,Leicester,2	,76.1	,6	,7.14,2017/2018,EPL,3.5	,-	,3	,2899	
0.8	,4,-	,Leicester,-	,77.9	,1	,7.15,2016/2017,UCL,4	,-	,-	,360	
1.8	,17,2	,Leicester,-	,75.9	,-	,7.26,2016/2017,EPL,3.5	,2	,1	,1522	
1.8	,6,2	,Genk,-	,79.5	,1	,8.19,2016/2017,UEL,3.3	,2	,-	,540	
1	,3,-	,Nigeria,-	,81.2	,-	,7.77,2018,WC,5.7	,-	,-	,270	
1.4,116,10,,2,78.5,18,7.27,Total / Average,,3.4,8,4,10195
0.8	,8,1	,Leicester,-	,82.6	,1	,7.53,2019/2020,EPL,2.5	,2	,-	,720	
1.4	,6(1),-	,Nigeria,-	,83	,1	,7.04,2019,ACoN,1.7	,-	,-	,585	
1.4	,37(1),3	,Leicester,-	,79.9	,8	,7.21,2018/2019,EPL,3.4	,2	,-	,3299	
1.2	,33,2	,Leicester,2	,76.1	,6	,7.14,2017/2018,EPL,3.5	,-	,3	,2899	
0.8	,4,-	,Leicester,-	,77.9	,1	,7.15,2016/2017,UCL,4	,-	,-	,360	
1.8	,17,2	,Leicester,-	,75.9	,-	,7.26,2016/2017,EPL,3.5	,2	,1	,1522	
1.8	,6,2	,Genk,-	,79.5	,1	,8.19,2016/2017,UEL,3.3	,2	,-	,540	
1	,3,-	,Nigeria,-	,81.2	,-	,7.77,2018,WC,5.7	,-	,-	,270	
1.4,116,10,,2,78.5,18,7.27,Total / Average,,3.4,8,4,10195
