ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,2,-	,Liverpool,-	,86.4	,-	,6.40,2019/2020,EPL,0.5	,-	,-	,129	
-	,1,-	,Liverpool,-	,100	,-	,6.95,2019/2020,UCL,-	,-	,-	,90	
-	,6,-	,Brazil,-	,92.2	,-	,6.88,2019,ICA,0.3	,-	,-	,570	
-	,38,-	,Liverpool,-	,80.3	,1	,6.79,2018/2019,EPL,0.3	,-	,-	,3420	
-	,13,1	,Liverpool,-	,76.7	,-	,6.93,2018/2019,UCL,0.2	,-	,-	,1170	
-	,37,1	,Roma,-	,78.9	,1	,6.99,2017/2018,ISA,0.2	,-	,-	,3330	
-	,12,-	,Roma,-	,80.4	,-	,6.86,2017/2018,UCL,0.3	,-	,-	,1080	
-	,10,1	,Roma,-	,82.1	,-	,7.01,2016/2017,UEL,-	,-	,-	,900	
-	,1,-	,Internacional,-	,71.4	,-	,6.95,2016,BSA,-	,-	,-	,90	
-	,5,-	,Brazil,-	,84.2	,-	,6.40,2018,WC,0.4	,-	,-	,450	
-	,26,4	,Internacional,-	,55.4	,3	,6.98,2015,BSA,0.4	,-	,-	,2266	
-	,11,1	,Internacional,-	,61	,1	,6.91,2014,BSA,0.6	,-	,-	,990	
-	,6,-	,Internacional,-	,58.9	,1	,6.52,2013,BSA,0.2	,-	,-	,518	
0,168,8,,0,74.6,7,6.88,Total / Average,,0.3,0,0,15003
-	,2,-	,Liverpool,-	,86.4	,-	,6.40,2019/2020,EPL,0.5	,-	,-	,129	
-	,1,-	,Liverpool,-	,100	,-	,6.95,2019/2020,UCL,-	,-	,-	,90	
-	,6,-	,Brazil,-	,92.2	,-	,6.88,2019,ICA,0.3	,-	,-	,570	
-	,38,-	,Liverpool,-	,80.3	,1	,6.79,2018/2019,EPL,0.3	,-	,-	,3420	
-	,13,1	,Liverpool,-	,76.7	,-	,6.93,2018/2019,UCL,0.2	,-	,-	,1170	
-	,37,1	,Roma,-	,78.9	,1	,6.99,2017/2018,ISA,0.2	,-	,-	,3330	
-	,12,-	,Roma,-	,80.4	,-	,6.86,2017/2018,UCL,0.3	,-	,-	,1080	
-	,10,1	,Roma,-	,82.1	,-	,7.01,2016/2017,UEL,-	,-	,-	,900	
-	,1,-	,Internacional,-	,71.4	,-	,6.95,2016,BSA,-	,-	,-	,90	
-	,5,-	,Brazil,-	,84.2	,-	,6.40,2018,WC,0.4	,-	,-	,450	
-	,26,4	,Internacional,-	,55.4	,3	,6.98,2015,BSA,0.4	,-	,-	,2266	
-	,11,1	,Internacional,-	,61	,1	,6.91,2014,BSA,0.6	,-	,-	,990	
-	,6,-	,Internacional,-	,58.9	,1	,6.52,2013,BSA,0.2	,-	,-	,518	
0,168,8,,0,74.6,7,6.88,Total / Average,,0.3,0,0,15003
