ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.3	,9,-	,Liverpool,-	,91.2	,-	,6.80,2019/2020,EPL,0.7	,1	,-	,763	
0.7	,1(2),-	,Liverpool,-	,98.6	,-	,6.23,2019/2020,UCL,-	,-	,-	,104	
0.9	,32(3),1	,Liverpool,-	,91.1	,3	,6.89,2018/2019,EPL,0.9	,3	,-	,2736	
1	,11(1),-	,Liverpool,-	,85.4	,1	,6.65,2018/2019,UCL,0.8	,2	,-	,972	
1.7	,6,-	,Netherlands,-	,89.7	,2	,6.75,2018/2019,UNL,0.2	,2	,-	,539	
1	,9(3),-	,Liverpool,-	,84.4	,-	,6.91,2017/2018,UCL,1	,1	,2	,850	
1.2	,27(6),-	,Liverpool,-	,89.9	,1	,6.79,2017/2018,EPL,0.5	,1	,2	,2387	
1.7	,33(3),-	,Liverpool,-	,87.3	,2	,6.95,2016/2017,EPL,1.1	,6	,9	,2978	
1.4	,36(2),2	,Newcastle Uni..,-	,84.8	,1	,6.91,2015/2016,EPL,0.7	,11	,5	,3169	
1.9	,6(1),-	,PSV Eindhoven,-	,80.9	,1	,6.79,2014/2015,UEL,0.3	,2	,-	,549	
2.5	,32(1),2	,PSV Eindhoven,-	,84.4	,-	,7.47,2014/2015,NE,0.6	,14	,3	,2878	
2.3	,9(2),-	,PSV Eindhoven,-	,86.1	,1	,7.06,2013/2014,NE,1	,4	,-	,876	
0.7	,5(2),-	,Netherlands,-	,87.7	,-	,6.92,2014,WC,1.6	,1	,-	,552	
2	,3,-	,Netherlands U..,-	,75.6	,-	,7.42,2013,IEU,1	,2	,-	,248	
2	,4,-	,PSV Eindhoven,-	,83.7	,2	,6.64,2012/2013,UEL,0.8	,1	,-	,360	
1.5,249,5,,0,87.1,14,6.95,Total / Average,,0.8,51,21,19961
1.3	,9,-	,Liverpool,-	,91.2	,-	,6.80,2019/2020,EPL,0.7	,1	,-	,763	
0.7	,1(2),-	,Liverpool,-	,98.6	,-	,6.23,2019/2020,UCL,-	,-	,-	,104	
0.9	,32(3),1	,Liverpool,-	,91.1	,3	,6.89,2018/2019,EPL,0.9	,3	,-	,2736	
1	,11(1),-	,Liverpool,-	,85.4	,1	,6.65,2018/2019,UCL,0.8	,2	,-	,972	
1.7	,6,-	,Netherlands,-	,89.7	,2	,6.75,2018/2019,UNL,0.2	,2	,-	,539	
1	,9(3),-	,Liverpool,-	,84.4	,-	,6.91,2017/2018,UCL,1	,1	,2	,850	
1.2	,27(6),-	,Liverpool,-	,89.9	,1	,6.79,2017/2018,EPL,0.5	,1	,2	,2387	
1.7	,33(3),-	,Liverpool,-	,87.3	,2	,6.95,2016/2017,EPL,1.1	,6	,9	,2978	
1.4	,36(2),2	,Newcastle Uni..,-	,84.8	,1	,6.91,2015/2016,EPL,0.7	,11	,5	,3169	
1.9	,6(1),-	,PSV Eindhoven,-	,80.9	,1	,6.79,2014/2015,UEL,0.3	,2	,-	,549	
2.5	,32(1),2	,PSV Eindhoven,-	,84.4	,-	,7.47,2014/2015,NE,0.6	,14	,3	,2878	
2.3	,9(2),-	,PSV Eindhoven,-	,86.1	,1	,7.06,2013/2014,NE,1	,4	,-	,876	
0.7	,5(2),-	,Netherlands,-	,87.7	,-	,6.92,2014,WC,1.6	,1	,-	,552	
2	,3,-	,Netherlands U..,-	,75.6	,-	,7.42,2013,IEU,1	,2	,-	,248	
2	,4,-	,PSV Eindhoven,-	,83.7	,2	,6.64,2012/2013,UEL,0.8	,1	,-	,360	
1.5,249,5,,0,87.1,14,6.95,Total / Average,,0.8,51,21,19961
