ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,6(2),-	,Liverpool,-	,78.4	,-	,6.59,2019/2020,EPL,0.3	,-	,-	,483	
-	,2,-	,Liverpool,-	,82.3	,-	,6.66,2019/2020,UCL,1	,-	,-	,149	
0.5	,21(11),-	,Liverpool,1	,87.2	,1	,6.67,2018/2019,EPL,0.8	,1	,3	,1983	
0.8	,8(3),-	,Liverpool,-	,84.6	,1	,6.94,2018/2019,UCL,1.1	,-	,1	,799	
-	,2(1),-	,England,-	,80.3	,2	,6.13,2018/2019,UNL,-	,-	,-	,197	
0.2	,9(1),-	,Liverpool,-	,82.7	,3	,6.86,2017/2018,UCL,0.8	,-	,-	,868	
0.6	,25(2),-	,Liverpool,-	,84.4	,1	,6.95,2017/2018,EPL,1	,1	,1	,2173	
0.7	,24,2	,Liverpool,-	,85.9	,8	,7.30,2016/2017,EPL,1.1	,1	,4	,2118	
0.8	,5,-	,England,-	,79.3	,1	,6.71,2018,WC,2	,-	,-	,482	
1.3	,6,-	,Liverpool,-	,84.3	,1	,6.71,2015/2016,UEL,0.2	,-	,-	,464	
1.5	,15(2),-	,Liverpool,-	,79.1	,1	,7.14,2015/2016,EPL,1.2	,2	,3	,1293	
1.8	,5,-	,Liverpool,-	,83.8	,-	,6.81,2014/2015,UCL,1.2	,1	,-	,427	
4	,1,-	,Liverpool,-	,79.2	,-	,7.73,2014/2015,UEL,-	,-	,-	,90	
1.4	,36(1),2	,Liverpool,-	,82.4	,6	,7.14,2014/2015,EPL,1.1	,6	,9	,3256	
2	,1,-	,England,-	,91.3	,-	,7.33,2016,UEC,-	,-	,-	,90	
1.4	,35,-	,Liverpool,1	,87.1	,4	,7.20,2013/2014,EPL,0.9	,4	,7	,3129	
1.5	,2,-	,England,-	,89.1	,-	,6.71,2014,WC,0.5	,-	,-	,160	
2	,2(1),-	,England U21,-	,84.4	,1	,6.34,2013,IEU,0.7	,-	,-	,225	
2.1	,7,1	,Liverpool,-	,87.6	,-	,6.91,2012/2013,UEL,0.7	,1	,2	,575	
1.1	,16(14),1	,Liverpool,-	,84.5	,3	,6.81,2012/2013,EPL,0.3	,5	,4	,1529	
-	,0(2),-	,England,-	,100	,-	,6.20,2012,UEC,0.5	,-	,-	,38	
1.1	,31(6),-	,Liverpool,-	,83.9	,3	,6.67,2011/2012,EPL,0.4	,2	,1	,2666	
1.2	,37,2	,Sunderland,-	,81.2	,2	,7.05,2010/2011,EPL,0.4	,3	,4	,3219	
1	,23(10),-	,Sunderland,-	,68.4	,3	,6.73,2009/2010,EPL,0.3	,1	,5	,2189	
1,375,8,,2,82.7,41,6.92,Total / Average,,0.7,28,44,28602
0.4	,6(2),-	,Liverpool,-	,78.4	,-	,6.59,2019/2020,EPL,0.3	,-	,-	,483	
-	,2,-	,Liverpool,-	,82.3	,-	,6.66,2019/2020,UCL,1	,-	,-	,149	
0.5	,21(11),-	,Liverpool,1	,87.2	,1	,6.67,2018/2019,EPL,0.8	,1	,3	,1983	
0.8	,8(3),-	,Liverpool,-	,84.6	,1	,6.94,2018/2019,UCL,1.1	,-	,1	,799	
-	,2(1),-	,England,-	,80.3	,2	,6.13,2018/2019,UNL,-	,-	,-	,197	
0.2	,9(1),-	,Liverpool,-	,82.7	,3	,6.86,2017/2018,UCL,0.8	,-	,-	,868	
0.6	,25(2),-	,Liverpool,-	,84.4	,1	,6.95,2017/2018,EPL,1	,1	,1	,2173	
0.7	,24,2	,Liverpool,-	,85.9	,8	,7.30,2016/2017,EPL,1.1	,1	,4	,2118	
0.8	,5,-	,England,-	,79.3	,1	,6.71,2018,WC,2	,-	,-	,482	
1.3	,6,-	,Liverpool,-	,84.3	,1	,6.71,2015/2016,UEL,0.2	,-	,-	,464	
1.5	,15(2),-	,Liverpool,-	,79.1	,1	,7.14,2015/2016,EPL,1.2	,2	,3	,1293	
1.8	,5,-	,Liverpool,-	,83.8	,-	,6.81,2014/2015,UCL,1.2	,1	,-	,427	
4	,1,-	,Liverpool,-	,79.2	,-	,7.73,2014/2015,UEL,-	,-	,-	,90	
1.4	,36(1),2	,Liverpool,-	,82.4	,6	,7.14,2014/2015,EPL,1.1	,6	,9	,3256	
2	,1,-	,England,-	,91.3	,-	,7.33,2016,UEC,-	,-	,-	,90	
1.4	,35,-	,Liverpool,1	,87.1	,4	,7.20,2013/2014,EPL,0.9	,4	,7	,3129	
1.5	,2,-	,England,-	,89.1	,-	,6.71,2014,WC,0.5	,-	,-	,160	
2	,2(1),-	,England U21,-	,84.4	,1	,6.34,2013,IEU,0.7	,-	,-	,225	
2.1	,7,1	,Liverpool,-	,87.6	,-	,6.91,2012/2013,UEL,0.7	,1	,2	,575	
1.1	,16(14),1	,Liverpool,-	,84.5	,3	,6.81,2012/2013,EPL,0.3	,5	,4	,1529	
-	,0(2),-	,England,-	,100	,-	,6.20,2012,UEC,0.5	,-	,-	,38	
1.1	,31(6),-	,Liverpool,-	,83.9	,3	,6.67,2011/2012,EPL,0.4	,2	,1	,2666	
1.2	,37,2	,Sunderland,-	,81.2	,2	,7.05,2010/2011,EPL,0.4	,3	,4	,3219	
1	,23(10),-	,Sunderland,-	,68.4	,3	,6.73,2009/2010,EPL,0.3	,1	,5	,2189	
1,375,8,,2,82.7,41,6.92,Total / Average,,0.7,28,44,28602
