ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
3.3	,8,1	,Liverpool,-	,74.1	,-	,7.38,2019/2020,EPL,0.4	,4	,3	,709	
3.7	,3,1	,Liverpool,-	,71.1	,-	,7.67,2019/2020,UCL,-	,3	,1	,270	
4.8	,4,-	,Egypt,-	,69.4	,-	,7.19,2019,ACoN,0.3	,2	,-	,360	
3.6	,37(1),8	,Liverpool,-	,75.9	,1	,7.57,2018/2019,EPL,0.3	,22	,8	,3262	
4.3	,12,-	,Liverpool,-	,71.2	,1	,7.03,2018/2019,UCL,0.4	,5	,2	,1058	
3.3	,12(1),1	,Liverpool,-	,74.7	,-	,7.97,2017/2018,UCL,0.2	,10	,4	,931	
4	,34(2),8	,Liverpool,-	,76.7	,1	,7.69,2017/2018,EPL,0.4	,32	,10	,2922	
2.6	,29(2),4	,Roma,-	,80.4	,2	,7.48,2016/2017,ISA,0.3	,15	,11	,2487	
2.3	,4(2),-	,Roma,-	,83.1	,-	,7.02,2016/2017,UEL,0.2	,2	,1	,373	
2.1	,32(2),4	,Roma,1	,82.9	,1	,7.20,2015/2016,ISA,0.2	,14	,6	,2739	
3	,2,-	,Egypt,-	,78.4	,-	,6.98,2018,WC,-	,2	,-	,180	
1.9	,6(1),-	,Roma,-	,79	,-	,6.97,2015/2016,UCL,0.1	,1	,-	,543	
1.8	,10(6),1	,Fiorentina,-	,86.3	,-	,7.17,2014/2015,ISA,0.3	,6	,3	,912	
2.5	,1(1),-	,Chelsea,-	,72.7	,-	,6.65,2014/2015,UCL,-	,-	,-	,77	
3.3	,8,1	,Fiorentina,-	,87.1	,1	,7.34,2014/2015,UEL,0.4	,1	,1	,718	
0.7	,0(3),-	,Chelsea,-	,78.3	,-	,5.97,2014/2015,EPL,-	,-	,-	,30	
1.7	,6,-	,FC Basel 1893,-	,77.1	,-	,6.81,2013/2014,UCL,-	,2	,-	,532	
2.1	,6(4),2	,Chelsea,-	,82.3	,1	,6.88,2013/2014,EPL,0.2	,2	,1	,501	
1.8	,10(4),-	,FC Basel 1893,-	,78.9	,-	,6.63,2012/2013,UEL,0.1	,2	,3	,948	
2.9,253,31,,1,78.7,8,7.32,Total / Average,,0.2,125,54,19552
3.3	,8,1	,Liverpool,-	,74.1	,-	,7.38,2019/2020,EPL,0.4	,4	,3	,709	
3.7	,3,1	,Liverpool,-	,71.1	,-	,7.67,2019/2020,UCL,-	,3	,1	,270	
4.8	,4,-	,Egypt,-	,69.4	,-	,7.19,2019,ACoN,0.3	,2	,-	,360	
3.6	,37(1),8	,Liverpool,-	,75.9	,1	,7.57,2018/2019,EPL,0.3	,22	,8	,3262	
4.3	,12,-	,Liverpool,-	,71.2	,1	,7.03,2018/2019,UCL,0.4	,5	,2	,1058	
3.3	,12(1),1	,Liverpool,-	,74.7	,-	,7.97,2017/2018,UCL,0.2	,10	,4	,931	
4	,34(2),8	,Liverpool,-	,76.7	,1	,7.69,2017/2018,EPL,0.4	,32	,10	,2922	
2.6	,29(2),4	,Roma,-	,80.4	,2	,7.48,2016/2017,ISA,0.3	,15	,11	,2487	
2.3	,4(2),-	,Roma,-	,83.1	,-	,7.02,2016/2017,UEL,0.2	,2	,1	,373	
2.1	,32(2),4	,Roma,1	,82.9	,1	,7.20,2015/2016,ISA,0.2	,14	,6	,2739	
3	,2,-	,Egypt,-	,78.4	,-	,6.98,2018,WC,-	,2	,-	,180	
1.9	,6(1),-	,Roma,-	,79	,-	,6.97,2015/2016,UCL,0.1	,1	,-	,543	
1.8	,10(6),1	,Fiorentina,-	,86.3	,-	,7.17,2014/2015,ISA,0.3	,6	,3	,912	
2.5	,1(1),-	,Chelsea,-	,72.7	,-	,6.65,2014/2015,UCL,-	,-	,-	,77	
3.3	,8,1	,Fiorentina,-	,87.1	,1	,7.34,2014/2015,UEL,0.4	,1	,1	,718	
0.7	,0(3),-	,Chelsea,-	,78.3	,-	,5.97,2014/2015,EPL,-	,-	,-	,30	
1.7	,6,-	,FC Basel 1893,-	,77.1	,-	,6.81,2013/2014,UCL,-	,2	,-	,532	
2.1	,6(4),2	,Chelsea,-	,82.3	,1	,6.88,2013/2014,EPL,0.2	,2	,1	,501	
1.8	,10(4),-	,FC Basel 1893,-	,78.9	,-	,6.63,2012/2013,UEL,0.1	,2	,3	,948	
2.9,253,31,,1,78.7,8,7.32,Total / Average,,0.2,125,54,19552
