ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.1	,9,-	,Liverpool,-	,72.8	,2	,7.28,2019/2020,EPL,0.3	,1	,2	,810	
-	,2,-	,Liverpool,-	,75.6	,-	,6.90,2019/2020,UCL,1	,-	,1	,180	
1	,27(2),1	,Liverpool,-	,77.5	,3	,7.36,2018/2019,EPL,0.3	,1	,12	,2467	
1.1	,11,1	,Liverpool,-	,65.5	,-	,7.23,2018/2019,UCL,0.6	,-	,3	,922	
0.5	,1(1),-	,England,-	,73.5	,-	,6.54,2018/2019,UNL,-	,-	,-	,125	
0.8	,9(1),-	,Liverpool,-	,77	,2	,7.07,2017/2018,UCL,0.2	,1	,1	,821	
0.6	,18(1),-	,Liverpool,-	,77.3	,3	,7.02,2017/2018,EPL,0.3	,1	,1	,1576	
0.4	,2(5),-	,Liverpool,-	,64.8	,-	,6.20,2016/2017,EPL,-	,-	,-	,166	
1	,1,-	,England,-	,88.5	,-	,6.66,2018,WC,2	,-	,-	,79	
0.8,90,2,,0,74.5,10,7.11,Total / Average,,0.3,4,20,7146
1.1	,9,-	,Liverpool,-	,72.8	,2	,7.28,2019/2020,EPL,0.3	,1	,2	,810	
-	,2,-	,Liverpool,-	,75.6	,-	,6.90,2019/2020,UCL,1	,-	,1	,180	
1	,27(2),1	,Liverpool,-	,77.5	,3	,7.36,2018/2019,EPL,0.3	,1	,12	,2467	
1.1	,11,1	,Liverpool,-	,65.5	,-	,7.23,2018/2019,UCL,0.6	,-	,3	,922	
0.5	,1(1),-	,England,-	,73.5	,-	,6.54,2018/2019,UNL,-	,-	,-	,125	
0.8	,9(1),-	,Liverpool,-	,77	,2	,7.07,2017/2018,UCL,0.2	,1	,1	,821	
0.6	,18(1),-	,Liverpool,-	,77.3	,3	,7.02,2017/2018,EPL,0.3	,1	,1	,1576	
0.4	,2(5),-	,Liverpool,-	,64.8	,-	,6.20,2016/2017,EPL,-	,-	,-	,166	
1	,1,-	,England,-	,88.5	,-	,6.66,2018,WC,2	,-	,-	,79	
0.8,90,2,,0,74.5,10,7.11,Total / Average,,0.3,4,20,7146
