ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.6	,9,1	,Manchester Un..,-	,79.8	,1	,7.08,2019/2020,EPL,2.2	,1	,1	,797	
-	,0(1),-	,Manchester Un..,-	,100	,-	,6.24,2019/2020,UEL,-	,-	,-	,7	
0.9	,9(7),1	,Manchester Un..,-	,83.3	,1	,6.48,2018/2019,EPL,2.1	,2	,-	,863	
0.3	,3,-	,Manchester Un..,-	,90.7	,-	,6.79,2018/2019,UCL,1.3	,-	,-	,270	
0.7	,0(3),-	,Scotland,-	,83.3	,-	,6.34,2018/2019,UNL,1	,-	,-	,43	
0.8	,2(2),-	,Manchester Un..,-	,88.9	,1	,6.66,2017/2018,UCL,1.5	,-	,-	,205	
0.1	,7(6),-	,Manchester Un..,-	,88	,2	,6.48,2017/2018,EPL,0.9	,-	,-	,630	
0.5	,1(1),-	,Manchester Un..,-	,91.2	,1	,6.60,2016/2017,EPL,0.5	,-	,-	,96	
0.7,51,2,,0,85.4,6,6.61,Total / Average,,1.6,3,1,2911
1.6	,9,1	,Manchester Un..,-	,79.8	,1	,7.08,2019/2020,EPL,2.2	,1	,1	,797	
-	,0(1),-	,Manchester Un..,-	,100	,-	,6.24,2019/2020,UEL,-	,-	,-	,7	
0.9	,9(7),1	,Manchester Un..,-	,83.3	,1	,6.48,2018/2019,EPL,2.1	,2	,-	,863	
0.3	,3,-	,Manchester Un..,-	,90.7	,-	,6.79,2018/2019,UCL,1.3	,-	,-	,270	
0.7	,0(3),-	,Scotland,-	,83.3	,-	,6.34,2018/2019,UNL,1	,-	,-	,43	
0.8	,2(2),-	,Manchester Un..,-	,88.9	,1	,6.66,2017/2018,UCL,1.5	,-	,-	,205	
0.1	,7(6),-	,Manchester Un..,-	,88	,2	,6.48,2017/2018,EPL,0.9	,-	,-	,630	
0.5	,1(1),-	,Manchester Un..,-	,91.2	,1	,6.60,2016/2017,EPL,0.5	,-	,-	,96	
0.7,51,2,,0,85.4,6,6.61,Total / Average,,1.6,3,1,2911
