ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,6(1),-	,Manchester Un..,-	,81.2	,3	,6.85,2019/2020,EPL,1	,-	,-	,592	
-	,0(1),-	,Manchester Un..,-	,100	,-	,6.28,2019/2020,UEL,-	,-	,-	,12	
0.4	,28(2),-	,Manchester Un..,1	,77.5	,8	,6.87,2018/2019,EPL,0.8	,2	,2	,2569	
0.1	,6(1),-	,Manchester Un..,-	,80.6	,2	,6.47,2018/2019,UCL,0.3	,-	,1	,582	
0.5	,4,-	,Manchester Un..,-	,83.9	,1	,7.27,2017/2018,UCL,0.5	,-	,1	,337	
0.6	,28(2),4	,Manchester Un..,-	,79.5	,7	,7.12,2017/2018,EPL,0.6	,2	,4	,2448	
0.4	,8(4),-	,Manchester Un..,-	,83.2	,2	,6.83,2016/2017,EPL,0.3	,-	,1	,758	
0.3	,3(4),-	,Manchester Un..,-	,72.7	,-	,6.64,2016/2017,UEL,0.4	,-	,-	,329	
0.4	,5,-	,England,-	,83.3	,-	,6.80,2018,WC,0.2	,-	,1	,463	
0.8	,2(2),-	,Manchester Un..,-	,76.3	,1	,6.67,2015/2016,UCL,0.8	,-	,-	,252	
0.4	,11(7),-	,Manchester Un..,-	,77.7	,5	,6.60,2015/2016,EPL,0.7	,1	,2	,1063	
1.1	,23(3),4	,Manchester Un..,-	,80.9	,5	,7.23,2014/2015,EPL,0.7	,2	,5	,2068	
0.8	,2(6),-	,Manchester Un..,-	,80.7	,-	,6.42,2013/2014,UCL,0.5	,-	,-	,248	
0.9	,13(7),-	,Manchester Un..,-	,79.2	,4	,6.55,2013/2014,EPL,0.6	,2	,1	,1030	
-	,0(2),-	,Manchester Un..,-	,100	,-	,6.06,2012/2013,UCL,-	,-	,-	,25	
1.4	,17(2),-	,Manchester Un..,-	,83.5	,1	,6.99,2012/2013,EPL,0.6	,-	,3	,1375	
1	,4,-	,England,-	,74.5	,1	,6.62,2012,UEC,0.8	,-	,-	,390	
2.7	,3,1	,Manchester Un..,-	,88	,1	,7.22,2011/2012,UCL,-	,1	,-	,245	
2.2	,19(6),2	,Manchester Un..,-	,83.8	,3	,7.24,2011/2012,EPL,0.2	,6	,7	,1573	
2.4	,34,4	,Aston Villa,-	,71.6	,8	,7.11,2010/2011,EPL,0.1	,7	,10	,3054	
1.7	,37,-	,Aston Villa,-	,69	,6	,7.08,2009/2010,EPL,0.2	,5	,7	,3304	
1.1,303,15,,1,78.1,58,6.94,Total / Average,,0.4,28,45,22717
0.4	,6(1),-	,Manchester Un..,-	,81.2	,3	,6.85,2019/2020,EPL,1	,-	,-	,592	
-	,0(1),-	,Manchester Un..,-	,100	,-	,6.28,2019/2020,UEL,-	,-	,-	,12	
0.4	,28(2),-	,Manchester Un..,1	,77.5	,8	,6.87,2018/2019,EPL,0.8	,2	,2	,2569	
0.1	,6(1),-	,Manchester Un..,-	,80.6	,2	,6.47,2018/2019,UCL,0.3	,-	,1	,582	
0.5	,4,-	,Manchester Un..,-	,83.9	,1	,7.27,2017/2018,UCL,0.5	,-	,1	,337	
0.6	,28(2),4	,Manchester Un..,-	,79.5	,7	,7.12,2017/2018,EPL,0.6	,2	,4	,2448	
0.4	,8(4),-	,Manchester Un..,-	,83.2	,2	,6.83,2016/2017,EPL,0.3	,-	,1	,758	
0.3	,3(4),-	,Manchester Un..,-	,72.7	,-	,6.64,2016/2017,UEL,0.4	,-	,-	,329	
0.4	,5,-	,England,-	,83.3	,-	,6.80,2018,WC,0.2	,-	,1	,463	
0.8	,2(2),-	,Manchester Un..,-	,76.3	,1	,6.67,2015/2016,UCL,0.8	,-	,-	,252	
0.4	,11(7),-	,Manchester Un..,-	,77.7	,5	,6.60,2015/2016,EPL,0.7	,1	,2	,1063	
1.1	,23(3),4	,Manchester Un..,-	,80.9	,5	,7.23,2014/2015,EPL,0.7	,2	,5	,2068	
0.8	,2(6),-	,Manchester Un..,-	,80.7	,-	,6.42,2013/2014,UCL,0.5	,-	,-	,248	
0.9	,13(7),-	,Manchester Un..,-	,79.2	,4	,6.55,2013/2014,EPL,0.6	,2	,1	,1030	
-	,0(2),-	,Manchester Un..,-	,100	,-	,6.06,2012/2013,UCL,-	,-	,-	,25	
1.4	,17(2),-	,Manchester Un..,-	,83.5	,1	,6.99,2012/2013,EPL,0.6	,-	,3	,1375	
1	,4,-	,England,-	,74.5	,1	,6.62,2012,UEC,0.8	,-	,-	,390	
2.7	,3,1	,Manchester Un..,-	,88	,1	,7.22,2011/2012,UCL,-	,1	,-	,245	
2.2	,19(6),2	,Manchester Un..,-	,83.8	,3	,7.24,2011/2012,EPL,0.2	,6	,7	,1573	
2.4	,34,4	,Aston Villa,-	,71.6	,8	,7.11,2010/2011,EPL,0.1	,7	,10	,3054	
1.7	,37,-	,Aston Villa,-	,69	,6	,7.08,2009/2010,EPL,0.2	,5	,7	,3304	
1.1,303,15,,1,78.1,58,6.94,Total / Average,,0.4,28,45,22717
