ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,2(1),-	,Manchester Un..,-	,88.5	,-	,6.03,2019/2020,EPL,1	,-	,-	,181	
-	,1,1	,Manchester Un..,-	,91.5	,-	,7.78,2019/2020,UEL,9	,-	,-	,90	
0.3	,27(1),-	,Aston Villa,-	,84.5	,-	,6.75,2018/2019,EC,3.2	,-	,1	,2396	
-	,4(1),-	,Aston Villa,-	,73.5	,-	,6.82,2017/2018,EC,3.4	,-	,-	,300	
-	,0(1),-	,Manchester Un..,-	,81.8	,-	,6.66,2017/2018,UCL,-	,-	,-	,18	
-	,0(1),-	,Manchester Un..,-	,-	,-	,6.00,2017/2018,EPL,-	,-	,-	,1	
0.5	,4,-	,Manchester Un..,-	,91.6	,-	,6.64,2016/2017,EPL,0.5	,-	,-	,305	
0.2,43,1,,0,82.3,0,6.70,Total / Average,,2.8,0,1,3291
-	,2(1),-	,Manchester Un..,-	,88.5	,-	,6.03,2019/2020,EPL,1	,-	,-	,181	
-	,1,1	,Manchester Un..,-	,91.5	,-	,7.78,2019/2020,UEL,9	,-	,-	,90	
0.3	,27(1),-	,Aston Villa,-	,84.5	,-	,6.75,2018/2019,EC,3.2	,-	,1	,2396	
-	,4(1),-	,Aston Villa,-	,73.5	,-	,6.82,2017/2018,EC,3.4	,-	,-	,300	
-	,0(1),-	,Manchester Un..,-	,81.8	,-	,6.66,2017/2018,UCL,-	,-	,-	,18	
-	,0(1),-	,Manchester Un..,-	,-	,-	,6.00,2017/2018,EPL,-	,-	,-	,1	
0.5	,4,-	,Manchester Un..,-	,91.6	,-	,6.64,2016/2017,EPL,0.5	,-	,-	,305	
0.2,43,1,,0,82.3,0,6.70,Total / Average,,2.8,0,1,3291
