ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,9,-	,Manchester Un..,-	,73.4	,-	,6.61,2019/2020,EPL,0.2	,-	,-	,810	
-	,1,1	,Manchester Un..,-	,67.9	,-	,7.25,2019/2020,UEL,-	,-	,-	,90	
-	,38,1	,Manchester Un..,-	,60	,1	,6.52,2018/2019,EPL,0.1	,-	,-	,3420	
-	,9,-	,Manchester Un..,-	,62.6	,-	,6.49,2018/2019,UCL,-	,-	,-	,810	
-	,4,-	,Spain,-	,79.8	,-	,6.57,2018/2019,UNL,0.5	,-	,-	,360	
-	,6,1	,Manchester Un..,-	,54.7	,-	,7.27,2017/2018,UCL,0.2	,-	,-	,540	
-	,37,2	,Manchester Un..,-	,57.5	,-	,6.83,2017/2018,EPL,0.1	,-	,-	,3330	
-	,35,-	,Manchester Un..,-	,60	,2	,6.57,2016/2017,EPL,-	,-	,-	,3150	
-	,3,-	,Manchester Un..,-	,70.8	,-	,6.28,2016/2017,UEL,0.3	,-	,-	,270	
-	,4,-	,Spain,-	,76.8	,-	,5.63,2018,WC,0.5	,-	,-	,390	
-	,2,-	,Manchester Un..,-	,70.9	,-	,7.18,2015/2016,UEL,-	,-	,-	,180	
-	,6,-	,Manchester Un..,-	,73.9	,-	,6.72,2015/2016,UCL,-	,-	,-	,540	
-	,34,-	,Manchester Un..,-	,56.9	,-	,6.66,2015/2016,EPL,-	,-	,-	,3060	
-	,37,-	,Manchester Un..,-	,64.1	,-	,6.68,2014/2015,EPL,0.1	,-	,-	,3314	
-	,4,-	,Spain,-	,70	,-	,6.39,2016,UEC,-	,-	,-	,360	
-	,10,-	,Manchester Un..,-	,54.5	,-	,6.65,2013/2014,UCL,-	,-	,-	,900	
-	,37,1	,Manchester Un..,-	,55.7	,1	,6.60,2013/2014,EPL,0.1	,-	,-	,3330	
-	,5,-	,Spain U21,-	,79.3	,-	,6.75,2013,IEU,-	,-	,-	,450	
-	,7,-	,Manchester Un..,-	,59.1	,-	,6.85,2012/2013,UCL,0.1	,-	,-	,630	
-	,28,1	,Manchester Un..,-	,54.8	,-	,6.86,2012/2013,EPL,0.2	,-	,-	,2520	
-	,4,-	,Manchester Un..,-	,59.8	,-	,6.06,2011/2012,UCL,-	,-	,-	,360	
-	,29,1	,Manchester Un..,-	,55.6	,-	,6.98,2011/2012,EPL,0.1	,-	,-	,2610	
-	,38,2	,Atletico Madr..,-	,50.3	,1	,6.93,2010/2011,SLL,0.1	,-	,-	,3420	
-	,19,-	,Atletico Madr..,-	,38.4	,1	,6.75,2009/2010,SLL,0.1	,-	,-	,1710	
-	,0(1),-	,Atletico Madr..,-	,28	,-	,7.23,2009/2010,UCL,-	,-	,-	,64	
0,407,10,,0,58,6,6.71,Total / Average,,0.1,0,0,36618
-	,9,-	,Manchester Un..,-	,73.4	,-	,6.61,2019/2020,EPL,0.2	,-	,-	,810	
-	,1,1	,Manchester Un..,-	,67.9	,-	,7.25,2019/2020,UEL,-	,-	,-	,90	
