ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1,-	,Manchester Un..,-	,73.2	,-	,6.86,2019/2020,EPL,3	,-	,-	,60	
1	,2,-	,Manchester Un..,-	,81.5	,1	,7.36,2019/2020,UEL,2	,-	,-	,180	
0.9	,12(4),-	,Manchester Un..,-	,70.9	,3	,6.63,2018/2019,EPL,1.4	,-	,2	,1015	
0.5	,2(2),-	,Manchester Un..,-	,78.6	,-	,6.65,2018/2019,UCL,0.5	,-	,-	,243	
0.2	,4(2),-	,FC Porto,-	,73.3	,-	,6.82,2017/2018,PLN,1.5	,-	,1	,408	
-	,1,-	,FC Porto,-	,75.6	,1	,7.55,2017/2018,UCL,4	,-	,-	,90	
0.7,30,0,,0,73.4,5,6.76,Total / Average,,1.5,0,3,1996
-	,1,-	,Manchester Un..,-	,73.2	,-	,6.86,2019/2020,EPL,3	,-	,-	,60	
1	,2,-	,Manchester Un..,-	,81.5	,1	,7.36,2019/2020,UEL,2	,-	,-	,180	
0.9	,12(4),-	,Manchester Un..,-	,70.9	,3	,6.63,2018/2019,EPL,1.4	,-	,2	,1015	
0.5	,2(2),-	,Manchester Un..,-	,78.6	,-	,6.65,2018/2019,UCL,0.5	,-	,-	,243	
0.2	,4(2),-	,FC Porto,-	,73.3	,-	,6.82,2017/2018,PLN,1.5	,-	,1	,408	
-	,1,-	,FC Porto,-	,75.6	,1	,7.55,2017/2018,UCL,4	,-	,-	,90	
0.7,30,0,,0,73.4,5,6.76,Total / Average,,1.5,0,3,1996
