ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,2(3),-	,Manchester Un..,-	,87.2	,1	,6.25,2019/2020,EPL,0.2	,-	,-	,238	
2	,2,-	,Manchester Un..,-	,91	,1	,7.15,2019/2020,UEL,0.5	,-	,1	,180	
1	,13(4),1	,Manchester Un..,-	,86.3	,2	,6.49,2018/2019,EPL,0.2	,1	,1	,1045	
1	,6,-	,Manchester Un..,-	,86.8	,1	,6.52,2018/2019,UCL,0.5	,-	,1	,460	
1.6	,8,2	,Shakhtar Done..,-	,85.9	,2	,7.25,2017/2018,UCL,0.1	,1	,1	,720	
1.2	,5(1),-	,Shakhtar Done..,1	,84.4	,2	,6.84,2016/2017,UEL,-	,1	,1	,466	
0.7	,6,-	,Shakhtar Done..,-	,88.6	,1	,6.69,2015/2016,UCL,-	,-	,-	,519	
1	,2,-	,Brazil,-	,86.8	,-	,6.58,2015,ICA,-	,-	,-	,121	
0.1	,3(4),-	,Shakhtar Done..,-	,85.5	,1	,6.50,2014/2015,UCL,0.3	,-	,-	,369	
1.3	,2(1),-	,Shakhtar Done..,-	,90.4	,-	,6.67,2013/2014,UCL,-	,-	,-	,173	
1	,1,-	,Shakhtar Done..,-	,91.2	,-	,7.34,2013/2014,UEL,-	,-	,-	,90	
2	,5,1	,Internacional,-	,83.3	,-	,7.73,2013,BSA,0.2	,1	,2	,450	
1.1,68,4,,1,86.5,11,6.75,Total / Average,,0.2,4,7,4831
0.8	,2(3),-	,Manchester Un..,-	,87.2	,1	,6.25,2019/2020,EPL,0.2	,-	,-	,238	
2	,2,-	,Manchester Un..,-	,91	,1	,7.15,2019/2020,UEL,0.5	,-	,1	,180	
1	,13(4),1	,Manchester Un..,-	,86.3	,2	,6.49,2018/2019,EPL,0.2	,1	,1	,1045	
1	,6,-	,Manchester Un..,-	,86.8	,1	,6.52,2018/2019,UCL,0.5	,-	,1	,460	
1.6	,8,2	,Shakhtar Done..,-	,85.9	,2	,7.25,2017/2018,UCL,0.1	,1	,1	,720	
1.2	,5(1),-	,Shakhtar Done..,1	,84.4	,2	,6.84,2016/2017,UEL,-	,1	,1	,466	
0.7	,6,-	,Shakhtar Done..,-	,88.6	,1	,6.69,2015/2016,UCL,-	,-	,-	,519	
1	,2,-	,Brazil,-	,86.8	,-	,6.58,2015,ICA,-	,-	,-	,121	
0.1	,3(4),-	,Shakhtar Done..,-	,85.5	,1	,6.50,2014/2015,UCL,0.3	,-	,-	,369	
1.3	,2(1),-	,Shakhtar Done..,-	,90.4	,-	,6.67,2013/2014,UCL,-	,-	,-	,173	
1	,1,-	,Shakhtar Done..,-	,91.2	,-	,7.34,2013/2014,UEL,-	,-	,-	,90	
2	,5,1	,Internacional,-	,83.3	,-	,7.73,2013,BSA,0.2	,1	,2	,450	
1.1,68,4,,1,86.5,11,6.75,Total / Average,,0.2,4,7,4831
