ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,3,-	,Manchester Un..,-	,86.4	,-	,6.86,2019/2020,EPL,2	,-	,-	,214	
0.7	,29,2	,Manchester Un..,-	,83.3	,11	,6.91,2018/2019,EPL,1.7	,1	,4	,2592	
0.5	,8,-	,Manchester Un..,-	,84.8	,3	,6.80,2018/2019,UCL,0.8	,-	,-	,720	
-	,1,-	,England,-	,87.5	,1	,7.01,2018/2019,UNL,2	,-	,1	,53	
2	,1,-	,Manchester Un..,-	,79.6	,-	,7.67,2017/2018,UCL,2	,-	,-	,90	
1.1	,8(3),-	,Manchester Un..,-	,84.9	,2	,6.86,2017/2018,EPL,1.5	,-	,-	,789	
0.5	,9(2),-	,Manchester Un..,-	,85.6	,1	,6.90,2016/2017,EPL,1	,-	,1	,692	
0.3	,4,-	,Manchester Un..,-	,88.9	,-	,7.01,2016/2017,UEL,1.3	,-	,-	,390	
-	,1,-	,Manchester Un..,-	,100	,-	,6.51,2015/2016,UCL,-	,-	,-	,24	
0.2	,5,-	,Manchester Un..,-	,86	,1	,7.36,2015/2016,EPL,2.8	,-	,1	,450	
0.2	,15(1),-	,Manchester Un..,1	,86.7	,1	,6.79,2014/2015,EPL,1.8	,-	,-	,1127	
0.7	,35,1	,Southampton,-	,79.1	,4	,7.16,2013/2014,EPL,1.7	,-	,1	,2995	
1	,1,-	,England,-	,83.7	,-	,7.07,2014,WC,2	,-	,-	,90	
0.4	,22(3),1	,Southampton,-	,71.6	,2	,6.96,2012/2013,EPL,2	,-	,-	,1951	
0.6,151,4,,1,81.5,26,6.97,Total / Average,,1.7,1,8,12177
0.3	,3,-	,Manchester Un..,-	,86.4	,-	,6.86,2019/2020,EPL,2	,-	,-	,214	
0.7	,29,2	,Manchester Un..,-	,83.3	,11	,6.91,2018/2019,EPL,1.7	,1	,4	,2592	
0.5	,8,-	,Manchester Un..,-	,84.8	,3	,6.80,2018/2019,UCL,0.8	,-	,-	,720	
-	,1,-	,England,-	,87.5	,1	,7.01,2018/2019,UNL,2	,-	,1	,53	
2	,1,-	,Manchester Un..,-	,79.6	,-	,7.67,2017/2018,UCL,2	,-	,-	,90	
1.1	,8(3),-	,Manchester Un..,-	,84.9	,2	,6.86,2017/2018,EPL,1.5	,-	,-	,789	
0.5	,9(2),-	,Manchester Un..,-	,85.6	,1	,6.90,2016/2017,EPL,1	,-	,1	,692	
0.3	,4,-	,Manchester Un..,-	,88.9	,-	,7.01,2016/2017,UEL,1.3	,-	,-	,390	
-	,1,-	,Manchester Un..,-	,100	,-	,6.51,2015/2016,UCL,-	,-	,-	,24	
0.2	,5,-	,Manchester Un..,-	,86	,1	,7.36,2015/2016,EPL,2.8	,-	,1	,450	
0.2	,15(1),-	,Manchester Un..,1	,86.7	,1	,6.79,2014/2015,EPL,1.8	,-	,-	,1127	
0.7	,35,1	,Southampton,-	,79.1	,4	,7.16,2013/2014,EPL,1.7	,-	,1	,2995	
1	,1,-	,England,-	,83.7	,-	,7.07,2014,WC,2	,-	,-	,90	
0.4	,22(3),1	,Southampton,-	,71.6	,2	,6.96,2012/2013,EPL,2	,-	,-	,1951	
0.6,151,4,,1,81.5,26,6.97,Total / Average,,1.7,1,8,12177
