ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,0(6),-	,Manchester Un..,-	,86.2	,-	,6.07,2019/2020,EPL,0.2	,-	,-	,87	
2.5	,2,-	,Manchester Un..,-	,93.1	,-	,7.06,2019/2020,UEL,-	,1	,-	,167	
2.3	,1(2),-	,Manchester Un..,-	,85	,-	,6.44,2018/2019,EPL,-	,-	,-	,116	
-	,0(1),-	,Manchester Un..,-	,-	,-	,6.15,2018/2019,UCL,-	,-	,-	,3	
1.3,12,0,,0,79.9,0,6.33,Total / Average,,0.1,1,0,373
0.7	,0(6),-	,Manchester Un..,-	,86.2	,-	,6.07,2019/2020,EPL,0.2	,-	,-	,87	
2.5	,2,-	,Manchester Un..,-	,93.1	,-	,7.06,2019/2020,UEL,-	,1	,-	,167	
2.3	,1(2),-	,Manchester Un..,-	,85	,-	,6.44,2018/2019,EPL,-	,-	,-	,116	
-	,0(1),-	,Manchester Un..,-	,-	,-	,6.15,2018/2019,UCL,-	,-	,-	,3	
1.3,12,0,,0,79.9,0,6.33,Total / Average,,0.1,1,0,373
