ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(2),-	,Manchester Un..,-	,60	,-	,6.02,2019/2020,EPL,-	,-	,-	,24	
-	,1,-	,Manchester Un..,-	,80.6	,-	,6.21,2019/2020,UEL,1	,-	,-	,68	
1	,0(2),-	,Manchester Un..,-	,80	,-	,6.07,2018/2019,EPL,-	,-	,-	,37	
-	,0(1),-	,Manchester Un..,-	,75	,-	,6.15,2018/2019,UCL,-	,-	,-	,10	
0.3,6,0,,0,72.6,0,6.09,Total / Average,,0.2,0,0,139
-	,0(2),-	,Manchester Un..,-	,60	,-	,6.02,2019/2020,EPL,-	,-	,-	,24	
-	,1,-	,Manchester Un..,-	,80.6	,-	,6.21,2019/2020,UEL,1	,-	,-	,68	
1	,0(2),-	,Manchester Un..,-	,80	,-	,6.07,2018/2019,EPL,-	,-	,-	,37	
-	,0(1),-	,Manchester Un..,-	,75	,-	,6.15,2018/2019,UCL,-	,-	,-	,10	
0.3,6,0,,0,72.6,0,6.09,Total / Average,,0.2,0,0,139
