ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,8,-	,Manchester Un..,-	,85.3	,1	,6.68,2019/2020,EPL,3	,-	,-	,720	
-	,1,-	,Manchester Un..,-	,97.1	,-	,6.87,2019/2020,UEL,1	,-	,-	,90	
0.3	,29(1),-	,Manchester Un..,-	,89.2	,1	,6.68,2018/2019,EPL,2.3	,1	,1	,2602	
0.3	,7,-	,Manchester Un..,-	,89.1	,1	,6.52,2018/2019,UCL,1.3	,-	,-	,630	
0.3	,4,1	,Sweden,-	,87.9	,-	,7.07,2018/2019,UNL,1.8	,1	,-	,316	
-	,5,-	,Manchester Un..,-	,90.3	,-	,6.98,2017/2018,UCL,1.2	,-	,-	,450	
0.1	,13(4),-	,Manchester Un..,-	,90.8	,1	,6.66,2017/2018,EPL,1.3	,-	,-	,1284	
0.4	,32,-	,Benfica,-	,89.9	,1	,7.03,2016/2017,PLN,2.2	,1	,-	,2880	
0.1	,8,-	,Benfica,-	,86.1	,-	,6.57,2016/2017,UCL,1.4	,-	,-	,720	
-	,4,-	,Sweden,-	,79	,-	,6.62,2018,WC,1.8	,-	,-	,360	
0.5	,4,-	,Benfica,-	,87.8	,1	,6.65,2015/2016,UCL,0.5	,-	,-	,360	
1	,4(1),-	,Sweden U21,-	,77.9	,1	,6.62,2015,IEU,1.8	,-	,-	,436	
-	,3,-	,Sweden,-	,80	,1	,6.41,2016,UEC,1.3	,-	,-	,270	
0.3,128,1,,0,88.2,8,6.76,Total / Average,,1.9,3,1,11118
-	,8,-	,Manchester Un..,-	,85.3	,1	,6.68,2019/2020,EPL,3	,-	,-	,720	
-	,1,-	,Manchester Un..,-	,97.1	,-	,6.87,2019/2020,UEL,1	,-	,-	,90	
0.3	,29(1),-	,Manchester Un..,-	,89.2	,1	,6.68,2018/2019,EPL,2.3	,1	,1	,2602	
0.3	,7,-	,Manchester Un..,-	,89.1	,1	,6.52,2018/2019,UCL,1.3	,-	,-	,630	
0.3	,4,1	,Sweden,-	,87.9	,-	,7.07,2018/2019,UNL,1.8	,1	,-	,316	
-	,5,-	,Manchester Un..,-	,90.3	,-	,6.98,2017/2018,UCL,1.2	,-	,-	,450	
0.1	,13(4),-	,Manchester Un..,-	,90.8	,1	,6.66,2017/2018,EPL,1.3	,-	,-	,1284	
0.4	,32,-	,Benfica,-	,89.9	,1	,7.03,2016/2017,PLN,2.2	,1	,-	,2880	
0.1	,8,-	,Benfica,-	,86.1	,-	,6.57,2016/2017,UCL,1.4	,-	,-	,720	
-	,4,-	,Sweden,-	,79	,-	,6.62,2018,WC,1.8	,-	,-	,360	
0.5	,4,-	,Benfica,-	,87.8	,1	,6.65,2015/2016,UCL,0.5	,-	,-	,360	
1	,4(1),-	,Sweden U21,-	,77.9	,1	,6.62,2015,IEU,1.8	,-	,-	,436	
-	,3,-	,Sweden,-	,80	,1	,6.41,2016,UEC,1.3	,-	,-	,270	
0.3,128,1,,0,88.2,8,6.76,Total / Average,,1.9,3,1,11118
