ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.9	,7,-	,West Ham,-	,85.6	,2	,6.61,2019/2020,EPL,0.7	,1	,-	,594	
0.5	,29(2),-	,West Ham,1	,85.3	,6	,6.65,2018/2019,EPL,0.3	,5	,5	,2308	
0.5	,28(1),1	,West Ham,-	,83.9	,6	,6.81,2017/2018,EPL,0.3	,4	,-	,2405	
0.8	,29(1),-	,West Ham,-	,86.1	,10	,6.58,2016/2017,EPL,0.1	,3	,-	,2399	
0.9	,37,3	,West Ham,1	,86.4	,8	,7.15,2015/2016,EPL,0.5	,7	,4	,3205	
0.8	,27(1),-	,West Ham,-	,85.2	,4	,7.04,2014/2015,EPL,0.3	,2	,3	,2308	
0.6	,38,3	,West Ham,1	,82.8	,6	,7.13,2013/2014,EPL,0.3	,3	,4	,3344	
0.5	,25(3),4	,West Ham,-	,82.6	,7	,7.08,2012/2013,EPL,0.2	,4	,3	,2286	
1.5	,25(1),-	,West Ham,-	,85.5	,7	,6.95,2010/2011,EPL,0.2	,4	,3	,2144	
1.2	,25(2),4	,West Ham,1	,82.5	,5	,7.06,2009/2010,EPL,0.1	,2	,4	,2123	
0.8,281,15,,4,84.5,61,6.94,Total / Average,,0.3,35,26,23116
0.9	,7,-	,West Ham,-	,85.6	,2	,6.61,2019/2020,EPL,0.7	,1	,-	,594	
0.5	,29(2),-	,West Ham,1	,85.3	,6	,6.65,2018/2019,EPL,0.3	,5	,5	,2308	
0.5	,28(1),1	,West Ham,-	,83.9	,6	,6.81,2017/2018,EPL,0.3	,4	,-	,2405	
0.8	,29(1),-	,West Ham,-	,86.1	,10	,6.58,2016/2017,EPL,0.1	,3	,-	,2399	
0.9	,37,3	,West Ham,1	,86.4	,8	,7.15,2015/2016,EPL,0.5	,7	,4	,3205	
0.8	,27(1),-	,West Ham,-	,85.2	,4	,7.04,2014/2015,EPL,0.3	,2	,3	,2308	
0.6	,38,3	,West Ham,1	,82.8	,6	,7.13,2013/2014,EPL,0.3	,3	,4	,3344	
0.5	,25(3),4	,West Ham,-	,82.6	,7	,7.08,2012/2013,EPL,0.2	,4	,3	,2286	
1.5	,25(1),-	,West Ham,-	,85.5	,7	,6.95,2010/2011,EPL,0.2	,4	,3	,2144	
1.2	,25(2),4	,West Ham,1	,82.5	,5	,7.06,2009/2010,EPL,0.1	,2	,4	,2123	
0.8,281,15,,4,84.5,61,6.94,Total / Average,,0.3,35,26,23116
