ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(2),-	,Burnley,-	,71.4	,-	,6.12,2019/2020,EPL,-	,-	,1	,19	
0.5	,3(10),-	,Burnley,-	,64.4	,1	,6.17,2018/2019,EPL,0.4	,1	,1	,313	
0.7	,3,-	,Czech Republi..,-	,69.6	,-	,6.42,2018/2019,UNL,2	,-	,-	,220	
1.8	,35(7),4	,Derby,-	,78.1	,2	,6.90,2017/2018,EC,0.5	,21	,4	,2809	
1.3	,20(13),-	,Derby,-	,75.3	,-	,6.47,2016/2017,EC,0.6	,5	,1	,1834	
-	,0(1),-	,Watford,-	,100	,-	,5.94,2016/2017,EPL,-	,-	,-	,2	
1.3	,24(7),-	,Reading,-	,81.4	,1	,6.46,2015/2016,EC,0.4	,3	,3	,2106	
1.6	,31(11),2	,Watford,-	,75.4	,2	,6.98,2014/2015,EC,0.4	,16	,5	,2592	
0.5	,7(16),-	,West Bromwich..,-	,68.5	,-	,6.31,2013/2014,EPL,0.2	,3	,3	,669	
-	,0(2),-	,Udinese,-	,100	,-	,6.06,2010/2011,ISA,-	,-	,-	,11	
1.3,192,6,,0,75.6,6,6.62,Total / Average,,0.4,49,18,10575
-	,0(2),-	,Burnley,-	,71.4	,-	,6.12,2019/2020,EPL,-	,-	,1	,19	
0.5	,3(10),-	,Burnley,-	,64.4	,1	,6.17,2018/2019,EPL,0.4	,1	,1	,313	
0.7	,3,-	,Czech Republi..,-	,69.6	,-	,6.42,2018/2019,UNL,2	,-	,-	,220	
1.8	,35(7),4	,Derby,-	,78.1	,2	,6.90,2017/2018,EC,0.5	,21	,4	,2809	
1.3	,20(13),-	,Derby,-	,75.3	,-	,6.47,2016/2017,EC,0.6	,5	,1	,1834	
-	,0(1),-	,Watford,-	,100	,-	,5.94,2016/2017,EPL,-	,-	,-	,2	
1.3	,24(7),-	,Reading,-	,81.4	,1	,6.46,2015/2016,EC,0.4	,3	,3	,2106	
1.6	,31(11),2	,Watford,-	,75.4	,2	,6.98,2014/2015,EC,0.4	,16	,5	,2592	
0.5	,7(16),-	,West Bromwich..,-	,68.5	,-	,6.31,2013/2014,EPL,0.2	,3	,3	,669	
-	,0(2),-	,Udinese,-	,100	,-	,6.06,2010/2011,ISA,-	,-	,-	,11	
1.3,192,6,,0,75.6,6,6.62,Total / Average,,0.4,49,18,10575
