ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.1	,9,-	,Burnley,-	,65.7	,1	,6.95,2019/2020,EPL,1.4	,-	,1	,810	
0.2	,19(2),-	,Burnley,-	,69	,7	,6.64,2018/2019,EPL,1.2	,-	,-	,1748	
0.2	,25(1),1	,Burnley,-	,68.9	,1	,6.97,2017/2018,EPL,1.3	,-	,3	,2295	
0.2	,36,1	,Burnley,-	,66.7	,9	,7.02,2016/2017,EPL,1.5	,-	,2	,3240	
0.2	,25(2),3	,Burnley,-	,64.4	,4	,7.31,2015/2016,EC,1.8	,1	,3	,2268	
0.3	,8(4),-	,Aston Villa,-	,72.5	,2	,6.67,2014/2015,EPL,1	,-	,-	,755	
0.1	,18(5),-	,Aston Villa,-	,76.8	,4	,6.53,2013/2014,EPL,0.7	,-	,3	,1663	
0.4	,37,1	,Aston Villa,-	,79.1	,10	,7.14,2012/2013,EPL,1	,2	,3	,3267	
0.2,191,6,,0,70.9,38,6.95,Total / Average,,1.2,3,15,16046
0.1	,9,-	,Burnley,-	,65.7	,1	,6.95,2019/2020,EPL,1.4	,-	,1	,810	
0.2	,19(2),-	,Burnley,-	,69	,7	,6.64,2018/2019,EPL,1.2	,-	,-	,1748	
0.2	,25(1),1	,Burnley,-	,68.9	,1	,6.97,2017/2018,EPL,1.3	,-	,3	,2295	
0.2	,36,1	,Burnley,-	,66.7	,9	,7.02,2016/2017,EPL,1.5	,-	,2	,3240	
0.2	,25(2),3	,Burnley,-	,64.4	,4	,7.31,2015/2016,EC,1.8	,1	,3	,2268	
0.3	,8(4),-	,Aston Villa,-	,72.5	,2	,6.67,2014/2015,EPL,1	,-	,-	,755	
0.1	,18(5),-	,Aston Villa,-	,76.8	,4	,6.53,2013/2014,EPL,0.7	,-	,3	,1663	
0.4	,37,1	,Aston Villa,-	,79.1	,10	,7.14,2012/2013,EPL,1	,2	,3	,3267	
0.2,191,6,,0,70.9,38,6.95,Total / Average,,1.2,3,15,16046
