ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,5(1),-	,Southampton,-	,81	,1	,6.40,2019/2020,EPL,2.2	,-	,-	,463	
0.8	,17,-	,Southampton,-	,75.7	,-	,6.85,2018/2019,EPL,2.1	,-	,1	,1520	
0.8	,23(1),-	,Southampton,1	,84.2	,2	,6.86,2017/2018,EPL,2.8	,2	,-	,2051	
0.7	,23,-	,Southampton,-	,86	,2	,7.03,2016/2017,EPL,3.3	,1	,-	,2070	
0.8	,6,-	,Southampton,-	,87.6	,-	,7.20,2016/2017,UEL,2.8	,-	,-	,540	
0.5	,4,-	,Japan,-	,88.6	,-	,6.85,2018,WC,4	,-	,-	,360	
0.1	,10(10),1	,Southampton,-	,79.6	,-	,6.48,2015/2016,EPL,1.1	,1	,-	,1016	
0.5	,18(4),1	,Southampton,-	,81.1	,3	,6.90,2014/2015,EPL,2.2	,1	,1	,1691	
0.4	,7(1),-	,Southampton,-	,81	,-	,6.99,2013/2014,EPL,3.5	,1	,-	,632	
1	,3,-	,Japan,-	,83	,1	,6.93,2014,WC,4.7	,-	,-	,270	
-	,2(1),-	,Japan,-	,80.5	,-	,6.15,2013,ICC,1.7	,-	,-	,205	
0.3	,31(1),-	,Southampton,-	,76.6	,2	,6.95,2012/2013,EPL,2.9	,-	,-	,2852	
0.5,168,2,,1,81,11,6.85,Total / Average,,2.6,6,2,13670
0.8	,5(1),-	,Southampton,-	,81	,1	,6.40,2019/2020,EPL,2.2	,-	,-	,463	
0.8	,17,-	,Southampton,-	,75.7	,-	,6.85,2018/2019,EPL,2.1	,-	,1	,1520	
0.8	,23(1),-	,Southampton,1	,84.2	,2	,6.86,2017/2018,EPL,2.8	,2	,-	,2051	
0.7	,23,-	,Southampton,-	,86	,2	,7.03,2016/2017,EPL,3.3	,1	,-	,2070	
0.8	,6,-	,Southampton,-	,87.6	,-	,7.20,2016/2017,UEL,2.8	,-	,-	,540	
0.5	,4,-	,Japan,-	,88.6	,-	,6.85,2018,WC,4	,-	,-	,360	
0.1	,10(10),1	,Southampton,-	,79.6	,-	,6.48,2015/2016,EPL,1.1	,1	,-	,1016	
0.5	,18(4),1	,Southampton,-	,81.1	,3	,6.90,2014/2015,EPL,2.2	,1	,1	,1691	
0.4	,7(1),-	,Southampton,-	,81	,-	,6.99,2013/2014,EPL,3.5	,1	,-	,632	
1	,3,-	,Japan,-	,83	,1	,6.93,2014,WC,4.7	,-	,-	,270	
-	,2(1),-	,Japan,-	,80.5	,-	,6.15,2013,ICC,1.7	,-	,-	,205	
0.3	,31(1),-	,Southampton,-	,76.6	,2	,6.95,2012/2013,EPL,2.9	,-	,-	,2852	
0.5,168,2,,1,81,11,6.85,Total / Average,,2.6,6,2,13670
