ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.7	,1(2),-	,West Ham,-	,70.3	,-	,6.37,2019/2020,EPL,1.7	,-	,-	,126	
2	,22(11),2	,West Ham,-	,68.1	,3	,6.92,2018/2019,EPL,2.4	,6	,4	,2101	
1.6	,16(5),-	,West Ham,-	,67.8	,1	,6.88,2017/2018,EPL,2	,3	,1	,1358	
2.7	,29,3	,West Ham,1	,73	,4	,7.25,2016/2017,EPL,2	,9	,3	,2440	
4.5	,4,-	,Nottingham Fo..,-	,65.1	,-	,7.56,2015/2016,EC,2.3	,2	,1	,360	
2.1	,23(3),2	,West Ham,-	,69.6	,3	,7.35,2015/2016,EPL,1.5	,8	,3	,2063	
3.4	,46,7	,Nottingham Fo..,-	,60.3	,7	,7.36,2014/2015,EC,3.3	,14	,12	,3942	
2.7	,24(3),2	,Sheffield Wed..,-	,66.1	,1	,6.90,2013/2014,EC,1.8	,4	,3	,2088	
2.6,189,16,,1,66.8,19,7.13,Total / Average,,2.3,46,27,14478
1.7	,1(2),-	,West Ham,-	,70.3	,-	,6.37,2019/2020,EPL,1.7	,-	,-	,126	
2	,22(11),2	,West Ham,-	,68.1	,3	,6.92,2018/2019,EPL,2.4	,6	,4	,2101	
1.6	,16(5),-	,West Ham,-	,67.8	,1	,6.88,2017/2018,EPL,2	,3	,1	,1358	
2.7	,29,3	,West Ham,1	,73	,4	,7.25,2016/2017,EPL,2	,9	,3	,2440	
4.5	,4,-	,Nottingham Fo..,-	,65.1	,-	,7.56,2015/2016,EC,2.3	,2	,1	,360	
2.1	,23(3),2	,West Ham,-	,69.6	,3	,7.35,2015/2016,EPL,1.5	,8	,3	,2063	
3.4	,46,7	,Nottingham Fo..,-	,60.3	,7	,7.36,2014/2015,EC,3.3	,14	,12	,3942	
2.7	,24(3),2	,Sheffield Wed..,-	,66.1	,1	,6.90,2013/2014,EC,1.8	,4	,3	,2088	
2.6,189,16,,1,66.8,19,7.13,Total / Average,,2.3,46,27,14478
