ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.3	,9,-	,Newcastle Uni..,-	,72.1	,2	,6.25,2019/2020,EPL,0.1	,-	,-	,734	
0.5	,4,-	,Paraguay,-	,79.8	,-	,6.73,2019,ICA,0.5	,-	,2	,387	
1.9	,9(1),-	,Newcastle Uni..,-	,74.7	,-	,6.76,2018/2019,EPL,0.1	,-	,-	,763	
3.8	,37,10	,Atlanta Unite..,-	,80.8	,5	,7.71,2018,UMLS,0.3	,13	,11	,3160	
2.9	,28(3),5	,Atlanta Unite..,-	,80.7	,4	,7.39,2017,UMLS,0.1	,9	,8	,2515	
1.8	,10(2),-	,Lanus,-	,84.5	,-	,6.69,2016/2017,APD,0.2	,-	,1	,952	
2.7,103,15,,0,79.8,11,7.23,Total / Average,,0.2,22,22,8511
1.3	,9,-	,Newcastle Uni..,-	,72.1	,2	,6.25,2019/2020,EPL,0.1	,-	,-	,734	
0.5	,4,-	,Paraguay,-	,79.8	,-	,6.73,2019,ICA,0.5	,-	,2	,387	
1.9	,9(1),-	,Newcastle Uni..,-	,74.7	,-	,6.76,2018/2019,EPL,0.1	,-	,-	,763	
3.8	,37,10	,Atlanta Unite..,-	,80.8	,5	,7.71,2018,UMLS,0.3	,13	,11	,3160	
2.9	,28(3),5	,Atlanta Unite..,-	,80.7	,4	,7.39,2017,UMLS,0.1	,9	,8	,2515	
1.8	,10(2),-	,Lanus,-	,84.5	,-	,6.69,2016/2017,APD,0.2	,-	,1	,952	
2.7,103,15,,0,79.8,11,7.23,Total / Average,,0.2,22,22,8511
