ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.1	,7,-	,Manchester Ci..,-	,92.5	,2	,6.81,2019/2020,EPL,3.1	,1	,-	,603	
1	,2,-	,Manchester Ci..,-	,94.8	,-	,7.31,2019/2020,UCL,2.5	,-	,-	,180	
0.5	,6,-	,Argentina,-	,85.6	,1	,6.99,2019,ICA,4.3	,-	,-	,540	
0.8	,14(4),-	,Manchester Ci..,-	,92.7	,1	,6.98,2018/2019,EPL,2.2	,-	,-	,1234	
0.8	,5,-	,Manchester Ci..,1	,91.7	,2	,6.54,2018/2019,UCL,4.2	,-	,-	,402	
0.6	,8,-	,Manchester Ci..,-	,92.6	,2	,7.28,2017/2018,UCL,3.3	,1	,-	,720	
0.9	,33(1),5	,Manchester Ci..,-	,91.9	,9	,7.13,2017/2018,EPL,2.3	,4	,-	,2968	
1.2	,6,-	,Manchester Ci..,-	,87.3	,2	,7.18,2016/2017,UCL,3.5	,-	,-	,540	
0.5	,29(1),2	,Manchester Ci..,-	,88.2	,9	,7.49,2016/2017,EPL,3.9	,1	,1	,2592	
1	,4,-	,Argentina,-	,87.8	,2	,6.98,2018,WC,5.5	,-	,-	,360	
0.4	,11(1),-	,Manchester Ci..,-	,85.4	,3	,7.00,2015/2016,UCL,1.9	,-	,-	,940	
0.9	,30,4	,Manchester Ci..,-	,84.1	,9	,7.47,2015/2016,EPL,3	,1	,-	,2672	
1.2	,5,-	,Argentina,-	,85	,1	,7.31,2015,ICA,4.4	,-	,-	,510	
0.6	,35,7	,Valencia,1	,80.3	,9	,7.59,2014/2015,SLL,3.5	,6	,-	,3098	
1.4	,5,1	,Atletico MG,-	,88.1	,1	,7.31,2014,BSA,2.2	,-	,-	,450	
1	,4,-	,FC Porto,-	,83.2	,-	,6.59,2013/2014,UCL,1	,-	,-	,360	
0.4	,8,-	,FC Porto,-	,86.6	,2	,7.35,2012/2013,UCL,2.4	,-	,-	,720	
0.4	,5,-	,FC Porto,-	,78.6	,3	,6.91,2011/2012,UCL,1.6	,-	,-	,442	
0.8,224,19,,2,87.1,58,7.26,Total / Average,,3,14,1,19331
1.1	,7,-	,Manchester Ci..,-	,92.5	,2	,6.81,2019/2020,EPL,3.1	,1	,-	,603	
1	,2,-	,Manchester Ci..,-	,94.8	,-	,7.31,2019/2020,UCL,2.5	,-	,-	,180	
0.5	,6,-	,Argentina,-	,85.6	,1	,6.99,2019,ICA,4.3	,-	,-	,540	
0.8	,14(4),-	,Manchester Ci..,-	,92.7	,1	,6.98,2018/2019,EPL,2.2	,-	,-	,1234	
0.8	,5,-	,Manchester Ci..,1	,91.7	,2	,6.54,2018/2019,UCL,4.2	,-	,-	,402	
0.6	,8,-	,Manchester Ci..,-	,92.6	,2	,7.28,2017/2018,UCL,3.3	,1	,-	,720	
0.9	,33(1),5	,Manchester Ci..,-	,91.9	,9	,7.13,2017/2018,EPL,2.3	,4	,-	,2968	
1.2	,6,-	,Manchester Ci..,-	,87.3	,2	,7.18,2016/2017,UCL,3.5	,-	,-	,540	
0.5	,29(1),2	,Manchester Ci..,-	,88.2	,9	,7.49,2016/2017,EPL,3.9	,1	,1	,2592	
1	,4,-	,Argentina,-	,87.8	,2	,6.98,2018,WC,5.5	,-	,-	,360	
0.4	,11(1),-	,Manchester Ci..,-	,85.4	,3	,7.00,2015/2016,UCL,1.9	,-	,-	,940	
0.9	,30,4	,Manchester Ci..,-	,84.1	,9	,7.47,2015/2016,EPL,3	,1	,-	,2672	
1.2	,5,-	,Argentina,-	,85	,1	,7.31,2015,ICA,4.4	,-	,-	,510	
0.6	,35,7	,Valencia,1	,80.3	,9	,7.59,2014/2015,SLL,3.5	,6	,-	,3098	
1.4	,5,1	,Atletico MG,-	,88.1	,1	,7.31,2014,BSA,2.2	,-	,-	,450	
1	,4,-	,FC Porto,-	,83.2	,-	,6.59,2013/2014,UCL,1	,-	,-	,360	
0.4	,8,-	,FC Porto,-	,86.6	,2	,7.35,2012/2013,UCL,2.4	,-	,-	,720	
0.4	,5,-	,FC Porto,-	,78.6	,3	,6.91,2011/2012,UCL,1.6	,-	,-	,442	
0.8,224,19,,2,87.1,58,7.26,Total / Average,,3,14,1,19331
