ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.1	,5(4),-	,Sheffield Uni..,-	,61.6	,2	,6.61,2019/2020,EPL,4.6	,1	,-	,465	
2	,37(5),6	,Swansea,-	,74.5	,5	,7.19,2018/2019,EC,3	,22	,4	,3414	
-	,0(1),-	,Scotland,-	,71.4	,-	,6.07,2018/2019,UNL,1	,-	,-	,14	
2.1	,16(1),3	,Barnsley,-	,76	,2	,7.26,2017/2018,EC,2.5	,9	,-	,1420	
0.5	,2(9),-	,Swansea,-	,68.7	,-	,6.26,2017/2018,EPL,2	,-	,1	,269	
0.4	,0(5),-	,Swansea,-	,78.8	,-	,6.01,2016/2017,EPL,0.6	,-	,-	,78	
1.6,85,9,,0,72.9,9,6.94,Total / Average,,2.8,32,5,5660
1.1	,5(4),-	,Sheffield Uni..,-	,61.6	,2	,6.61,2019/2020,EPL,4.6	,1	,-	,465	
2	,37(5),6	,Swansea,-	,74.5	,5	,7.19,2018/2019,EC,3	,22	,4	,3414	
-	,0(1),-	,Scotland,-	,71.4	,-	,6.07,2018/2019,UNL,1	,-	,-	,14	
2.1	,16(1),3	,Barnsley,-	,76	,2	,7.26,2017/2018,EC,2.5	,9	,-	,1420	
0.5	,2(9),-	,Swansea,-	,68.7	,-	,6.26,2017/2018,EPL,2	,-	,1	,269	
0.4	,0(5),-	,Swansea,-	,78.8	,-	,6.01,2016/2017,EPL,0.6	,-	,-	,78	
1.6,85,9,,0,72.9,9,6.94,Total / Average,,2.8,32,5,5660
