ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.6	,9,-	,Sheffield Uni..,-	,81.8	,1	,7.01,2019/2020,EPL,1	,-	,-	,766	
1.3	,43,7	,Sheffield Uni..,-	,82.9	,11	,7.39,2018/2019,EC,1.4	,3	,8	,3808	
1	,3,-	,N.Ireland,-	,82.6	,2	,6.66,2018/2019,UNL,1	,-	,-	,238	
1.2	,22(17),2	,Fulham,-	,84.7	,6	,6.70,2017/2018,EC,0.9	,5	,3	,2141	
0.4	,16(17),-	,Brighton,-	,83.9	,3	,6.65,2016/2017,EC,0.6	,-	,2	,1621	
2	,43,4	,Reading,-	,82.9	,8	,7.45,2015/2016,EC,1.3	,3	,8	,3790	
1	,1,-	,Huddersfield,-	,85.2	,1	,6.99,2014/2015,EC,-	,-	,-	,90	
1.1	,32(6),5	,Reading,-	,77.4	,8	,7.33,2014/2015,EC,1.6	,1	,5	,2905	
0.5	,4,-	,N.Ireland,-	,71.3	,-	,7.10,2016,UEC,1	,-	,1	,349	
1.9	,37(3),1	,Huddersfield,-	,78.5	,6	,6.87,2013/2014,EC,1	,5	,4	,3106	
1.3,253,19,,0,81.5,46,7.08,Total / Average,,1.1,17,31,18814
0.6	,9,-	,Sheffield Uni..,-	,81.8	,1	,7.01,2019/2020,EPL,1	,-	,-	,766	
1.3	,43,7	,Sheffield Uni..,-	,82.9	,11	,7.39,2018/2019,EC,1.4	,3	,8	,3808	
1	,3,-	,N.Ireland,-	,82.6	,2	,6.66,2018/2019,UNL,1	,-	,-	,238	
1.2	,22(17),2	,Fulham,-	,84.7	,6	,6.70,2017/2018,EC,0.9	,5	,3	,2141	
0.4	,16(17),-	,Brighton,-	,83.9	,3	,6.65,2016/2017,EC,0.6	,-	,2	,1621	
2	,43,4	,Reading,-	,82.9	,8	,7.45,2015/2016,EC,1.3	,3	,8	,3790	
1	,1,-	,Huddersfield,-	,85.2	,1	,6.99,2014/2015,EC,-	,-	,-	,90	
1.1	,32(6),5	,Reading,-	,77.4	,8	,7.33,2014/2015,EC,1.6	,1	,5	,2905	
0.5	,4,-	,N.Ireland,-	,71.3	,-	,7.10,2016,UEC,1	,-	,1	,349	
1.9	,37(3),1	,Huddersfield,-	,78.5	,6	,6.87,2013/2014,EC,1	,5	,4	,3106	
1.3,253,19,,0,81.5,46,7.08,Total / Average,,1.1,17,31,18814
