ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,7,-	,Newcastle Uni..,-	,74.9	,2	,6.63,2019/2020,EPL,2	,-	,-	,630	
0.3	,21(5),-	,Newcastle Uni..,-	,71.1	,1	,6.74,2018/2019,EPL,2.3	,-	,-	,1987	
-	,1(1),-	,Wales,-	,81.4	,1	,6.46,2018/2019,UNL,2.5	,-	,-	,48	
0.2	,19(1),-	,Newcastle Uni..,-	,69.4	,1	,6.76,2017/2018,EPL,2.8	,-	,-	,1603	
0.2	,44(1),1	,Newcastle Uni..,1	,73.9	,8	,6.95,2016/2017,EC,3.5	,-	,-	,3927	
0.2	,23,-	,Newcastle Uni..,-	,69.2	,3	,6.89,2015/2016,EPL,2	,1	,-	,1897	
0.7	,24(1),-	,Newcastle Uni..,-	,74.4	,4	,6.89,2014/2015,EPL,3.6	,-	,-	,2109	
0.7	,11(7),-	,Newcastle Uni..,1	,76.1	,1	,6.77,2013/2014,EPL,1.4	,1	,-	,1138	
0.4,166,1,,2,72.7,21,6.84,Total / Average,,2.7,2,0,13339
0.3	,7,-	,Newcastle Uni..,-	,74.9	,2	,6.63,2019/2020,EPL,2	,-	,-	,630	
0.3	,21(5),-	,Newcastle Uni..,-	,71.1	,1	,6.74,2018/2019,EPL,2.3	,-	,-	,1987	
-	,1(1),-	,Wales,-	,81.4	,1	,6.46,2018/2019,UNL,2.5	,-	,-	,48	
0.2	,19(1),-	,Newcastle Uni..,-	,69.4	,1	,6.76,2017/2018,EPL,2.8	,-	,-	,1603	
0.2	,44(1),1	,Newcastle Uni..,1	,73.9	,8	,6.95,2016/2017,EC,3.5	,-	,-	,3927	
0.2	,23,-	,Newcastle Uni..,-	,69.2	,3	,6.89,2015/2016,EPL,2	,1	,-	,1897	
0.7	,24(1),-	,Newcastle Uni..,-	,74.4	,4	,6.89,2014/2015,EPL,3.6	,-	,-	,2109	
0.7	,11(7),-	,Newcastle Uni..,1	,76.1	,1	,6.77,2013/2014,EPL,1.4	,1	,-	,1138	
0.4,166,1,,2,72.7,21,6.84,Total / Average,,2.7,2,0,13339
