ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(2),-	,Manchester Ci..,-	,75	,-	,6.13,2019/2020,EPL,-	,-	,-	,11	
1	,0(1),-	,Manchester Ci..,-	,-	,-	,6.00,2019/2020,UCL,-	,1	,-	,1	
1.1	,3(10),-	,Manchester Ci..,-	,86.6	,-	,6.52,2018/2019,EPL,0.2	,1	,-	,330	
1.8	,1(3),-	,Manchester Ci..,-	,84.4	,-	,6.75,2018/2019,UCL,0.3	,1	,-	,120	
1.3	,2(1),1	,England U21,-	,88.8	,-	,6.98,2019,IEU,0.3	,1	,-	,213	
0.3	,2(1),-	,Manchester Ci..,-	,89.2	,-	,6.34,2017/2018,UCL,0.3	,-	,-	,195	
-	,0(5),-	,Manchester Ci..,-	,90.9	,-	,6.30,2017/2018,EPL,-	,-	,1	,45	
0.9,31,1,,0,83.9,0,6.50,Total / Average,,0.2,4,1,915
-	,0(2),-	,Manchester Ci..,-	,75	,-	,6.13,2019/2020,EPL,-	,-	,-	,11	
1	,0(1),-	,Manchester Ci..,-	,-	,-	,6.00,2019/2020,UCL,-	,1	,-	,1	
1.1	,3(10),-	,Manchester Ci..,-	,86.6	,-	,6.52,2018/2019,EPL,0.2	,1	,-	,330	
1.8	,1(3),-	,Manchester Ci..,-	,84.4	,-	,6.75,2018/2019,UCL,0.3	,1	,-	,120	
1.3	,2(1),1	,England U21,-	,88.8	,-	,6.98,2019,IEU,0.3	,1	,-	,213	
0.3	,2(1),-	,Manchester Ci..,-	,89.2	,-	,6.34,2017/2018,UCL,0.3	,-	,-	,195	
-	,0(5),-	,Manchester Ci..,-	,90.9	,-	,6.30,2017/2018,EPL,-	,-	,1	,45	
0.9,31,1,,0,83.9,0,6.50,Total / Average,,0.2,4,1,915
