ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(2),-	,Sheffield Uni..,-	,75	,-	,6.50,2019/2020,EPL,1	,-	,-	,27	
0.1	,4(3),-	,Everton,1	,74.5	,-	,6.48,2018/2019,EPL,2	,1	,-	,330	
1	,1,-	,Everton,-	,81.7	,-	,7.18,2017/2018,UEL,2	,-	,-	,90	
0.3	,23(2),2	,Everton,-	,75.9	,2	,6.82,2017/2018,EPL,2.7	,-	,-	,2065	
0.5	,25(2),2	,Everton,1	,82.8	,4	,7.13,2016/2017,EPL,3.3	,3	,2	,2251	
0.4	,21,-	,Everton,-	,84.3	,-	,7.20,2015/2016,EPL,2.8	,-	,-	,1852	
0.4	,9,1	,Everton,-	,87.4	,-	,7.62,2014/2015,UEL,2.7	,2	,-	,810	
0.4	,37,3	,Everton,-	,87.5	,1	,7.27,2014/2015,EPL,2.9	,4	,-	,3286	
0.6	,26,2	,Everton,-	,86.9	,2	,7.26,2013/2014,EPL,2.7	,-	,1	,2316	
0.5	,2,-	,England,-	,94.3	,-	,6.69,2014,WC,2	,-	,-	,180	
0.7	,36,1	,Everton,-	,78.2	,1	,7.20,2012/2013,EPL,2.4	,2	,1	,3155	
0.4	,29(1),1	,Everton,-	,74.5	,2	,7.02,2011/2012,EPL,1.8	,2	,1	,2570	
0.5	,31(2),-	,Everton,-	,73.6	,3	,7.11,2010/2011,EPL,1.4	,1	,-	,2796	
0.6	,11(1),1	,Everton,-	,73.2	,-	,7.33,2009/2010,EPL,2.7	,-	,-	,1035	
0.5,268,13,,2,80.2,15,7.13,Total / Average,,2.5,15,5,22763
-	,0(2),-	,Sheffield Uni..,-	,75	,-	,6.50,2019/2020,EPL,1	,-	,-	,27	
0.1	,4(3),-	,Everton,1	,74.5	,-	,6.48,2018/2019,EPL,2	,1	,-	,330	
1	,1,-	,Everton,-	,81.7	,-	,7.18,2017/2018,UEL,2	,-	,-	,90	
0.3	,23(2),2	,Everton,-	,75.9	,2	,6.82,2017/2018,EPL,2.7	,-	,-	,2065	
0.5	,25(2),2	,Everton,1	,82.8	,4	,7.13,2016/2017,EPL,3.3	,3	,2	,2251	
0.4	,21,-	,Everton,-	,84.3	,-	,7.20,2015/2016,EPL,2.8	,-	,-	,1852	
0.4	,9,1	,Everton,-	,87.4	,-	,7.62,2014/2015,UEL,2.7	,2	,-	,810	
0.4	,37,3	,Everton,-	,87.5	,1	,7.27,2014/2015,EPL,2.9	,4	,-	,3286	
0.6	,26,2	,Everton,-	,86.9	,2	,7.26,2013/2014,EPL,2.7	,-	,1	,2316	
0.5	,2,-	,England,-	,94.3	,-	,6.69,2014,WC,2	,-	,-	,180	
0.7	,36,1	,Everton,-	,78.2	,1	,7.20,2012/2013,EPL,2.4	,2	,1	,3155	
0.4	,29(1),1	,Everton,-	,74.5	,2	,7.02,2011/2012,EPL,1.8	,2	,1	,2570	
0.5	,31(2),-	,Everton,-	,73.6	,3	,7.11,2010/2011,EPL,1.4	,1	,-	,2796	
0.6	,11(1),1	,Everton,-	,73.2	,-	,7.33,2009/2010,EPL,2.7	,-	,-	,1035	
0.5,268,13,,2,80.2,15,7.13,Total / Average,,2.5,15,5,22763
