ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
3.5	,8,-	,Manchester Ci..,-	,79	,3	,7.79,2019/2020,EPL,0.8	,6	,1	,716	
2.5	,1(1),1	,Manchester Ci..,-	,89.2	,-	,8.20,2019/2020,UCL,0.5	,1	,1	,124	
2.3	,31(3),8	,Manchester Ci..,-	,85.8	,3	,7.61,2018/2019,EPL,0.4	,17	,10	,2777	
2.3	,10,1	,Manchester Ci..,-	,83.5	,1	,7.87,2018/2019,UCL,0.3	,5	,2	,871	
2	,5,-	,England,-	,81.1	,1	,6.83,2018/2019,UNL,0.8	,2	,-	,498	
1.3	,5(3),3	,Manchester Ci..,-	,80.6	,1	,7.40,2017/2018,UCL,0.3	,4	,1	,497	
2.6	,29(4),4	,Manchester Ci..,1	,84	,3	,7.55,2017/2018,EPL,0.2	,18	,11	,2593	
1.9	,7,-	,Manchester Ci..,-	,84	,3	,7.25,2016/2017,UCL,0.3	,2	,3	,577	
1.9	,29(4),4	,Manchester Ci..,-	,80.4	,7	,7.05,2016/2017,EPL,0.4	,7	,6	,2517	
1.7	,6,-	,England,-	,86.8	,-	,6.59,2018,WC,0.5	,-	,1	,456	
2	,6(4),2	,Manchester Ci..,-	,82.1	,-	,7.19,2015/2016,UCL,0.3	,3	,2	,578	
1.7	,23(8),-	,Manchester Ci..,-	,85.3	,1	,6.78,2015/2016,EPL,0.3	,6	,2	,1928	
2.2	,5(1),1	,Liverpool,-	,78.5	,1	,6.92,2014/2015,UCL,-	,-	,1	,463	
1	,1(1),-	,Liverpool,-	,74.5	,-	,6.06,2014/2015,UEL,-	,-	,-	,133	
2.4	,34(1),3	,Liverpool,-	,81.1	,5	,7.27,2014/2015,EPL,0.1	,7	,7	,3053	
0.7	,3,-	,England,-	,77.2	,-	,6.55,2016,UEC,0.7	,-	,-	,193	
1.4	,24(9),2	,Liverpool,-	,81.7	,3	,7.40,2013/2014,EPL,0.3	,9	,5	,2221	
1.3	,2(1),-	,England,-	,88.2	,1	,6.54,2014,WC,0.7	,-	,-	,183	
0.6	,1(6),-	,Liverpool,-	,79.7	,-	,6.14,2012/2013,UEL,0.3	,-	,-	,187	
1.4	,19(5),1	,Liverpool,-	,84.5	,1	,6.97,2012/2013,EPL,0.2	,2	,2	,1749	
0.7	,0(3),-	,Liverpool,-	,86.7	,-	,6.10,2011/2012,EPL,-	,-	,-	,25	
1.9,303,30,,1,82.9,34,7.21,Total / Average,,0.3,89,55,22339
3.5	,8,-	,Manchester Ci..,-	,79	,3	,7.79,2019/2020,EPL,0.8	,6	,1	,716	
2.5	,1(1),1	,Manchester Ci..,-	,89.2	,-	,8.20,2019/2020,UCL,0.5	,1	,1	,124	
2.3	,31(3),8	,Manchester Ci..,-	,85.8	,3	,7.61,2018/2019,EPL,0.4	,17	,10	,2777	
2.3	,10,1	,Manchester Ci..,-	,83.5	,1	,7.87,2018/2019,UCL,0.3	,5	,2	,871	
2	,5,-	,England,-	,81.1	,1	,6.83,2018/2019,UNL,0.8	,2	,-	,498	
1.3	,5(3),3	,Manchester Ci..,-	,80.6	,1	,7.40,2017/2018,UCL,0.3	,4	,1	,497	
2.6	,29(4),4	,Manchester Ci..,1	,84	,3	,7.55,2017/2018,EPL,0.2	,18	,11	,2593	
1.9	,7,-	,Manchester Ci..,-	,84	,3	,7.25,2016/2017,UCL,0.3	,2	,3	,577	
1.9	,29(4),4	,Manchester Ci..,-	,80.4	,7	,7.05,2016/2017,EPL,0.4	,7	,6	,2517	
1.7	,6,-	,England,-	,86.8	,-	,6.59,2018,WC,0.5	,-	,1	,456	
2	,6(4),2	,Manchester Ci..,-	,82.1	,-	,7.19,2015/2016,UCL,0.3	,3	,2	,578	
1.7	,23(8),-	,Manchester Ci..,-	,85.3	,1	,6.78,2015/2016,EPL,0.3	,6	,2	,1928	
2.2	,5(1),1	,Liverpool,-	,78.5	,1	,6.92,2014/2015,UCL,-	,-	,1	,463	
1	,1(1),-	,Liverpool,-	,74.5	,-	,6.06,2014/2015,UEL,-	,-	,-	,133	
2.4	,34(1),3	,Liverpool,-	,81.1	,5	,7.27,2014/2015,EPL,0.1	,7	,7	,3053	
0.7	,3,-	,England,-	,77.2	,-	,6.55,2016,UEC,0.7	,-	,-	,193	
1.4	,24(9),2	,Liverpool,-	,81.7	,3	,7.40,2013/2014,EPL,0.3	,9	,5	,2221	
1.3	,2(1),-	,England,-	,88.2	,1	,6.54,2014,WC,0.7	,-	,-	,183	
0.6	,1(6),-	,Liverpool,-	,79.7	,-	,6.14,2012/2013,UEL,0.3	,-	,-	,187	
1.4	,19(5),1	,Liverpool,-	,84.5	,1	,6.97,2012/2013,EPL,0.2	,2	,2	,1749	
0.7	,0(3),-	,Liverpool,-	,86.7	,-	,6.10,2011/2012,EPL,-	,-	,-	,25	
1.9,303,30,,1,82.9,34,7.21,Total / Average,,0.3,89,55,22339
