ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,1(3),-	,West Ham,-	,73.2	,1	,6.38,2019/2020,EPL,1	,-	,-	,144	
0.9	,25(8),3	,West Ham,-	,82.1	,10	,6.78,2018/2019,EPL,0.8	,2	,5	,2224	
1.8	,41(2),7	,Aston Villa,-	,73	,11	,7.38,2017/2018,EC,1.9	,7	,14	,3429	
2	,19(1),3	,Hull,-	,82.9	,2	,7.01,2016/2017,EPL,0.8	,7	,3	,1712	
0.7	,8(7),-	,West Ham,-	,81.6	,-	,6.46,2016/2017,EPL,0.5	,-	,2	,838	
1.8	,21(6),3	,Hull,-	,79.9	,2	,7.34,2015/2016,EC,1	,4	,7	,1897	
-	,1,-	,Hull,-	,82.4	,-	,6.10,2014/2015,EPL,-	,-	,-	,40	
2.4	,29(1),2	,Norwich,-	,75.7	,6	,7.13,2013/2014,EPL,2.2	,6	,2	,2573	
2.1	,35(2),5	,Norwich,-	,78.9	,8	,7.26,2012/2013,EPL,0.8	,6	,6	,3067	
1.7,210,23,,0,78.4,40,7.10,Total / Average,,1.2,32,39,15924
