ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,2(1),-	,West Ham,-	,36.4	,-	,6.67,2019/2020,EPL,-	,-	,-	,236	
-	,34,1	,Malaga,-	,47.7	,-	,6.66,2017/2018,SLL,0.4	,-	,-	,3060	
-	,3(1),-	,Espanyol,-	,45.7	,-	,6.36,2016/2017,SLL,0.5	,-	,-	,307	
-	,2,-	,Olympiacos,-	,71.1	,-	,6.77,2015/2016,UEL,-	,-	,-	,210	
-	,6,-	,Olympiacos,-	,58.9	,1	,6.36,2015/2016,UCL,0.2	,-	,-	,540	
-	,6,-	,Olympiacos,-	,59.9	,-	,6.77,2014/2015,UCL,0.7	,-	,-	,540	
-	,2,-	,Olympiacos,-	,71.2	,-	,6.17,2014/2015,UEL,1	,-	,-	,180	
-	,8,2	,Olympiacos,-	,57	,1	,7.48,2013/2014,UCL,0.3	,-	,-	,720	
-	,33,1	,Real Zaragoza,-	,39.3	,3	,6.69,2012/2013,SLL,0.5	,-	,-	,2970	
-	,38,2	,Real Zaragoza,-	,40.9	,4	,6.94,2011/2012,SLL,0.1	,-	,-	,3420	
-	,6,-	,Benfica,-	,69.4	,1	,6.17,2010/2011,UCL,-	,-	,-	,540	
-	,15,1	,Real Zaragoza,-	,40.5	,3	,7.22,2009/2010,SLL,-	,-	,-	,1350	
-	,3,-	,Atletico Madr..,-	,40.3	,-	,6.59,2009/2010,SLL,-	,-	,-	,270	
-	,1,-	,Atletico Madr..,-	,22.2	,-	,6.40,2009/2010,UCL,-	,-	,-	,28	
0,161,7,,0,45.9,13,6.79,Total / Average,,0.3,0,0,14371
-	,2(1),-	,West Ham,-	,36.4	,-	,6.67,2019/2020,EPL,-	,-	,-	,236	
-	,34,1	,Malaga,-	,47.7	,-	,6.66,2017/2018,SLL,0.4	,-	,-	,3060	
-	,3(1),-	,Espanyol,-	,45.7	,-	,6.36,2016/2017,SLL,0.5	,-	,-	,307	
-	,2,-	,Olympiacos,-	,71.1	,-	,6.77,2015/2016,UEL,-	,-	,-	,210	
-	,6,-	,Olympiacos,-	,58.9	,1	,6.36,2015/2016,UCL,0.2	,-	,-	,540	
-	,6,-	,Olympiacos,-	,59.9	,-	,6.77,2014/2015,UCL,0.7	,-	,-	,540	
-	,2,-	,Olympiacos,-	,71.2	,-	,6.17,2014/2015,UEL,1	,-	,-	,180	
-	,8,2	,Olympiacos,-	,57	,1	,7.48,2013/2014,UCL,0.3	,-	,-	,720	
-	,33,1	,Real Zaragoza,-	,39.3	,3	,6.69,2012/2013,SLL,0.5	,-	,-	,2970	
-	,38,2	,Real Zaragoza,-	,40.9	,4	,6.94,2011/2012,SLL,0.1	,-	,-	,3420	
-	,6,-	,Benfica,-	,69.4	,1	,6.17,2010/2011,UCL,-	,-	,-	,540	
-	,15,1	,Real Zaragoza,-	,40.5	,3	,7.22,2009/2010,SLL,-	,-	,-	,1350	
-	,3,-	,Atletico Madr..,-	,40.3	,-	,6.59,2009/2010,SLL,-	,-	,-	,270	
-	,1,-	,Atletico Madr..,-	,22.2	,-	,6.40,2009/2010,UCL,-	,-	,-	,28	
0,161,7,,0,45.9,13,6.79,Total / Average,,0.3,0,0,14371
