ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,5(1),-	,Southampton,-	,76.2	,1	,6.32,2019/2020,EPL,2	,-	,-	,482	
0.7	,24,-	,Southampton,-	,75.5	,8	,6.61,2018/2019,EPL,1.6	,1	,-	,2160	
0.6	,35,-	,Southampton,-	,78.9	,2	,6.66,2017/2018,EPL,1.3	,-	,4	,3137	
0.7	,28,-	,Southampton,-	,83.4	,3	,6.86,2016/2017,EPL,1.5	,2	,4	,2508	
1	,1,-	,Southampton,-	,81.8	,1	,7.04,2016/2017,UEL,1	,-	,-	,90	
0.4	,32,-	,Southampton,-	,79.8	,6	,6.92,2015/2016,EPL,1.2	,1	,3	,2880	
0.4	,34,-	,Southampton,1	,79.4	,3	,7.02,2014/2015,EPL,1.6	,2	,2	,3055	
-	,1,-	,England,-	,89.7	,1	,7.03,2016,UEC,1	,-	,-	,90	
0.1	,16,-	,Aston Villa,-	,74.2	,3	,6.44,2013/2014,EPL,1.3	,-	,-	,1391	
-	,1,-	,Chelsea,-	,96.6	,-	,6.77,2013/2014,EPL,2	,-	,-	,64	
-	,5,-	,Chelsea,-	,90.6	,2	,6.85,2012/2013,UEL,0.8	,-	,1	,450	
-	,1(2),-	,Chelsea,-	,89.4	,-	,6.50,2012/2013,UCL,1	,-	,-	,140	
0.4	,14(5),-	,Chelsea,-	,84.4	,1	,6.48,2012/2013,EPL,0.6	,-	,-	,1280	
-	,1,-	,Chelsea,-	,80	,-	,6.97,2011/2012,UCL,3	,-	,-	,73	
0.3	,6(1),-	,Chelsea,-	,90.8	,1	,6.80,2011/2012,EPL,0.9	,-	,-	,540	
-	,0(1),-	,Chelsea,-	,90.5	,-	,6.82,2010/2011,EPL,-	,-	,1	,33	
0.4,214,0,,1,80.4,32,6.75,Total / Average,,1.3,6,15,18373
0.3	,5(1),-	,Southampton,-	,76.2	,1	,6.32,2019/2020,EPL,2	,-	,-	,482	
0.7	,24,-	,Southampton,-	,75.5	,8	,6.61,2018/2019,EPL,1.6	,1	,-	,2160	
0.6	,35,-	,Southampton,-	,78.9	,2	,6.66,2017/2018,EPL,1.3	,-	,4	,3137	
0.7	,28,-	,Southampton,-	,83.4	,3	,6.86,2016/2017,EPL,1.5	,2	,4	,2508	
1	,1,-	,Southampton,-	,81.8	,1	,7.04,2016/2017,UEL,1	,-	,-	,90	
0.4	,32,-	,Southampton,-	,79.8	,6	,6.92,2015/2016,EPL,1.2	,1	,3	,2880	
0.4	,34,-	,Southampton,1	,79.4	,3	,7.02,2014/2015,EPL,1.6	,2	,2	,3055	
-	,1,-	,England,-	,89.7	,1	,7.03,2016,UEC,1	,-	,-	,90	
0.1	,16,-	,Aston Villa,-	,74.2	,3	,6.44,2013/2014,EPL,1.3	,-	,-	,1391	
-	,1,-	,Chelsea,-	,96.6	,-	,6.77,2013/2014,EPL,2	,-	,-	,64	
-	,5,-	,Chelsea,-	,90.6	,2	,6.85,2012/2013,UEL,0.8	,-	,1	,450	
-	,1(2),-	,Chelsea,-	,89.4	,-	,6.50,2012/2013,UCL,1	,-	,-	,140	
0.4	,14(5),-	,Chelsea,-	,84.4	,1	,6.48,2012/2013,EPL,0.6	,-	,-	,1280	
-	,1,-	,Chelsea,-	,80	,-	,6.97,2011/2012,UCL,3	,-	,-	,73	
0.3	,6(1),-	,Chelsea,-	,90.8	,1	,6.80,2011/2012,EPL,0.9	,-	,-	,540	
-	,0(1),-	,Chelsea,-	,90.5	,-	,6.82,2010/2011,EPL,-	,-	,1	,33	
0.4,214,0,,1,80.4,32,6.75,Total / Average,,1.3,6,15,18373
