ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,9,1	,West Ham,-	,74.8	,2	,6.78,2019/2020,EPL,1.9	,-	,1	,800	
0.3	,12(3),1	,West Ham,-	,70.9	,5	,6.76,2018/2019,EPL,1.3	,1	,-	,1086	
0.6	,47,1	,Fulham,-	,76.7	,10	,6.98,2017/2018,EC,0.7	,-	,7	,4182	
0.6	,27(5),1	,Fulham,1	,78.4	,8	,6.86,2016/2017,EC,0.9	,-	,5	,2361	
-	,3(1),-	,Bristol City,-	,80.4	,2	,6.08,2015/2016,EC,-	,-	,-	,219	
0.2	,23(9),-	,Fulham,-	,67.9	,11	,6.63,2015/2016,EC,0.8	,-	,-	,2016	
0.2	,16(1),2	,Middlesbrough,-	,71.2	,5	,7.09,2014/2015,EC,0.6	,-	,-	,1337	
-	,0(1),-	,Tottenham,-	,80	,-	,7.57,2013/2014,UEL,-	,-	,-	,45	
0.3	,11(3),1	,Millwall,-	,63.6	,2	,7.20,2013/2014,EC,1.6	,1	,-	,1057	
0.4,171,7,,1,73.3,45,6.87,Total / Average,,0.9,2,13,13103
-	,9,1	,West Ham,-	,74.8	,2	,6.78,2019/2020,EPL,1.9	,-	,1	,800	
0.3	,12(3),1	,West Ham,-	,70.9	,5	,6.76,2018/2019,EPL,1.3	,1	,-	,1086	
0.6	,47,1	,Fulham,-	,76.7	,10	,6.98,2017/2018,EC,0.7	,-	,7	,4182	
0.6	,27(5),1	,Fulham,1	,78.4	,8	,6.86,2016/2017,EC,0.9	,-	,5	,2361	
-	,3(1),-	,Bristol City,-	,80.4	,2	,6.08,2015/2016,EC,-	,-	,-	,219	
0.2	,23(9),-	,Fulham,-	,67.9	,11	,6.63,2015/2016,EC,0.8	,-	,-	,2016	
0.2	,16(1),2	,Middlesbrough,-	,71.2	,5	,7.09,2014/2015,EC,0.6	,-	,-	,1337	
-	,0(1),-	,Tottenham,-	,80	,-	,7.57,2013/2014,UEL,-	,-	,-	,45	
0.3	,11(3),1	,Millwall,-	,63.6	,2	,7.20,2013/2014,EC,1.6	,1	,-	,1057	
0.4,171,7,,1,73.3,45,6.87,Total / Average,,0.9,2,13,13103
