ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
3.8	,6(2),1	,Manchester Ci..,-	,81.4	,-	,7.74,2019/2020,EPL,0.1	,8	,2	,561	
4	,1,-	,Manchester Ci..,-	,54.5	,-	,6.80,2019/2020,UCL,2	,-	,-	,89	
2.7	,5(1),1	,Argentina,-	,76.3	,1	,7.08,2019,ICA,0.8	,2	,1	,470	
3.6	,31(2),5	,Manchester Ci..,-	,85	,3	,7.53,2018/2019,EPL,0.5	,21	,8	,2480	
4.3	,6(1),1	,Manchester Ci..,-	,88.2	,2	,7.55,2018/2019,UCL,0.9	,6	,1	,510	
3.4	,5(2),-	,Manchester Ci..,-	,77.2	,-	,7.05,2017/2018,UCL,0.3	,4	,1	,440	
3.8	,22(3),4	,Manchester Ci..,-	,82.8	,2	,7.81,2017/2018,EPL,0.4	,21	,6	,1969	
3	,6(1),2	,Manchester Ci..,-	,81.3	,1	,7.64,2016/2017,UCL,0.3	,5	,2	,541	
4.5	,25(6),6	,Manchester Ci..,1	,82.4	,4	,7.33,2016/2017,EPL,0.2	,20	,3	,2407	
1.5	,2(2),-	,Argentina,-	,83.3	,-	,6.71,2018,WC,0.3	,2	,-	,178	
2.4	,8(1),-	,Manchester Ci..,-	,80.4	,-	,6.74,2015/2016,UCL,0.3	,2	,-	,706	
4	,29(1),5	,Manchester Ci..,-	,84.7	,1	,7.39,2015/2016,EPL,0.3	,24	,2	,2375	
2.6	,5,1	,Argentina,-	,86.9	,1	,7.20,2015,ICA,1	,3	,-	,386	
2.7	,6(1),1	,Manchester Ci..,-	,82.7	,2	,7.09,2014/2015,UCL,0.1	,6	,1	,550	
4.5	,30(3),5	,Manchester Ci..,-	,85.6	,4	,7.67,2014/2015,EPL,0.2	,26	,8	,2540	
3.7	,6,2	,Manchester Ci..,-	,81.6	,1	,7.67,2013/2014,UCL,0.2	,6	,2	,433	
3.7	,20(3),6	,Manchester Ci..,-	,84.9	,4	,7.71,2013/2014,EPL,0.4	,17	,6	,1539	
1.6	,3(2),-	,Argentina,-	,71.9	,1	,6.10,2014,WC,0.8	,-	,-	,317	
3	,4(1),-	,Manchester Ci..,-	,92.7	,-	,6.88,2012/2013,UCL,0.4	,2	,-	,391	
2.9	,22(8),-	,Manchester Ci..,-	,82.4	,2	,7.03,2012/2013,EPL,0.2	,12	,2	,1946	
1.7	,3(3),-	,Manchester Ci..,-	,86.4	,1	,6.55,2011/2012,UCL,-	,1	,-	,323	
3.8	,31(3),6	,Manchester Ci..,-	,86.5	,2	,7.45,2011/2012,EPL,0.1	,23	,8	,2602	
3.9	,31(1),5	,Atletico Madr..,-	,77.4	,6	,7.38,2010/2011,SLL,0.1	,20	,2	,2678	
2.8	,24(7),3	,Atletico Madr..,-	,77.3	,6	,7.25,2009/2010,SLL,0.1	,12	,4	,2205	
2.3	,5(1),-	,Atletico Madr..,-	,78.5	,1	,7.17,2009/2010,UCL,0.2	,2	,-	,444	
3.5,391,54,,1,82.6,45,7.37,Total / Average,,0.3,245,59,29080
3.8	,6(2),1	,Manchester Ci..,-	,81.4	,-	,7.74,2019/2020,EPL,0.1	,8	,2	,561	
4	,1,-	,Manchester Ci..,-	,54.5	,-	,6.80,2019/2020,UCL,2	,-	,-	,89	
2.7	,5(1),1	,Argentina,-	,76.3	,1	,7.08,2019,ICA,0.8	,2	,1	,470	
3.6	,31(2),5	,Manchester Ci..,-	,85	,3	,7.53,2018/2019,EPL,0.5	,21	,8	,2480	
4.3	,6(1),1	,Manchester Ci..,-	,88.2	,2	,7.55,2018/2019,UCL,0.9	,6	,1	,510	
3.4	,5(2),-	,Manchester Ci..,-	,77.2	,-	,7.05,2017/2018,UCL,0.3	,4	,1	,440	
3.8	,22(3),4	,Manchester Ci..,-	,82.8	,2	,7.81,2017/2018,EPL,0.4	,21	,6	,1969	
3	,6(1),2	,Manchester Ci..,-	,81.3	,1	,7.64,2016/2017,UCL,0.3	,5	,2	,541	
4.5	,25(6),6	,Manchester Ci..,1	,82.4	,4	,7.33,2016/2017,EPL,0.2	,20	,3	,2407	
1.5	,2(2),-	,Argentina,-	,83.3	,-	,6.71,2018,WC,0.3	,2	,-	,178	
2.4	,8(1),-	,Manchester Ci..,-	,80.4	,-	,6.74,2015/2016,UCL,0.3	,2	,-	,706	
4	,29(1),5	,Manchester Ci..,-	,84.7	,1	,7.39,2015/2016,EPL,0.3	,24	,2	,2375	
2.6	,5,1	,Argentina,-	,86.9	,1	,7.20,2015,ICA,1	,3	,-	,386	
2.7	,6(1),1	,Manchester Ci..,-	,82.7	,2	,7.09,2014/2015,UCL,0.1	,6	,1	,550	
4.5	,30(3),5	,Manchester Ci..,-	,85.6	,4	,7.67,2014/2015,EPL,0.2	,26	,8	,2540	
3.7	,6,2	,Manchester Ci..,-	,81.6	,1	,7.67,2013/2014,UCL,0.2	,6	,2	,433	
3.7	,20(3),6	,Manchester Ci..,-	,84.9	,4	,7.71,2013/2014,EPL,0.4	,17	,6	,1539	
1.6	,3(2),-	,Argentina,-	,71.9	,1	,6.10,2014,WC,0.8	,-	,-	,317	
3	,4(1),-	,Manchester Ci..,-	,92.7	,-	,6.88,2012/2013,UCL,0.4	,2	,-	,391	
2.9	,22(8),-	,Manchester Ci..,-	,82.4	,2	,7.03,2012/2013,EPL,0.2	,12	,2	,1946	
1.7	,3(3),-	,Manchester Ci..,-	,86.4	,1	,6.55,2011/2012,UCL,-	,1	,-	,323	
3.8	,31(3),6	,Manchester Ci..,-	,86.5	,2	,7.45,2011/2012,EPL,0.1	,23	,8	,2602	
3.9	,31(1),5	,Atletico Madr..,-	,77.4	,6	,7.38,2010/2011,SLL,0.1	,20	,2	,2678	
2.8	,24(7),3	,Atletico Madr..,-	,77.3	,6	,7.25,2009/2010,SLL,0.1	,12	,4	,2205	
2.3	,5(1),-	,Atletico Madr..,-	,78.5	,1	,7.17,2009/2010,UCL,0.2	,2	,-	,444	
3.5,391,54,,1,82.6,45,7.37,Total / Average,,0.3,245,59,29080
