ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1(3),-	,Southampton,-	,55.2	,-	,6.24,2019/2020,EPL,2	,-	,-	,104	
1.2	,12(14),1	,Southampton,-	,64.6	,3	,6.50,2018/2019,EPL,2.8	,5	,1	,1271	
-	,1(1),-	,Ireland,-	,53.3	,1	,6.38,2018/2019,UNL,3.5	,-	,-	,117	
1.1	,15(15),-	,Southampton,-	,66.8	,6	,6.53,2017/2018,EPL,2.6	,2	,1	,1580	
1.3	,10(22),-	,Southampton,-	,69.9	,2	,6.40,2016/2017,EPL,1.4	,3	,1	,1249	
0.8	,4(1),-	,Southampton,-	,64.1	,-	,6.48,2016/2017,UEL,2.2	,-	,1	,369	
2.3	,23(5),1	,Southampton,-	,66.4	,2	,7.02,2015/2016,EPL,2.9	,10	,4	,2111	
1.2	,16(16),1	,Southampton,-	,67.3	,2	,6.69,2014/2015,EPL,1.5	,5	,5	,1542	
0.3	,4,-	,Ireland,-	,56.3	,2	,6.37,2016,UEC,3.8	,-	,-	,349	
1.8	,15,1	,Hull,-	,65.1	,-	,6.86,2013/2014,EPL,2.9	,4	,1	,1208	
1.7	,11(4),2	,West Bromwich..,-	,63.6	,2	,6.68,2013/2014,EPL,2.9	,3	,1	,1039	
1.4	,25(9),1	,West Bromwich..,-	,69.7	,3	,6.75,2012/2013,EPL,1.8	,8	,4	,2168	
0.5	,0(2),-	,Ireland,-	,87.5	,-	,6.06,2012,UEC,0.5	,-	,-	,41	
1.2	,24(8),2	,West Bromwich..,-	,70.2	,2	,6.66,2011/2012,EPL,2.3	,8	,1	,2186	
1.3,261,9,,0,67.2,25,6.64,Total / Average,,2.2,48,20,15334
-	,1(3),-	,Southampton,-	,55.2	,-	,6.24,2019/2020,EPL,2	,-	,-	,104	
1.2	,12(14),1	,Southampton,-	,64.6	,3	,6.50,2018/2019,EPL,2.8	,5	,1	,1271	
-	,1(1),-	,Ireland,-	,53.3	,1	,6.38,2018/2019,UNL,3.5	,-	,-	,117	
1.1	,15(15),-	,Southampton,-	,66.8	,6	,6.53,2017/2018,EPL,2.6	,2	,1	,1580	
1.3	,10(22),-	,Southampton,-	,69.9	,2	,6.40,2016/2017,EPL,1.4	,3	,1	,1249	
0.8	,4(1),-	,Southampton,-	,64.1	,-	,6.48,2016/2017,UEL,2.2	,-	,1	,369	
2.3	,23(5),1	,Southampton,-	,66.4	,2	,7.02,2015/2016,EPL,2.9	,10	,4	,2111	
1.2	,16(16),1	,Southampton,-	,67.3	,2	,6.69,2014/2015,EPL,1.5	,5	,5	,1542	
0.3	,4,-	,Ireland,-	,56.3	,2	,6.37,2016,UEC,3.8	,-	,-	,349	
1.8	,15,1	,Hull,-	,65.1	,-	,6.86,2013/2014,EPL,2.9	,4	,1	,1208	
1.7	,11(4),2	,West Bromwich..,-	,63.6	,2	,6.68,2013/2014,EPL,2.9	,3	,1	,1039	
1.4	,25(9),1	,West Bromwich..,-	,69.7	,3	,6.75,2012/2013,EPL,1.8	,8	,4	,2168	
0.5	,0(2),-	,Ireland,-	,87.5	,-	,6.06,2012,UEC,0.5	,-	,-	,41	
1.2	,24(8),2	,West Bromwich..,-	,70.2	,2	,6.66,2011/2012,EPL,2.3	,8	,1	,2186	
1.3,261,9,,0,67.2,25,6.64,Total / Average,,2.2,48,20,15334
