ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,0(6),-	,Southampton,-	,92.3	,1	,6.01,2019/2020,EPL,-	,-	,-	,65	
1.1	,16(13),-	,Southampton,-	,78.6	,2	,6.50,2018/2019,EPL,0.6	,3	,2	,1433	
2	,2(1),-	,Scotland,-	,88	,-	,6.98,2018/2019,UNL,0.3	,-	,-	,182	
0.8	,4,-	,Celtic,-	,83.2	,-	,6.28,2017/2018,UCL,-	,-	,-	,236	
0.6	,3(2),-	,Celtic,-	,81.4	,1	,6.29,2016/2017,UCL,0.2	,-	,-	,325	
0.2	,4(1),-	,Celtic,-	,78.3	,-	,6.30,2015/2016,UEL,0.2	,-	,-	,318	
1.5	,2,-	,Celtic,-	,80.7	,-	,6.65,2014/2015,UEL,0.5	,1	,-	,153	
0.9,54,0,,0,81.3,4,6.42,Total / Average,,0.4,4,2,2712
0.3	,0(6),-	,Southampton,-	,92.3	,1	,6.01,2019/2020,EPL,-	,-	,-	,65	
1.1	,16(13),-	,Southampton,-	,78.6	,2	,6.50,2018/2019,EPL,0.6	,3	,2	,1433	
2	,2(1),-	,Scotland,-	,88	,-	,6.98,2018/2019,UNL,0.3	,-	,-	,182	
0.8	,4,-	,Celtic,-	,83.2	,-	,6.28,2017/2018,UCL,-	,-	,-	,236	
0.6	,3(2),-	,Celtic,-	,81.4	,1	,6.29,2016/2017,UCL,0.2	,-	,-	,325	
0.2	,4(1),-	,Celtic,-	,78.3	,-	,6.30,2015/2016,UEL,0.2	,-	,-	,318	
1.5	,2,-	,Celtic,-	,80.7	,-	,6.65,2014/2015,UEL,0.5	,1	,-	,153	
0.9,54,0,,0,81.3,4,6.42,Total / Average,,0.4,4,2,2712
