ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.4	,8,1	,West Ham,-	,72	,1	,7.48,2019/2020,EPL,7.5	,4	,1	,720	
1.9	,23(6),3	,Eintracht Fra..,-	,63.4	,3	,7.55,2018/2019,GB,6.9	,15	,9	,2181	
2.4	,9(1),1	,Eintracht Fra..,-	,68.7	,2	,7.72,2018/2019,UEL,5.6	,5	,3	,772	
1.3	,26(5),3	,Eintracht Fra..,-	,65.6	,2	,6.96,2017/2018,GB,4.5	,9	,4	,2352	
2.7	,36,8	,FC Utrecht,-	,65.9	,3	,7.45,2016/2017,NE,5.3	,15	,5	,3224	
2.9	,37,8	,FC Utrecht,1	,60.3	,2	,7.52,2015/2016,NE,5.9	,19	,5	,3195	
2.9	,14(3),3	,FC Utrecht,-	,66.3	,1	,7.42,2014/2015,NE,4.6	,11	,5	,1299	
2.3,168,27,,1,64.7,14,7.41,Total / Average,,5.6,78,32,13743
2.4	,8,1	,West Ham,-	,72	,1	,7.48,2019/2020,EPL,7.5	,4	,1	,720	
1.9	,23(6),3	,Eintracht Fra..,-	,63.4	,3	,7.55,2018/2019,GB,6.9	,15	,9	,2181	
2.4	,9(1),1	,Eintracht Fra..,-	,68.7	,2	,7.72,2018/2019,UEL,5.6	,5	,3	,772	
1.3	,26(5),3	,Eintracht Fra..,-	,65.6	,2	,6.96,2017/2018,GB,4.5	,9	,4	,2352	
2.7	,36,8	,FC Utrecht,-	,65.9	,3	,7.45,2016/2017,NE,5.3	,15	,5	,3224	
2.9	,37,8	,FC Utrecht,1	,60.3	,2	,7.52,2015/2016,NE,5.9	,19	,5	,3195	
2.9	,14(3),3	,FC Utrecht,-	,66.3	,1	,7.42,2014/2015,NE,4.6	,11	,5	,1299	
2.3,168,27,,1,64.7,14,7.41,Total / Average,,5.6,78,32,13743
