ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.8	,5(3),-	,Tottenham,-	,82.2	,2	,6.72,2019/2020,EPL,0.4	,1	,1	,515	
1	,1(1),-	,Tottenham,-	,80	,-	,6.41,2019/2020,UCL,-	,-	,-	,116	
2.4	,30(5),2	,Tottenham,-	,81	,3	,7.08,2018/2019,EPL,0.4	,8	,12	,2772	
2.3	,11(1),1	,Tottenham,-	,80.6	,-	,7.24,2018/2019,UCL,0.2	,2	,4	,1003	
2.7	,3,1	,Denmark,-	,80.3	,-	,7.20,2018/2019,UNL,0.7	,2	,-	,226	
3.3	,6,-	,Tottenham,-	,83.1	,-	,7.08,2017/2018,UCL,0.5	,2	,1	,535	
2.6	,37,4	,Tottenham,-	,82.4	,-	,7.40,2017/2018,EPL,0.5	,10	,10	,3226	
1.7	,5(1),1	,Tottenham,-	,81.3	,-	,7.04,2016/2017,UCL,0.3	,-	,1	,451	
3.7	,36,7	,Tottenham,-	,80.2	,-	,7.53,2016/2017,EPL,0.6	,8	,15	,3167	
3.5	,1(1),1	,Tottenham,-	,82.2	,-	,7.39,2016/2017,UEL,-	,1	,1	,100	
3	,4,-	,Denmark,-	,79.6	,-	,7.14,2018,WC,1.3	,1	,1	,390	
2	,7,-	,Tottenham,-	,83.3	,-	,6.94,2015/2016,UEL,0.4	,1	,1	,574	
2.9	,33(2),2	,Tottenham,-	,81.2	,2	,7.45,2015/2016,EPL,0.5	,6	,13	,2942	
2	,3(1),-	,Tottenham,-	,84.4	,-	,6.57,2014/2015,UEL,0.3	,-	,-	,257	
2.6	,37(1),5	,Tottenham,-	,82	,4	,7.09,2014/2015,EPL,0.6	,10	,2	,3142	
1.2	,4(5),1	,Tottenham,-	,81.5	,1	,6.91,2013/2014,UEL,0.1	,3	,2	,455	
1.9	,23(2),2	,Tottenham,-	,81.9	,3	,7.22,2013/2014,EPL,0.4	,7	,8	,1984	
3	,4,1	,Ajax,-	,85.7	,1	,7.99,2013/2014,NE,-	,2	,3	,360	
1	,2,-	,Ajax,-	,84.1	,1	,7.28,2012/2013,UEL,-	,-	,1	,211	
2.2	,6,1	,Ajax,-	,84	,-	,7.25,2012/2013,UCL,0.3	,1	,3	,540	
1	,3,-	,Denmark,-	,84.5	,-	,6.16,2012,UEC,-	,-	,-	,254	
1.8	,6,-	,Ajax,-	,86.1	,-	,7.27,2011/2012,UCL,-	,1	,2	,530	
1.3	,1(3),-	,Ajax,-	,85.3	,-	,6.29,2010/2011,UCL,-	,-	,-	,105	
2.5,294,29,,0,81.8,17,7.21,Total / Average,,0.4,66,81,23855
1.8	,5(3),-	,Tottenham,-	,82.2	,2	,6.72,2019/2020,EPL,0.4	,1	,1	,515	
1	,1(1),-	,Tottenham,-	,80	,-	,6.41,2019/2020,UCL,-	,-	,-	,116	
2.4	,30(5),2	,Tottenham,-	,81	,3	,7.08,2018/2019,EPL,0.4	,8	,12	,2772	
2.3	,11(1),1	,Tottenham,-	,80.6	,-	,7.24,2018/2019,UCL,0.2	,2	,4	,1003	
2.7	,3,1	,Denmark,-	,80.3	,-	,7.20,2018/2019,UNL,0.7	,2	,-	,226	
3.3	,6,-	,Tottenham,-	,83.1	,-	,7.08,2017/2018,UCL,0.5	,2	,1	,535	
2.6	,37,4	,Tottenham,-	,82.4	,-	,7.40,2017/2018,EPL,0.5	,10	,10	,3226	
1.7	,5(1),1	,Tottenham,-	,81.3	,-	,7.04,2016/2017,UCL,0.3	,-	,1	,451	
3.7	,36,7	,Tottenham,-	,80.2	,-	,7.53,2016/2017,EPL,0.6	,8	,15	,3167	
3.5	,1(1),1	,Tottenham,-	,82.2	,-	,7.39,2016/2017,UEL,-	,1	,1	,100	
3	,4,-	,Denmark,-	,79.6	,-	,7.14,2018,WC,1.3	,1	,1	,390	
2	,7,-	,Tottenham,-	,83.3	,-	,6.94,2015/2016,UEL,0.4	,1	,1	,574	
2.9	,33(2),2	,Tottenham,-	,81.2	,2	,7.45,2015/2016,EPL,0.5	,6	,13	,2942	
2	,3(1),-	,Tottenham,-	,84.4	,-	,6.57,2014/2015,UEL,0.3	,-	,-	,257	
2.6	,37(1),5	,Tottenham,-	,82	,4	,7.09,2014/2015,EPL,0.6	,10	,2	,3142	
1.2	,4(5),1	,Tottenham,-	,81.5	,1	,6.91,2013/2014,UEL,0.1	,3	,2	,455	
1.9	,23(2),2	,Tottenham,-	,81.9	,3	,7.22,2013/2014,EPL,0.4	,7	,8	,1984	
3	,4,1	,Ajax,-	,85.7	,1	,7.99,2013/2014,NE,-	,2	,3	,360	
1	,2,-	,Ajax,-	,84.1	,1	,7.28,2012/2013,UEL,-	,-	,1	,211	
2.2	,6,1	,Ajax,-	,84	,-	,7.25,2012/2013,UCL,0.3	,1	,3	,540	
1	,3,-	,Denmark,-	,84.5	,-	,6.16,2012,UEC,-	,-	,-	,254	
1.8	,6,-	,Ajax,-	,86.1	,-	,7.27,2011/2012,UCL,-	,1	,2	,530	
1.3	,1(3),-	,Ajax,-	,85.3	,-	,6.29,2010/2011,UCL,-	,-	,-	,105	
2.5,294,29,,0,81.8,17,7.21,Total / Average,,0.4,66,81,23855
