ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.1	,8,-	,Tottenham,-	,82.8	,4	,6.66,2019/2020,EPL,1.3	,-	,-	,704	
-	,1,-	,Tottenham,-	,80.6	,-	,6.05,2019/2020,UCL,-	,-	,-	,90	
0.6	,20(6),1	,Tottenham,-	,73.7	,5	,6.84,2018/2019,EPL,1	,-	,3	,1798	
0.6	,6(2),-	,Tottenham,-	,79.8	,3	,6.60,2018/2019,UCL,1.4	,-	,-	,529	
-	,1(1),-	,England,-	,78.8	,2	,6.25,2018/2019,UNL,-	,-	,-	,107	
-	,2(1),-	,Tottenham,-	,76.7	,1	,7.12,2017/2018,UCL,-	,-	,-	,170	
0.7	,9(1),-	,Tottenham,-	,81.5	,4	,6.74,2017/2018,EPL,0.8	,-	,1	,802	
0.3	,3,-	,Tottenham,-	,84.5	,-	,7.29,2016/2017,UCL,1	,-	,1	,270	
1.3	,18,1	,Tottenham,-	,77.3	,8	,7.42,2016/2017,EPL,1.5	,2	,2	,1533	
0.2	,2(3),-	,England,-	,89.5	,-	,6.24,2018,WC,-	,-	,-	,204	
0.7	,2(1),-	,Tottenham,-	,81.3	,-	,6.79,2015/2016,UEL,0.3	,-	,-	,257	
1.1	,24,-	,Tottenham,-	,79.4	,7	,7.25,2015/2016,EPL,1	,1	,3	,2132	
2	,1,-	,Tottenham,-	,83.6	,-	,6.93,2014/2015,UEL,-	,-	,-	,90	
0.9	,27(1),2	,Tottenham,-	,78.5	,7	,7.23,2014/2015,EPL,1.1	,3	,4	,2372	
0.3	,3,-	,England,-	,87.1	,-	,6.98,2016,UEC,0.3	,-	,-	,270	
0.4	,4(1),-	,Tottenham,-	,81.6	,-	,6.75,2013/2014,UEL,0.8	,-	,-	,280	
0.7	,22,2	,Tottenham,1	,78.9	,4	,7.06,2013/2014,EPL,1.3	,1	,1	,1902	
1.5	,2,-	,England U21,-	,83.7	,-	,6.45,2013,IEU,2	,-	,-	,180	
0.6	,25(2),-	,Sunderland,-	,76.9	,6	,7.00,2012/2013,EPL,1	,1	,1	,2222	
0.1	,3(8),-	,Tottenham,1	,84.9	,1	,6.28,2011/2012,EPL,0.1	,-	,-	,311	
0.5	,4,-	,Tottenham,-	,80.3	,-	,7.53,2010/2011,EPL,1.5	,-	,1	,352	
1	,1,-	,Tottenham,-	,85.7	,-	,7.42,2009/2010,EPL,1	,1	,-	,46	
0.7,215,6,,2,79.1,52,6.98,Total / Average,,1,9,17,16621
0.1	,8,-	,Tottenham,-	,82.8	,4	,6.66,2019/2020,EPL,1.3	,-	,-	,704	
-	,1,-	,Tottenham,-	,80.6	,-	,6.05,2019/2020,UCL,-	,-	,-	,90	
0.6	,20(6),1	,Tottenham,-	,73.7	,5	,6.84,2018/2019,EPL,1	,-	,3	,1798	
0.6	,6(2),-	,Tottenham,-	,79.8	,3	,6.60,2018/2019,UCL,1.4	,-	,-	,529	
-	,1(1),-	,England,-	,78.8	,2	,6.25,2018/2019,UNL,-	,-	,-	,107	
-	,2(1),-	,Tottenham,-	,76.7	,1	,7.12,2017/2018,UCL,-	,-	,-	,170	
0.7	,9(1),-	,Tottenham,-	,81.5	,4	,6.74,2017/2018,EPL,0.8	,-	,1	,802	
0.3	,3,-	,Tottenham,-	,84.5	,-	,7.29,2016/2017,UCL,1	,-	,1	,270	
1.3	,18,1	,Tottenham,-	,77.3	,8	,7.42,2016/2017,EPL,1.5	,2	,2	,1533	
0.2	,2(3),-	,England,-	,89.5	,-	,6.24,2018,WC,-	,-	,-	,204	
0.7	,2(1),-	,Tottenham,-	,81.3	,-	,6.79,2015/2016,UEL,0.3	,-	,-	,257	
1.1	,24,-	,Tottenham,-	,79.4	,7	,7.25,2015/2016,EPL,1	,1	,3	,2132	
2	,1,-	,Tottenham,-	,83.6	,-	,6.93,2014/2015,UEL,-	,-	,-	,90	
0.9	,27(1),2	,Tottenham,-	,78.5	,7	,7.23,2014/2015,EPL,1.1	,3	,4	,2372	
0.3	,3,-	,England,-	,87.1	,-	,6.98,2016,UEC,0.3	,-	,-	,270	
0.4	,4(1),-	,Tottenham,-	,81.6	,-	,6.75,2013/2014,UEL,0.8	,-	,-	,280	
0.7	,22,2	,Tottenham,1	,78.9	,4	,7.06,2013/2014,EPL,1.3	,1	,1	,1902	
1.5	,2,-	,England U21,-	,83.7	,-	,6.45,2013,IEU,2	,-	,-	,180	
0.6	,25(2),-	,Sunderland,-	,76.9	,6	,7.00,2012/2013,EPL,1	,1	,1	,2222	
0.1	,3(8),-	,Tottenham,1	,84.9	,1	,6.28,2011/2012,EPL,0.1	,-	,-	,311	
0.5	,4,-	,Tottenham,-	,80.3	,-	,7.53,2010/2011,EPL,1.5	,-	,1	,352	
1	,1,-	,Tottenham,-	,85.7	,-	,7.42,2009/2010,EPL,1	,1	,-	,46	
0.7,215,6,,2,79.1,52,6.98,Total / Average,,1,9,17,16621
