ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,5,-	,Tottenham,-	,89.7	,2	,6.51,2019/2020,EPL,1.6	,-	,-	,406	
-	,2,-	,Tottenham,-	,87.6	,-	,6.91,2019/2020,UCL,2.5	,-	,-	,180	
0.7	,3,-	,Colombia,-	,85.1	,-	,7.08,2019,ICA,2.7	,-	,-	,300	
0.6	,22(1),-	,Tottenham,-	,89.9	,2	,6.83,2018/2019,EPL,2.9	,1	,1	,1943	
0.5	,7(1),-	,Tottenham,-	,89.3	,1	,6.85,2018/2019,UCL,2.5	,-	,-	,631	
0.4	,8,-	,Tottenham,-	,89.7	,-	,6.74,2017/2018,UCL,1.3	,-	,-	,720	
0.3	,29(2),-	,Tottenham,1	,89.4	,1	,6.94,2017/2018,EPL,2.4	,-	,-	,2535	
1	,32,-	,Ajax,-	,88.9	,2	,7.31,2016/2017,NE,2.4	,6	,2	,2764	
0.4	,12,-	,Ajax,-	,82.4	,4	,7.27,2016/2017,UEL,2.9	,-	,-	,1110	
0.5	,4,-	,Colombia,-	,80	,-	,6.89,2018,WC,2.3	,-	,-	,390	
0.6,128,0,,1,88.3,12,7.01,Total / Average,,2.4,7,3,10979
0.4	,5,-	,Tottenham,-	,89.7	,2	,6.51,2019/2020,EPL,1.6	,-	,-	,406	
-	,2,-	,Tottenham,-	,87.6	,-	,6.91,2019/2020,UCL,2.5	,-	,-	,180	
0.7	,3,-	,Colombia,-	,85.1	,-	,7.08,2019,ICA,2.7	,-	,-	,300	
0.6	,22(1),-	,Tottenham,-	,89.9	,2	,6.83,2018/2019,EPL,2.9	,1	,1	,1943	
0.5	,7(1),-	,Tottenham,-	,89.3	,1	,6.85,2018/2019,UCL,2.5	,-	,-	,631	
0.4	,8,-	,Tottenham,-	,89.7	,-	,6.74,2017/2018,UCL,1.3	,-	,-	,720	
0.3	,29(2),-	,Tottenham,1	,89.4	,1	,6.94,2017/2018,EPL,2.4	,-	,-	,2535	
1	,32,-	,Ajax,-	,88.9	,2	,7.31,2016/2017,NE,2.4	,6	,2	,2764	
0.4	,12,-	,Ajax,-	,82.4	,4	,7.27,2016/2017,UEL,2.9	,-	,-	,1110	
0.5	,4,-	,Colombia,-	,80	,-	,6.89,2018,WC,2.3	,-	,-	,390	
0.6,128,0,,1,88.3,12,7.01,Total / Average,,2.4,7,3,10979
