ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,1(1),-	,Tottenham,-	,85	,1	,6.58,2019/2020,EPL,-	,1	,-	,121	
1.7	,3,-	,Tottenham,-	,79.6	,-	,6.95,2019/2020,UCL,1.3	,-	,-	,223	
1.6	,22(3),1	,Tottenham,-	,80.3	,4	,6.95,2018/2019,EPL,0.8	,5	,3	,1835	
2.1	,8,-	,Tottenham,-	,81	,-	,6.86,2018/2019,UCL,0.9	,-	,3	,709	
0.5	,2(2),-	,England,-	,87.4	,-	,6.29,2018/2019,UNL,0.5	,-	,-	,252	
1.6	,5,1	,Tottenham,-	,80.7	,1	,7.73,2017/2018,UCL,0.6	,2	,4	,427	
1.9	,34(2),1	,Tottenham,-	,77.2	,7	,7.09,2017/2018,EPL,0.8	,9	,10	,2972	
3.2	,6,-	,Tottenham,-	,78.6	,-	,6.89,2016/2017,UCL,1.2	,1	,-	,532	
2.5	,35(2),2	,Tottenham,-	,80.7	,4	,7.35,2016/2017,EPL,0.4	,18	,7	,3045	
3.5	,2,-	,Tottenham,1	,82	,1	,5.59,2016/2017,UEL,0.5	,-	,-	,129	
1	,4(1),-	,England,-	,78.1	,-	,6.68,2018,WC,1.2	,1	,-	,364	
1.3	,7(2),-	,Tottenham,-	,79.5	,3	,6.85,2015/2016,UEL,0.6	,-	,2	,627	
2.2	,28(5),2	,Tottenham,-	,75.9	,7	,7.35,2015/2016,EPL,1.1	,10	,9	,2482	
2.8	,3(1),-	,England,-	,82.1	,-	,6.79,2016,UEC,1.3	,-	,1	,301	
2,179,7,,1,79.1,28,7.10,Total / Average,,0.8,47,39,14019
1	,1(1),-	,Tottenham,-	,85	,1	,6.58,2019/2020,EPL,-	,1	,-	,121	
1.7	,3,-	,Tottenham,-	,79.6	,-	,6.95,2019/2020,UCL,1.3	,-	,-	,223	
1.6	,22(3),1	,Tottenham,-	,80.3	,4	,6.95,2018/2019,EPL,0.8	,5	,3	,1835	
2.1	,8,-	,Tottenham,-	,81	,-	,6.86,2018/2019,UCL,0.9	,-	,3	,709	
0.5	,2(2),-	,England,-	,87.4	,-	,6.29,2018/2019,UNL,0.5	,-	,-	,252	
1.6	,5,1	,Tottenham,-	,80.7	,1	,7.73,2017/2018,UCL,0.6	,2	,4	,427	
1.9	,34(2),1	,Tottenham,-	,77.2	,7	,7.09,2017/2018,EPL,0.8	,9	,10	,2972	
3.2	,6,-	,Tottenham,-	,78.6	,-	,6.89,2016/2017,UCL,1.2	,1	,-	,532	
2.5	,35(2),2	,Tottenham,-	,80.7	,4	,7.35,2016/2017,EPL,0.4	,18	,7	,3045	
3.5	,2,-	,Tottenham,1	,82	,1	,5.59,2016/2017,UEL,0.5	,-	,-	,129	
1	,4(1),-	,England,-	,78.1	,-	,6.68,2018,WC,1.2	,1	,-	,364	
1.3	,7(2),-	,Tottenham,-	,79.5	,3	,6.85,2015/2016,UEL,0.6	,-	,2	,627	
2.2	,28(5),2	,Tottenham,-	,75.9	,7	,7.35,2015/2016,EPL,1.1	,10	,9	,2482	
2.8	,3(1),-	,England,-	,82.1	,-	,6.79,2016,UEC,1.3	,-	,1	,301	
2,179,7,,1,79.1,28,7.10,Total / Average,,0.8,47,39,14019
