ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.3	,7(2),-	,Tottenham,-	,84.1	,2	,6.88,2019/2020,EPL,0.3	,2	,1	,607	
2.3	,1(2),-	,Tottenham,-	,92.7	,-	,7.11,2019/2020,UCL,-	,1	,2	,113	
1.5	,9(10),1	,Tottenham,-	,83.2	,2	,6.77,2018/2019,EPL,0.2	,4	,2	,973	
1	,3(6),-	,Tottenham,-	,79.8	,2	,6.40,2018/2019,UCL,0.2	,1	,2	,333	
-	,1(1),-	,Tottenham,-	,87.5	,-	,6.59,2017/2018,UCL,-	,-	,-	,105	
0.8	,7(18),-	,Tottenham,-	,82.7	,4	,6.52,2017/2018,EPL,0.2	,2	,2	,832	
1.7	,3,-	,Tottenham,-	,80.5	,1	,7.37,2016/2017,UCL,0.7	,-	,2	,232	
2	,6(3),-	,Tottenham,-	,80	,1	,6.99,2016/2017,EPL,0.3	,1	,1	,593	
1.5	,7(1),2	,Tottenham,-	,78.3	,2	,7.47,2015/2016,UEL,0.6	,6	,-	,573	
1.7	,28(6),2	,Tottenham,-	,78.6	,9	,7.15,2015/2016,EPL,0.4	,5	,9	,2385	
-	,0(1),-	,Argentina,-	,100	,-	,6.12,2015,ICA,-	,-	,-	,6	
2.1	,4(3),1	,Tottenham,-	,81.3	,-	,7.21,2014/2015,UEL,0.3	,2	,-	,371	
1.2	,25(8),4	,Tottenham,-	,82.8	,6	,7.07,2014/2015,EPL,0.2	,2	,7	,2302	
1.2	,5(1),1	,Tottenham,-	,84.9	,-	,7.58,2013/2014,UEL,0.7	,1	,2	,415	
0.9	,3(6),-	,Tottenham,-	,80.1	,1	,6.35,2013/2014,EPL,0.1	,-	,1	,329	
2.6	,30(3),5	,Roma,-	,82	,7	,7.59,2012/2013,ISA,0.4	,15	,5	,2600	
1.8	,23(6),1	,Roma,-	,83.4	,1	,6.94,2011/2012,ISA,0.2	,4	,6	,1892	
1.6,239,17,,0,82,38,7.02,Total / Average,,0.3,46,42,14661
1.3	,7(2),-	,Tottenham,-	,84.1	,2	,6.88,2019/2020,EPL,0.3	,2	,1	,607	
2.3	,1(2),-	,Tottenham,-	,92.7	,-	,7.11,2019/2020,UCL,-	,1	,2	,113	
1.5	,9(10),1	,Tottenham,-	,83.2	,2	,6.77,2018/2019,EPL,0.2	,4	,2	,973	
1	,3(6),-	,Tottenham,-	,79.8	,2	,6.40,2018/2019,UCL,0.2	,1	,2	,333	
-	,1(1),-	,Tottenham,-	,87.5	,-	,6.59,2017/2018,UCL,-	,-	,-	,105	
0.8	,7(18),-	,Tottenham,-	,82.7	,4	,6.52,2017/2018,EPL,0.2	,2	,2	,832	
1.7	,3,-	,Tottenham,-	,80.5	,1	,7.37,2016/2017,UCL,0.7	,-	,2	,232	
2	,6(3),-	,Tottenham,-	,80	,1	,6.99,2016/2017,EPL,0.3	,1	,1	,593	
1.5	,7(1),2	,Tottenham,-	,78.3	,2	,7.47,2015/2016,UEL,0.6	,6	,-	,573	
1.7	,28(6),2	,Tottenham,-	,78.6	,9	,7.15,2015/2016,EPL,0.4	,5	,9	,2385	
-	,0(1),-	,Argentina,-	,100	,-	,6.12,2015,ICA,-	,-	,-	,6	
2.1	,4(3),1	,Tottenham,-	,81.3	,-	,7.21,2014/2015,UEL,0.3	,2	,-	,371	
1.2	,25(8),4	,Tottenham,-	,82.8	,6	,7.07,2014/2015,EPL,0.2	,2	,7	,2302	
1.2	,5(1),1	,Tottenham,-	,84.9	,-	,7.58,2013/2014,UEL,0.7	,1	,2	,415	
0.9	,3(6),-	,Tottenham,-	,80.1	,1	,6.35,2013/2014,EPL,0.1	,-	,1	,329	
2.6	,30(3),5	,Roma,-	,82	,7	,7.59,2012/2013,ISA,0.4	,15	,5	,2600	
1.8	,23(6),1	,Roma,-	,83.4	,1	,6.94,2011/2012,ISA,0.2	,4	,6	,1892	
1.6,239,17,,0,82,38,7.02,Total / Average,,0.3,46,42,14661
